--- Saul's Nascar Driver Ratings ---
              Driver       OVR          C        INT         RC      S.INT         SW        SSW
    Christopher Bell 91.994286  93.464236  91.175731  94.523882    93.0611  89.883306  89.211249
         Kyle Larson 91.531664  92.338693  93.158096  83.141379  92.770613  96.419972  92.992171
         Ryan Blaney 91.466598  96.368823  88.170176  89.002098  95.696059  90.463204  90.245744
       William Byron 91.405224  91.773218  91.677348  90.348439  93.412434  90.136936  90.312764
       Chase Elliott 91.201368  91.069382  91.023063   90.72707  90.627328  92.363769  92.067946
       Chase Briscoe 91.042922  91.554277  91.110771  91.397239   90.25858  92.759523  90.001519
        Denny Hamlin 90.903271  93.012795  91.386812  84.955063  94.074035   98.54795  86.032171
     Justin Allgaier 90.874229          x          x          x          x          x  90.874229
         Joey Logano 90.766628  91.429794  90.750829  87.094306  94.778609  86.272967  92.034334
       Tyler Reddick 90.507631  89.843308  92.097168  91.658359   86.72159  86.641631  93.355959
      Chris Buescher 89.580999  86.450442  90.484485  91.490502  87.842642  95.296679  88.327341
       Ross Chastain 89.268627  90.298123   90.38184  88.586321  89.108321  86.541134  88.775669
         Ryan Preece 89.134175  87.945217  89.232148  89.658435  88.716493    93.3448  87.964284
       Bubba Wallace 88.851011  90.074278  87.433399  86.944092  87.963541  91.837789  91.055161
     Brad Keselowski 88.436562   88.28148  87.312754  84.570948  89.335845  93.915002  90.504469
         Alex Bowman 88.390215  86.542588  87.827464  89.223225  90.466095  87.410298   88.66304
            Ty Gibbs 88.182284  92.418104  84.398367  87.933261  85.487148  89.998983  91.658151
     Anthony Alfredo 88.010665          x          x          x          x          x  88.010665
      Carson Hocevar 87.203406  88.792611  84.240967  82.728199  87.819061  90.106941  92.465642
      Austin Cindric 87.173386  86.105763  88.234384  83.637159  88.417142  89.013427  88.021964
          Kyle Busch 87.024954  88.634111  87.165466  85.983921  86.421864    87.5055  86.608879
    Michael McDowell 86.805338  86.132676  85.330057  89.984768  86.860456  78.882734  90.417677
          Josh Berry 86.566209  85.482892   85.46724  82.780873  91.244616  90.831154  86.272434
          Erik Jones 86.042164  84.098651  87.566699  83.856429  84.770421  89.185231  87.584816
     AJ Allmendinger 85.888256   84.27053  87.813718  89.190027  83.960321  85.834535  83.270816
       Daniel Suarez 85.819333  82.748422  86.086545  86.981423  83.845214  86.257565  89.082339
John Hunter Nemechek 85.787288  84.903604  85.898352  84.878003  83.530114  86.307404  89.410773
      Todd Gilliland 85.698825   85.21257  85.396279  84.675231  83.168803  83.958836  91.062507
 Shane Van Gisbergen 85.650245  80.584283  82.961592  99.453592  81.582077  83.933993  85.872136
       Austin Dillon 85.585160  85.857266  85.030653  82.868115  89.488748  83.961556  85.770072
          Zane Smith 85.577441  88.074621  86.176339  82.386007  83.775977  87.464233  86.231414
        Justin Haley 85.152520  85.689001  84.988832  84.919874  81.407267  87.937556  87.446951
          Ryan Truex 84.959375          x          x  84.959375          x          x          x
 Ricky Stenhouse Jr. 84.785443  83.819724  85.460618  83.852192   83.12618  81.268186  89.089545
         Austin Hill 84.272749  80.278862   83.42983  92.677871          x          x  82.488591
          Corey Heim 84.205635  86.152622   85.58957          x  78.927728          x          x
      Jimmie Johnson 84.167970          x  75.143759          x          x          x  93.192181
        Noah Gragson 84.121922  82.302898  87.060014  82.879134  83.082196  80.451728   85.65142
      Connor Zilisch 83.745242          x   83.53542   76.91645          x          x  90.783858
          Will Brown 83.428649          x          x  83.428649          x          x          x
         Cole Custer 83.307676  81.799354  82.644105  82.993193   81.65352  82.050002  88.408832
           Ty Dillon 83.147458  83.624595  83.355267  82.371932  80.452181  80.655709  87.075288
        Riley Herbst 82.413172  82.121315  82.401614  83.178367  80.572908  81.861449  84.073298
        Corey LaJoie 81.275658  81.156365          x          x          x          x  81.315422
           BJ McLeod 80.748708          x          x          x          x          x  80.748708
     Katherine Legge 80.089387          x  75.436251  80.194265  77.624303  86.788094          x
           Cody Ware 79.937711  78.432937  78.996115  79.391402  78.922766  79.014707  84.877634
          Jesse Love 79.640802  80.768472  78.367976          x   77.59408  83.105508          x
         David Starr 79.411567          x          x          x          x          x  79.411567
         Casey Mears 78.768679  76.297118          x          x       75.0          x  83.124579
           Joey Gase 77.801736          x          x          x       75.0          x  80.603473
          Timmy Hill 77.274750          x   77.27475          x          x          x          x
        Josh Bilicki 77.210115  75.024126       75.0   79.06754          x  76.033944          x
    Martin Truex Jr. 76.808057          x          x          x          x          x  76.808057
            JJ Yeley 76.744231  78.664126  75.350214       75.0  78.879753          x  77.416723
         Derek Kraus 76.437206          x  76.437206          x          x          x          x
   Helio Castroneves 76.033370          x          x          x          x          x   76.03337
        Chad Finchum 75.000000       75.0       75.0          x          x          x          x
       Brennan Poole 75.000000          x          x          x          x       75.0          x
          Burt Myers 75.000000       75.0          x          x          x          x          x
PS C:\Users\saull\OneDrive\Desktop\projects\codename_nsight> 
