driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
William Byron,4184,Chv,24,494,1,95.878,19.750,Hendrick Motorsports,True,False,1,1,green
William Byron,4184,Chv,24,493,1,95.830,19.760,Hendrick Motorsports,True,False,1,1,green
William Byron,4184,Chv,24,492,1,95.801,19.766,Hendrick Motorsports,True,False,1,1,green
William Byron,4184,Chv,24,491,1,95.767,19.773,Hendrick Motorsports,True,False,1,1,green
Ryan Blaney,4023,Frd,12,493,2,95.593,19.809,Team Penske,True,False,31,2,green
Ryan Blaney,4023,Frd,12,494,2,95.564,19.815,Team Penske,True,False,31,2,green
William Byron,4184,Chv,24,495,1,95.554,19.817,Hendrick Motorsports,True,False,1,1,green
Ryan Blaney,4023,Frd,12,495,2,95.530,19.822,Team Penske,True,False,31,2,green
Chase Elliott,4062,Chv,9,494,4,95.516,19.825,Hendrick Motorsports,True,False,8,3,green
Chase Elliott,4062,Chv,9,493,4,95.482,19.832,Hendrick Motorsports,True,False,8,3,green
Ryan Blaney,4023,Frd,12,491,2,95.477,19.833,Team Penske,True,False,31,2,green
Ross Chastain,4001,Chv,1,492,3,95.448,19.839,Trackhouse Racing,False,False,13,4,green
Chase Elliott,4062,Chv,9,495,4,95.395,19.850,Hendrick Motorsports,True,False,8,3,green
Ryan Blaney,4023,Frd,12,492,2,95.376,19.854,Team Penske,True,False,31,2,green
Ross Chastain,4001,Chv,1,493,3,95.352,19.859,Trackhouse Racing,False,False,13,4,green
Ross Chastain,4001,Chv,1,491,3,95.347,19.860,Trackhouse Racing,False,False,13,4,green
William Byron,4184,Chv,24,496,1,95.304,19.869,Hendrick Motorsports,True,False,1,1,green
William Byron,4184,Chv,24,497,1,95.299,19.870,Hendrick Motorsports,True,False,1,1,green
Ryan Blaney,4023,Frd,12,497,2,95.247,19.881,Team Penske,True,False,31,2,green
Ryan Blaney,4023,Frd,12,496,2,95.199,19.891,Team Penske,True,False,31,2,green
Chase Elliott,4062,Chv,9,499,3,95.175,19.896,Hendrick Motorsports,True,False,8,3,green
Ross Chastain,4001,Chv,1,494,3,95.170,19.897,Trackhouse Racing,False,False,13,4,green
Chase Elliott,4062,Chv,9,492,4,95.084,19.915,Hendrick Motorsports,True,False,8,3,green
William Byron,4184,Chv,24,498,1,94.993,19.934,Hendrick Motorsports,True,False,1,1,green
Ryan Blaney,4023,Frd,12,498,2,94.946,19.944,Team Penske,True,False,31,2,green
Ryan Blaney,4023,Frd,12,241,2,94.917,19.950,Team Penske,True,False,31,2,green
Ross Chastain,4001,Chv,1,495,3,94.903,19.953,Trackhouse Racing,False,False,13,4,green
William Byron,4184,Chv,24,407,2,94.874,19.959,Hendrick Motorsports,True,False,1,1,green
William Byron,4184,Chv,24,251,1,94.870,19.960,Hendrick Motorsports,True,False,1,1,green
William Byron,4184,Chv,24,239,1,94.851,19.964,Hendrick Motorsports,True,False,1,1,green
Joey Logano,3859,Frd,22,495,8,94.846,19.965,Team Penske,True,False,4,8,green
Ryan Blaney,4023,Frd,12,240,2,94.832,19.968,Team Penske,True,False,31,2,green
William Byron,4184,Chv,24,241,1,94.803,19.974,Hendrick Motorsports,True,False,1,1,green
William Byron,4184,Chv,24,499,1,94.789,19.977,Hendrick Motorsports,True,False,1,1,green
Chase Elliott,4062,Chv,9,496,4,94.789,19.977,Hendrick Motorsports,True,False,8,3,green
Ryan Blaney,4023,Frd,12,393,1,94.770,19.981,Team Penske,True,False,31,2,green
Ryan Blaney,4023,Frd,12,407,1,94.761,19.983,Team Penske,True,False,31,2,green
Joey Logano,3859,Frd,22,494,8,94.713,19.993,Team Penske,True,False,4,8,green
Christopher Bell,4153,Tyt,20,494,7,94.713,19.993,Joe Gibbs Racing,True,False,12,7,green
Ryan Blaney,4023,Frd,12,408,1,94.708,19.994,Team Penske,True,False,31,2,green
Ryan Preece,4070,Frd,60,492,6,94.708,19.994,RFK Racing,False,False,18,6,green
Kyle Larson,4030,Chv,5,494,5,94.666,20.003,Hendrick Motorsports,True,False,3,5,green
Ryan Blaney,4023,Frd,12,274,1,94.637,20.009,Team Penske,True,False,31,2,green
William Byron,4184,Chv,24,252,1,94.633,20.010,Hendrick Motorsports,True,False,1,1,green
Ryan Preece,4070,Frd,60,494,6,94.600,20.017,RFK Racing,False,False,18,6,green
Kyle Larson,4030,Chv,5,492,5,94.590,20.019,Hendrick Motorsports,True,False,3,5,green
Ryan Blaney,4023,Frd,12,406,1,94.581,20.021,Team Penske,True,False,31,2,green
William Byron,4184,Chv,24,253,1,94.567,20.024,Hendrick Motorsports,True,False,1,1,green
Christopher Bell,4153,Tyt,20,492,7,94.548,20.028,Joe Gibbs Racing,True,False,12,7,green
Chase Elliott,4062,Chv,9,498,3,94.543,20.029,Hendrick Motorsports,True,False,8,3,green
Ryan Blaney,4023,Frd,12,499,2,94.543,20.029,Team Penske,True,False,31,2,green
Kyle Larson,4030,Chv,5,496,5,94.543,20.029,Hendrick Motorsports,True,False,3,5,green
Kyle Larson,4030,Chv,5,495,5,94.524,20.033,Hendrick Motorsports,True,False,3,5,green
Chase Elliott,4062,Chv,9,497,4,94.510,20.036,Hendrick Motorsports,True,False,8,3,green
William Byron,4184,Chv,24,257,1,94.500,20.038,Hendrick Motorsports,True,False,1,1,green
William Byron,4184,Chv,24,393,2,94.477,20.043,Hendrick Motorsports,True,False,1,1,green
Todd Gilliland,4231,Frd,34,252,5,94.467,20.045,Front Row Motorsports,False,False,16,9,green
William Byron,4184,Chv,24,408,2,94.453,20.048,Hendrick Motorsports,True,False,1,1,green
William Byron,4184,Chv,24,240,1,94.444,20.050,Hendrick Motorsports,True,False,1,1,green
Ryan Blaney,4023,Frd,12,288,1,94.425,20.054,Team Penske,True,False,31,2,green
William Byron,4184,Chv,24,490,1,94.420,20.055,Hendrick Motorsports,True,False,1,1,restart
Ryan Blaney,4023,Frd,12,392,1,94.416,20.056,Team Penske,True,False,31,2,green
Christopher Bell,4153,Tyt,20,495,7,94.406,20.058,Joe Gibbs Racing,True,False,12,7,green
Chase Elliott,4062,Chv,9,491,4,94.402,20.059,Hendrick Motorsports,True,False,8,3,green
Kyle Larson,4030,Chv,5,241,3,94.397,20.060,Hendrick Motorsports,True,False,3,5,green
Ryan Preece,4070,Frd,60,496,6,94.378,20.064,RFK Racing,False,False,18,6,green
Ryan Preece,4070,Frd,60,495,6,94.373,20.065,RFK Racing,False,False,18,6,green
Chase Elliott,4062,Chv,9,241,4,94.364,20.067,Hendrick Motorsports,True,False,8,3,green
Ryan Blaney,4023,Frd,12,290,1,94.364,20.067,Team Penske,True,False,31,2,green
William Byron,4184,Chv,24,500,1,94.345,20.071,Hendrick Motorsports,True,False,1,1,green
William Byron,4184,Chv,24,225,1,94.336,20.073,Hendrick Motorsports,True,False,1,1,green
Kyle Larson,4030,Chv,5,255,2,94.336,20.073,Hendrick Motorsports,True,False,3,5,green
William Byron,4184,Chv,24,392,2,94.322,20.076,Hendrick Motorsports,True,False,1,1,green
Kyle Larson,4030,Chv,5,493,5,94.312,20.078,Hendrick Motorsports,True,False,3,5,green
William Byron,4184,Chv,24,406,2,94.307,20.079,Hendrick Motorsports,True,False,1,1,green
Kyle Larson,4030,Chv,5,497,5,94.298,20.081,Hendrick Motorsports,True,False,3,5,green
Ross Chastain,4001,Chv,1,496,3,94.298,20.081,Trackhouse Racing,False,False,13,4,green
Chase Elliott,4062,Chv,9,275,6,94.284,20.084,Hendrick Motorsports,True,False,8,3,green
Joey Logano,3859,Frd,22,492,9,94.284,20.084,Team Penske,True,False,4,8,green
Ryan Blaney,4023,Frd,12,409,1,94.284,20.084,Team Penske,True,False,31,2,green
Joey Logano,3859,Frd,22,290,3,94.275,20.086,Team Penske,True,False,4,8,green
Ross Chastain,4001,Chv,1,393,3,94.275,20.086,Trackhouse Racing,False,False,13,4,green
Michael McDowell,3832,Chv,71,149,35,94.275,20.086,Spire Motorsports,False,False,11,24,green
Ryan Preece,4070,Frd,60,493,6,94.270,20.087,RFK Racing,False,False,18,6,green
William Byron,4184,Chv,24,256,1,94.265,20.088,Hendrick Motorsports,True,False,1,1,green
Ross Chastain,4001,Chv,1,408,3,94.251,20.091,Trackhouse Racing,False,False,13,4,green
Christopher Bell,4153,Tyt,20,241,5,94.242,20.093,Joe Gibbs Racing,True,False,12,7,green
Ross Chastain,4001,Chv,1,497,3,94.228,20.096,Trackhouse Racing,False,False,13,4,green
Todd Gilliland,4231,Frd,34,495,9,94.209,20.100,Front Row Motorsports,False,False,16,9,green
Ryan Blaney,4023,Frd,12,394,1,94.195,20.103,Team Penske,True,False,31,2,green
Ross Chastain,4001,Chv,1,409,3,94.195,20.103,Trackhouse Racing,False,False,13,4,green
Josh Berry,4123,Frd,21,409,4,94.186,20.105,Wood Brothers Racing,False,False,27,10,green
Ryan Blaney,4023,Frd,12,289,1,94.181,20.106,Team Penske,True,False,31,2,green
Chase Elliott,4062,Chv,9,240,4,94.181,20.106,Hendrick Motorsports,True,False,8,3,green
Christopher Bell,4153,Tyt,20,493,7,94.167,20.109,Joe Gibbs Racing,True,False,12,7,green
Joey Logano,3859,Frd,22,496,8,94.162,20.110,Team Penske,True,False,4,8,green
Kyle Larson,4030,Chv,5,258,2,94.157,20.111,Hendrick Motorsports,True,False,3,5,green
Kyle Larson,4030,Chv,5,251,3,94.157,20.111,Hendrick Motorsports,True,False,3,5,green
Christopher Bell,4153,Tyt,20,251,2,94.148,20.113,Joe Gibbs Racing,True,False,12,7,green
Todd Gilliland,4231,Frd,34,496,9,94.143,20.114,Front Row Motorsports,False,False,16,9,green
William Byron,4184,Chv,24,409,2,94.139,20.115,Hendrick Motorsports,True,False,1,1,green
Joey Logano,3859,Frd,22,497,8,94.134,20.116,Team Penske,True,False,4,8,green
Josh Berry,4123,Frd,21,408,4,94.125,20.118,Wood Brothers Racing,False,False,27,10,green
Ryan Blaney,4023,Frd,12,239,2,94.115,20.120,Team Penske,True,False,31,2,green
William Byron,4184,Chv,24,255,1,94.115,20.120,Hendrick Motorsports,True,False,1,1,green
Kyle Larson,4030,Chv,5,254,2,94.111,20.121,Hendrick Motorsports,True,False,3,5,green
Christopher Bell,4153,Tyt,20,496,7,94.111,20.121,Joe Gibbs Racing,True,False,12,7,green
Tyler Reddick,4065,Tyt,45,493,10,94.106,20.122,23XI Racing,False,False,14,11,green
Todd Gilliland,4231,Frd,34,497,9,94.083,20.127,Front Row Motorsports,False,False,16,9,green
Denny Hamlin,1361,Tyt,11,240,7,94.083,20.127,Joe Gibbs Racing,True,False,5,35,green
Kyle Larson,4030,Chv,5,240,3,94.073,20.129,Hendrick Motorsports,True,False,3,5,green
Ryan Blaney,4023,Frd,12,412,1,94.064,20.131,Team Penske,True,False,31,2,green
Chase Elliott,4062,Chv,9,274,6,94.064,20.131,Hendrick Motorsports,True,False,8,3,green
Chase Elliott,4062,Chv,9,251,4,94.059,20.132,Hendrick Motorsports,True,False,8,3,green
Ryan Blaney,4023,Frd,12,500,2,94.050,20.134,Team Penske,True,False,31,2,pitting in
Bubba Wallace,4025,Tyt,23,372,26,94.041,20.136,23XI Racing,False,False,21,18,green
Ryan Blaney,4023,Frd,12,273,1,94.036,20.137,Team Penske,True,False,31,2,green
