driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Shane Van Gisbergen,4469,Chv,88,47,11,195.240,46.097,Trackhouse Racing,False,False,15,14,green
Anthony Alfredo,4301,Chv,62,47,13,195.228,46.100,Beard Motorsports,False,True,20,13,green
Erik Jones,4059,Tyt,43,47,14,195.101,46.130,Legacy Motor Club,False,False,18,2,green
Christopher Bell,4153,Tyt,20,46,19,194.129,46.361,Joe Gibbs Racing,False,False,4,10,green
John Hunter Nemechek,4092,Tyt,42,60,9,194.091,46.370,Legacy Motor Club,False,False,19,9,pitting in
Alex Bowman,4045,Chv,48,47,10,194.053,46.379,Hendrick Motorsports,False,False,6,22,green
Riley Herbst,4269,Tyt,35,59,16,193.861,46.425,23XI Racing,False,False,13,12,green
Denny Hamlin,1361,Tyt,11,46,18,193.844,46.429,Joe Gibbs Racing,False,False,3,4,pitting in
John Hunter Nemechek,4092,Tyt,42,59,13,193.773,46.446,Legacy Motor Club,False,False,19,9,green
Denny Hamlin,1361,Tyt,11,57,12,193.761,46.449,Joe Gibbs Racing,False,False,3,4,green
Christopher Bell,4153,Tyt,20,58,14,193.753,46.451,Joe Gibbs Racing,False,False,4,10,green
Riley Herbst,4269,Tyt,35,47,16,193.715,46.460,23XI Racing,False,False,13,12,green
Erik Jones,4059,Tyt,43,60,1,193.653,46.475,Legacy Motor Club,False,False,18,2,pitting in
Todd Gilliland,4231,Frd,34,60,7,193.632,46.480,Front Row Motorsports,False,False,7,7,pitting in
Chris Buescher,3989,Frd,17,60,3,193.619,46.483,RFK Racing,False,False,9,3,pitting in
Corey LaJoie,4096,Frd,01,60,6,193.619,46.483,Rick Ware Racing,False,False,17,6,pitting in
Christopher Bell,4153,Tyt,20,47,17,193.611,46.485,Joe Gibbs Racing,False,False,4,10,green
Denny Hamlin,1361,Tyt,11,60,4,193.573,46.494,Joe Gibbs Racing,False,False,3,4,pitting in
Ryan Blaney,4023,Frd,12,60,8,193.469,46.519,Team Penske,False,False,10,8,pitting in
BJ McLeod,3973,Chv,78,58,16,193.461,46.521,Live Fast Motorsports,False,False,21,17,green
