driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Michael McDowell,3832,Chv,71,178,29,199.252,45.169,Spire Motorsports,False,False,25,11,green
Brad Keselowski,1816,Frd,6,130,20,198.899,45.249,RFK Racing,False,False,34,26,green
Noah Gragson,4224,Frd,4,124,26,198.882,45.253,Front Row Motorsports,False,False,32,28,green
Noah Gragson,4224,Frd,4,130,21,198.697,45.295,Front Row Motorsports,False,False,32,28,green
Carson Hocevar,4326,Chv,77,179,24,198.526,45.334,Spire Motorsports,False,False,33,30,green
Carson Hocevar,4326,Chv,77,169,30,198.020,45.450,Spire Motorsports,False,False,33,30,green
Carson Hocevar,4326,Chv,77,171,32,197.698,45.524,Spire Motorsports,False,False,33,30,green
Austin Dillon,3873,Chv,3,62,31,197.694,45.525,Richard Childress Racing,False,False,15,23,green
Ryan Preece,4070,Frd,60,49,32,197.681,45.528,RFK Racing,False,False,27,32,green
Carson Hocevar,4326,Chv,77,119,23,197.585,45.550,Spire Motorsports,False,False,33,30,green
Michael McDowell,3832,Chv,71,122,30,197.351,45.604,Spire Motorsports,False,False,25,11,green
Carson Hocevar,4326,Chv,77,174,29,197.321,45.611,Spire Motorsports,False,False,33,30,green
Chase Briscoe,4228,Tyt,19,119,24,197.010,45.683,Joe Gibbs Racing,False,False,1,4,green
Martin Truex Jr.,3368,Tyt,56,58,26,196.395,45.826,TRICON Garage,False,False,39,38,green
Corey LaJoie,4096,Frd,01,130,22,196.327,45.842,Rick Ware Racing,False,False,12,22,green
Noah Gragson,4224,Frd,4,51,38,196.249,45.860,Front Row Motorsports,False,False,32,28,green
Michael McDowell,3832,Chv,71,51,37,196.198,45.872,Spire Motorsports,False,False,25,11,green
Noah Gragson,4224,Frd,4,59,29,196.143,45.885,Front Row Motorsports,False,False,32,28,green
Ryan Preece,4070,Frd,60,56,29,196.130,45.888,RFK Racing,False,False,27,32,green
Noah Gragson,4224,Frd,4,52,35,196.078,45.900,Front Row Motorsports,False,False,32,28,green
William Byron,4184,Chv,24,182,25,196.061,45.904,Hendrick Motorsports,False,False,5,1,green
Daniel Suarez,4113,Chv,99,130,23,196.044,45.908,Trackhouse Racing,False,False,36,13,green
Chris Buescher,3989,Frd,17,56,27,196.002,45.918,RFK Racing,False,False,6,10,green
Ryan Preece,4070,Frd,60,44,36,195.972,45.925,RFK Racing,False,False,27,32,green
Cole Custer,4104,Frd,41,62,33,195.963,45.927,Haas Factory Team,False,False,30,21,green
Austin Dillon,3873,Chv,3,126,25,195.950,45.930,Richard Childress Racing,False,False,15,23,green
Brad Keselowski,1816,Frd,6,185,21,195.950,45.930,RFK Racing,False,False,34,26,green
William Byron,4184,Chv,24,185,22,195.946,45.931,Hendrick Motorsports,False,False,5,1,green
Michael McDowell,3832,Chv,71,52,34,195.874,45.948,Spire Motorsports,False,False,25,11,green
Michael McDowell,3832,Chv,71,58,31,195.861,45.951,Spire Motorsports,False,False,25,11,green
Riley Herbst,4269,Tyt,35,54,25,195.822,45.960,23XI Racing,False,False,24,17,green
Chase Elliott,4062,Chv,9,54,21,195.814,45.962,Hendrick Motorsports,False,False,17,15,green
Cody Ware,4125,Frd,51,35,34,195.805,45.964,Rick Ware Racing,False,False,28,25,green
Chase Elliott,4062,Chv,9,185,17,195.767,45.973,Hendrick Motorsports,False,False,17,15,green
Denny Hamlin,1361,Tyt,11,130,19,195.754,45.976,Joe Gibbs Racing,False,False,8,24,green
Ty Gibbs,4368,Tyt,54,57,22,195.746,45.978,Joe Gibbs Racing,False,False,23,16,green
Todd Gilliland,4231,Frd,34,185,14,195.673,45.995,Front Row Motorsports,False,False,14,27,green
Michael McDowell,3832,Chv,71,170,29,195.584,46.016,Spire Motorsports,False,False,25,11,green
Daniel Suarez,4113,Chv,99,38,36,195.571,46.019,Trackhouse Racing,False,False,36,13,green
Ryan Preece,4070,Frd,60,130,14,195.554,46.023,RFK Racing,False,False,27,32,green
Austin Cindric,4180,Frd,2,58,27,195.550,46.024,Team Penske,False,False,2,8,green
Carson Hocevar,4326,Chv,77,40,35,195.537,46.027,Spire Motorsports,False,False,33,30,green
Carson Hocevar,4326,Chv,77,38,39,195.499,46.036,Spire Motorsports,False,False,33,30,green
Carson Hocevar,4326,Chv,77,111,28,195.491,46.038,Spire Motorsports,False,False,33,30,green
Carson Hocevar,4326,Chv,77,128,27,195.486,46.039,Spire Motorsports,False,False,33,30,green
Tyler Reddick,4065,Tyt,45,127,27,195.474,46.042,23XI Racing,False,False,11,2,green
Kyle Larson,4030,Chv,5,130,12,195.465,46.044,Hendrick Motorsports,False,False,22,20,green
Kyle Busch,454,Chv,8,130,10,195.457,46.046,Richard Childress Racing,False,False,21,34,green
Austin Dillon,3873,Chv,3,59,33,195.431,46.052,Richard Childress Racing,False,False,15,23,green
Erik Jones,4059,Tyt,43,130,7,195.427,46.053,Legacy Motor Club,False,False,4,12,green
Denny Hamlin,1361,Tyt,11,185,11,195.410,46.057,Joe Gibbs Racing,False,False,8,24,green
Joey Logano,3859,Frd,22,185,7,195.393,46.061,Team Penske,False,False,10,35,green
John Hunter Nemechek,4092,Tyt,42,185,10,195.393,46.061,Legacy Motor Club,False,False,18,5,green
Ryan Preece,4070,Frd,60,57,25,195.393,46.061,RFK Racing,False,False,27,32,green
Carson Hocevar,4326,Chv,77,127,28,195.346,46.072,Spire Motorsports,False,False,33,30,green
Justin Haley,4172,Chv,7,177,32,195.342,46.073,Spire Motorsports,False,False,35,19,green
Daniel Suarez,4113,Chv,99,129,21,195.317,46.079,Trackhouse Racing,False,False,36,13,green
Tyler Reddick,4065,Tyt,45,55,17,195.296,46.084,23XI Racing,False,False,11,2,green
Chris Buescher,3989,Frd,17,57,24,195.296,46.084,RFK Racing,False,False,6,10,green
Michael McDowell,3832,Chv,71,117,28,195.283,46.087,Spire Motorsports,False,False,25,11,green
Chase Elliott,4062,Chv,9,57,13,195.274,46.089,Hendrick Motorsports,False,False,17,15,green
Michael McDowell,3832,Chv,71,57,33,195.270,46.090,Spire Motorsports,False,False,25,11,green
Ty Gibbs,4368,Tyt,54,130,16,195.270,46.090,Joe Gibbs Racing,False,False,23,16,green
Chase Elliott,4062,Chv,9,130,3,195.270,46.090,Hendrick Motorsports,False,False,17,15,green
Cole Custer,4104,Frd,41,127,31,195.257,46.093,Haas Factory Team,False,False,30,21,green
Daniel Suarez,4113,Chv,99,185,15,195.249,46.095,Trackhouse Racing,False,False,36,13,green
Carson Hocevar,4326,Chv,77,124,29,195.249,46.095,Spire Motorsports,False,False,33,30,green
Jimmie Johnson,1717,Tyt,84,183,28,195.249,46.095,Legacy Motor Club,False,False,40,3,green
Todd Gilliland,4231,Frd,34,130,5,195.228,46.100,Front Row Motorsports,False,False,14,27,green
Carson Hocevar,4326,Chv,77,122,31,195.194,46.108,Spire Motorsports,False,False,33,30,green
Michael McDowell,3832,Chv,71,126,30,195.181,46.111,Spire Motorsports,False,False,25,11,green
Cole Custer,4104,Frd,41,126,31,195.147,46.119,Haas Factory Team,False,False,30,21,green
Corey LaJoie,4096,Frd,01,185,2,195.143,46.120,Rick Ware Racing,False,False,12,22,green
Ricky Stenhouse Jr.,3888,Chv,47,185,3,195.135,46.122,HYAK Motorsports,False,False,31,18,green
Ryan Blaney,4023,Frd,12,130,1,195.118,46.126,Team Penske,False,False,16,7,green
Erik Jones,4059,Tyt,43,185,9,195.105,46.129,Legacy Motor Club,False,False,4,12,green
Michael McDowell,3832,Chv,71,127,30,195.097,46.131,Spire Motorsports,False,False,25,11,green
Noah Gragson,4224,Frd,4,185,6,195.092,46.132,Front Row Motorsports,False,False,32,28,pitting in
Justin Haley,4172,Chv,7,122,29,195.088,46.133,Spire Motorsports,False,False,35,19,green
Ross Chastain,4001,Chv,1,58,20,195.080,46.135,Trackhouse Racing,False,False,9,40,green
Cole Custer,4104,Frd,41,185,12,195.080,46.135,Haas Factory Team,False,False,30,21,green
Josh Berry,4123,Frd,21,57,23,195.067,46.138,Wood Brothers Racing,False,False,29,37,green
Justin Haley,4172,Chv,7,127,29,195.063,46.139,Spire Motorsports,False,False,35,19,green
Kyle Larson,4030,Chv,5,185,25,195.059,46.140,Hendrick Motorsports,False,False,22,20,green
Justin Allgaier,34,Chv,40,57,20,195.037,46.145,JR Motorsports,False,True,19,9,green
Zane Smith,4272,Frd,38,57,21,195.037,46.145,Front Row Motorsports,False,False,37,36,green
Denny Hamlin,1361,Tyt,11,62,21,195.033,46.146,Joe Gibbs Racing,False,False,8,24,green
Justin Haley,4172,Chv,7,48,37,195.025,46.148,Spire Motorsports,False,False,35,19,green
Todd Gilliland,4231,Frd,34,182,23,195.008,46.152,Front Row Motorsports,False,False,14,27,green
Ross Chastain,4001,Chv,1,57,26,195.008,46.152,Trackhouse Racing,False,False,9,40,green
William Byron,4184,Chv,24,130,15,194.991,46.156,Hendrick Motorsports,False,False,5,1,green
Cole Custer,4104,Frd,41,58,34,194.987,46.157,Haas Factory Team,False,False,30,21,green
Chris Buescher,3989,Frd,17,130,6,194.982,46.158,RFK Racing,False,False,6,10,green
Alex Bowman,4045,Chv,48,130,4,194.982,46.158,Hendrick Motorsports,False,False,38,6,green
Jimmie Johnson,1717,Tyt,84,120,27,194.957,46.164,Legacy Motor Club,False,False,40,3,green
Noah Gragson,4224,Frd,4,125,25,194.953,46.165,Front Row Motorsports,False,False,32,28,green
Bubba Wallace,4025,Tyt,23,185,19,194.944,46.167,23XI Racing,False,False,3,29,green
Joey Logano,3859,Frd,22,130,8,194.940,46.168,Team Penske,False,False,10,35,green
Michael McDowell,3832,Chv,71,38,38,194.940,46.168,Spire Motorsports,False,False,25,11,green
Carson Hocevar,4326,Chv,77,48,38,194.936,46.169,Spire Motorsports,False,False,33,30,green
Ricky Stenhouse Jr.,3888,Chv,47,182,11,194.928,46.171,HYAK Motorsports,False,False,31,18,green
Michael McDowell,3832,Chv,71,59,30,194.928,46.171,Spire Motorsports,False,False,25,11,green
Riley Herbst,4269,Tyt,35,182,6,194.928,46.171,23XI Racing,False,False,24,17,green
Bubba Wallace,4025,Tyt,23,130,9,194.919,46.173,23XI Racing,False,False,3,29,green
Bubba Wallace,4025,Tyt,23,182,20,194.915,46.174,23XI Racing,False,False,3,29,green
Erik Jones,4059,Tyt,43,55,15,194.911,46.175,Legacy Motor Club,False,False,4,12,green
Cole Custer,4104,Frd,41,59,34,194.911,46.175,Haas Factory Team,False,False,30,21,green
Ty Gibbs,4368,Tyt,54,185,23,194.898,46.178,Joe Gibbs Racing,False,False,23,16,green
Joey Logano,3859,Frd,22,182,13,194.890,46.180,Team Penske,False,False,10,35,green
Shane Van Gisbergen,4469,Chv,88,55,13,194.881,46.182,Trackhouse Racing,False,False,26,33,green
John Hunter Nemechek,4092,Tyt,42,182,16,194.877,46.183,Legacy Motor Club,False,False,18,5,green
Jimmie Johnson,1717,Tyt,84,185,29,194.873,46.184,Legacy Motor Club,False,False,40,3,green
Michael McDowell,3832,Chv,71,44,37,194.868,46.185,Spire Motorsports,False,False,25,11,green
Chris Buescher,3989,Frd,17,184,27,194.864,46.186,RFK Racing,False,False,6,10,green
Christopher Bell,4153,Tyt,20,182,5,194.864,46.186,Joe Gibbs Racing,False,False,20,31,green
Noah Gragson,4224,Frd,4,182,7,194.852,46.189,Front Row Motorsports,False,False,32,28,green
Denny Hamlin,1361,Tyt,11,182,19,194.852,46.189,Joe Gibbs Racing,False,False,8,24,green
Jimmie Johnson,1717,Tyt,84,44,38,194.847,46.190,Legacy Motor Club,False,False,40,3,green
John Hunter Nemechek,4092,Tyt,42,130,18,194.847,46.190,Legacy Motor Club,False,False,18,5,green
Cody Ware,4125,Frd,51,59,35,194.835,46.193,Rick Ware Racing,False,False,28,25,green
Jimmie Johnson,1717,Tyt,84,124,21,194.818,46.197,Legacy Motor Club,False,False,40,3,green
Michael McDowell,3832,Chv,71,56,35,194.814,46.198,Spire Motorsports,False,False,25,11,green
Ryan Preece,4070,Frd,60,25,36,194.793,46.203,RFK Racing,False,False,27,32,green
Ricky Stenhouse Jr.,3888,Chv,47,130,13,194.788,46.204,HYAK Motorsports,False,False,31,18,green
Austin Dillon,3873,Chv,3,182,4,194.788,46.204,Richard Childress Racing,False,False,15,23,green
Corey LaJoie,4096,Frd,01,62,30,194.780,46.206,Rick Ware Racing,False,False,12,22,green
Helio Castroneves,4505,Chv,91,49,29,194.755,46.212,Trackhouse Racing,False,False,41,39,green
