driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Justin Haley,4172,Chv,7,190,1,260.618,18.869,Spire Motorsports,False,False,21,24,caution
William Byron,4184,Chv,24,297,2,167.339,29.387,Hendrick Motorsports,False,False,1,2,pitting in
William Byron,4184,Chv,24,2,1,167.243,29.404,Hendrick Motorsports,False,False,1,2,green
Alex Bowman,4045,Chv,48,279,35,167.118,29.426,Hendrick Motorsports,False,False,33,35,green
William Byron,4184,Chv,24,203,1,166.862,29.471,Hendrick Motorsports,False,False,1,2,green
Ryan Preece,4070,Frd,60,2,2,166.721,29.496,RFK Racing,False,False,2,26,green
Christopher Bell,4153,Tyt,20,203,2,166.552,29.526,Joe Gibbs Racing,False,False,17,3,green
William Byron,4184,Chv,24,3,1,166.416,29.550,Hendrick Motorsports,False,False,1,2,green
Denny Hamlin,1361,Tyt,11,297,1,166.242,29.581,Joe Gibbs Racing,False,False,3,1,green
Austin Cindric,4180,Frd,2,2,4,165.872,29.647,Team Penske,False,False,6,11,green
William Byron,4184,Chv,24,10,1,165.793,29.661,Hendrick Motorsports,False,False,1,2,green
William Byron,4184,Chv,24,31,1,165.587,29.698,Hendrick Motorsports,False,False,1,2,green
Denny Hamlin,1361,Tyt,11,203,3,165.526,29.709,Joe Gibbs Racing,False,False,3,1,green
Chase Briscoe,4228,Tyt,19,2,3,165.481,29.717,Joe Gibbs Racing,False,False,4,28,green
Tyler Reddick,4065,Tyt,45,203,4,165.386,29.734,23XI Racing,False,False,7,4,green
William Byron,4184,Chv,24,145,1,165.342,29.742,Hendrick Motorsports,False,False,1,2,green
William Byron,4184,Chv,24,204,1,165.203,29.767,Hendrick Motorsports,False,False,1,2,green
Ryan Preece,4070,Frd,60,3,2,165.103,29.785,RFK Racing,False,False,2,26,green
Christopher Bell,4153,Tyt,20,204,2,165.064,29.792,Joe Gibbs Racing,False,False,17,3,green
Austin Cindric,4180,Frd,2,3,3,165.048,29.795,Team Penske,False,False,6,11,green
Christopher Bell,4153,Tyt,20,297,3,164.943,29.814,Joe Gibbs Racing,False,False,17,3,pitting in
Ryan Preece,4070,Frd,60,31,2,164.932,29.816,RFK Racing,False,False,2,26,green
Joey Logano,3859,Frd,22,145,2,164.788,29.842,Team Penske,False,False,18,13,green
Ryan Preece,4070,Frd,60,10,2,164.738,29.851,RFK Racing,False,False,2,26,green
William Byron,4184,Chv,24,100,1,164.738,29.851,Hendrick Motorsports,False,False,1,2,green
Bubba Wallace,4025,Tyt,23,100,2,164.633,29.870,23XI Racing,False,False,5,21,green
Denny Hamlin,1361,Tyt,11,3,5,164.512,29.892,Joe Gibbs Racing,False,False,3,1,green
Tyler Reddick,4065,Tyt,45,297,4,164.485,29.897,23XI Racing,False,False,7,4,pitting in
Denny Hamlin,1361,Tyt,11,2,5,164.419,29.909,Joe Gibbs Racing,False,False,3,1,green
Ryan Blaney,4023,Frd,12,2,8,164.413,29.910,Team Penske,False,False,9,5,green
William Byron,4184,Chv,24,11,1,164.413,29.910,Hendrick Motorsports,False,False,1,2,green
William Byron,4184,Chv,24,32,1,164.314,29.928,Hendrick Motorsports,False,False,1,2,green
Tyler Reddick,4065,Tyt,45,101,4,164.281,29.934,23XI Racing,False,False,7,4,green
Austin Cindric,4180,Frd,2,10,3,164.238,29.942,Team Penske,False,False,6,11,green
Ross Chastain,4001,Chv,1,244,21,164.227,29.944,Trackhouse Racing,False,False,25,7,green
Bubba Wallace,4025,Tyt,23,101,2,164.183,29.952,23XI Racing,False,False,5,21,green
William Byron,4184,Chv,24,101,1,164.128,29.962,Hendrick Motorsports,False,False,1,2,green
Denny Hamlin,1361,Tyt,11,145,3,164.111,29.965,Joe Gibbs Racing,False,False,3,1,green
Chase Briscoe,4228,Tyt,19,31,3,164.029,29.980,Joe Gibbs Racing,False,False,4,28,green
Chris Buescher,3989,Frd,17,134,17,163.958,29.993,RFK Racing,False,False,14,6,green
Ty Gibbs,4368,Tyt,54,248,15,163.871,30.009,Joe Gibbs Racing,False,False,11,9,green
Ryan Preece,4070,Frd,60,11,2,163.871,30.009,RFK Racing,False,False,2,26,green
Kyle Busch,454,Chv,8,2,7,163.844,30.014,Richard Childress Racing,False,False,8,10,green
Ryan Preece,4070,Frd,60,32,2,163.800,30.022,RFK Racing,False,False,2,26,green
Denny Hamlin,1361,Tyt,11,204,3,163.773,30.027,Joe Gibbs Racing,False,False,3,1,green
Ryan Preece,4070,Frd,60,101,3,163.751,30.031,RFK Racing,False,False,2,26,green
Chris Buescher,3989,Frd,17,243,20,163.707,30.039,RFK Racing,False,False,14,6,green
William Byron,4184,Chv,24,12,1,163.702,30.040,Hendrick Motorsports,False,False,1,2,green
Brad Keselowski,1816,Frd,6,90,6,163.680,30.044,RFK Racing,False,False,20,33,green
Austin Cindric,4180,Frd,2,11,3,163.674,30.045,Team Penske,False,False,6,11,green
Ryan Blaney,4023,Frd,12,250,14,163.669,30.046,Team Penske,False,False,9,5,green
Bubba Wallace,4025,Tyt,23,2,6,163.625,30.054,23XI Racing,False,False,5,21,green
William Byron,4184,Chv,24,33,1,163.615,30.056,Hendrick Motorsports,False,False,1,2,green
Todd Gilliland,4231,Frd,34,248,23,163.609,30.057,Front Row Motorsports,False,False,12,14,green
Chase Briscoe,4228,Tyt,19,3,4,163.609,30.057,Joe Gibbs Racing,False,False,4,28,green
Tyler Reddick,4065,Tyt,45,242,19,163.598,30.059,23XI Racing,False,False,7,4,green
Chris Buescher,3989,Frd,17,135,17,163.582,30.062,RFK Racing,False,False,14,6,green
Ty Gibbs,4368,Tyt,54,203,6,163.560,30.066,Joe Gibbs Racing,False,False,11,9,green
Kyle Busch,454,Chv,8,11,4,163.533,30.071,Richard Childress Racing,False,False,8,10,green
William Byron,4184,Chv,24,146,1,163.522,30.073,Hendrick Motorsports,False,False,1,2,green
Tyler Reddick,4065,Tyt,45,133,16,163.511,30.075,23XI Racing,False,False,7,4,green
William Byron,4184,Chv,24,205,1,163.500,30.077,Hendrick Motorsports,False,False,1,2,green
Christopher Bell,4153,Tyt,20,145,5,163.489,30.079,Joe Gibbs Racing,False,False,17,3,green
Ty Gibbs,4368,Tyt,54,145,6,163.435,30.089,Joe Gibbs Racing,False,False,11,9,green
Ryan Blaney,4023,Frd,12,249,14,163.408,30.094,Team Penske,False,False,9,5,green
Josh Berry,4123,Frd,21,145,4,163.403,30.095,Wood Brothers Racing,False,False,24,36,green
Joey Logano,3859,Frd,22,146,2,163.381,30.099,Team Penske,False,False,18,13,green
Ryan Preece,4070,Frd,60,100,3,163.375,30.100,RFK Racing,False,False,2,26,green
Denny Hamlin,1361,Tyt,11,205,3,163.332,30.108,Joe Gibbs Racing,False,False,3,1,green
Ryan Blaney,4023,Frd,12,100,5,163.310,30.112,Team Penske,False,False,9,5,green
Tyler Reddick,4065,Tyt,45,134,15,163.305,30.113,23XI Racing,False,False,7,4,green
Alex Bowman,4045,Chv,48,203,7,163.262,30.121,Hendrick Motorsports,False,False,33,35,green
Bubba Wallace,4025,Tyt,23,3,6,163.256,30.122,23XI Racing,False,False,5,21,green
Chris Buescher,3989,Frd,17,133,18,163.240,30.125,RFK Racing,False,False,14,6,green
Joey Logano,3859,Frd,22,203,5,163.218,30.129,Team Penske,False,False,18,13,green
Austin Cindric,4180,Frd,2,31,5,163.213,30.130,Team Penske,False,False,6,11,green
Christopher Bell,4153,Tyt,20,146,4,163.202,30.132,Joe Gibbs Racing,False,False,17,3,green
Tyler Reddick,4065,Tyt,45,100,4,163.180,30.136,23XI Racing,False,False,7,4,green
Chase Elliott,4062,Chv,9,247,14,163.175,30.137,Hendrick Motorsports,False,False,15,8,green
Ricky Stenhouse Jr.,3888,Chv,47,243,32,163.175,30.137,HYAK Motorsports,False,False,28,25,green
Ryan Preece,4070,Frd,60,102,3,163.159,30.140,RFK Racing,False,False,2,26,green
Daniel Suarez,4113,Chv,99,250,27,163.148,30.142,Trackhouse Racing,False,False,30,15,green
Joey Logano,3859,Frd,22,204,5,163.148,30.142,Team Penske,False,False,18,13,green
Tyler Reddick,4065,Tyt,45,204,4,163.142,30.143,23XI Racing,False,False,7,4,green
William Byron,4184,Chv,24,102,1,163.142,30.143,Hendrick Motorsports,False,False,1,2,green
Kyle Busch,454,Chv,8,10,4,163.142,30.143,Richard Childress Racing,False,False,8,10,green
Denny Hamlin,1361,Tyt,11,147,3,163.110,30.149,Joe Gibbs Racing,False,False,3,1,green
Ryan Blaney,4023,Frd,12,251,14,163.110,30.149,Team Penske,False,False,9,5,green
William Byron,4184,Chv,24,103,1,163.104,30.150,Hendrick Motorsports,False,False,1,2,green
Tyler Reddick,4065,Tyt,45,244,12,163.083,30.154,23XI Racing,False,False,7,4,green
Ryan Preece,4070,Frd,60,33,2,163.050,30.160,RFK Racing,False,False,2,26,green
Zane Smith,4272,Frd,38,297,12,163.034,30.163,Front Row Motorsports,False,False,16,12,pitting in
Chris Buescher,3989,Frd,17,32,4,162.964,30.176,RFK Racing,False,False,14,6,green
Denny Hamlin,1361,Tyt,11,146,3,162.942,30.180,Joe Gibbs Racing,False,False,3,1,green
Ty Gibbs,4368,Tyt,54,249,13,162.942,30.180,Joe Gibbs Racing,False,False,11,9,green
Tyler Reddick,4065,Tyt,45,135,15,162.905,30.187,23XI Racing,False,False,7,4,green
Bubba Wallace,4025,Tyt,23,102,2,162.905,30.187,23XI Racing,False,False,5,21,green
Tyler Reddick,4065,Tyt,45,2,9,162.905,30.187,23XI Racing,False,False,7,4,green
Tyler Reddick,4065,Tyt,45,102,4,162.899,30.188,23XI Racing,False,False,7,4,green
Michael McDowell,3832,Chv,71,2,10,162.872,30.193,Spire Motorsports,False,False,10,29,green
Chase Briscoe,4228,Tyt,19,247,29,162.861,30.195,Joe Gibbs Racing,False,False,4,28,green
Chris Buescher,3989,Frd,17,100,6,162.856,30.196,RFK Racing,False,False,14,6,green
Ryan Blaney,4023,Frd,12,297,5,162.829,30.201,Team Penske,False,False,9,5,pitting in
Austin Cindric,4180,Frd,2,101,9,162.829,30.201,Team Penske,False,False,6,11,green
Ross Chastain,4001,Chv,1,136,21,162.829,30.201,Trackhouse Racing,False,False,25,7,green
Bubba Wallace,4025,Tyt,23,249,30,162.813,30.204,23XI Racing,False,False,5,21,green
Austin Cindric,4180,Frd,2,12,3,162.802,30.206,Team Penske,False,False,6,11,green
Bubba Wallace,4025,Tyt,23,90,2,162.802,30.206,23XI Racing,False,False,5,21,green
Todd Gilliland,4231,Frd,34,249,21,162.786,30.209,Front Row Motorsports,False,False,12,14,green
Bubba Wallace,4025,Tyt,23,31,7,162.781,30.210,23XI Racing,False,False,5,21,green
Kyle Busch,454,Chv,8,31,4,162.775,30.211,Richard Childress Racing,False,False,8,10,green
Christopher Bell,4153,Tyt,20,206,2,162.775,30.211,Joe Gibbs Racing,False,False,17,3,green
Christopher Bell,4153,Tyt,20,205,2,162.770,30.212,Joe Gibbs Racing,False,False,17,3,green
