driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Joey Logano,3859,Frd,22,6,1,121.078,18.583,Team Penske,False,False,4,2,green
Christopher Bell,4153,Tyt,20,187,2,121.059,18.586,Joe Gibbs Racing,False,False,2,1,green
Christopher Bell,4153,Tyt,20,73,3,121.046,18.588,Joe Gibbs Racing,False,False,2,1,green
Christopher Bell,4153,Tyt,20,188,2,121.033,18.590,Joe Gibbs Racing,False,False,2,1,green
Joey Logano,3859,Frd,22,186,1,121.020,18.592,Team Penske,False,False,4,2,green
Christopher Bell,4153,Tyt,20,71,3,121.013,18.593,Joe Gibbs Racing,False,False,2,1,green
Christopher Bell,4153,Tyt,20,112,1,121.007,18.594,Joe Gibbs Racing,False,False,2,1,green
Christopher Bell,4153,Tyt,20,72,3,120.994,18.596,Joe Gibbs Racing,False,False,2,1,green
Joey Logano,3859,Frd,22,124,1,120.955,18.602,Team Penske,False,False,4,2,green
Joey Logano,3859,Frd,22,189,1,120.935,18.605,Team Penske,False,False,4,2,green
Christopher Bell,4153,Tyt,20,227,2,120.929,18.606,Joe Gibbs Racing,False,False,2,1,green
Joey Logano,3859,Frd,22,188,1,120.877,18.614,Team Penske,False,False,4,2,green
William Byron,4184,Chv,24,69,1,120.728,18.637,Hendrick Motorsports,False,False,5,6,green
Christopher Bell,4153,Tyt,20,110,1,120.702,18.641,Joe Gibbs Racing,False,False,2,1,green
Joey Logano,3859,Frd,22,185,1,120.676,18.645,Team Penske,False,False,4,2,green
Ryan Blaney,4023,Frd,12,189,5,120.643,18.650,Team Penske,False,False,7,16,green
Christopher Bell,4153,Tyt,20,132,2,120.643,18.650,Joe Gibbs Racing,False,False,2,1,green
Joey Logano,3859,Frd,22,194,1,120.637,18.651,Team Penske,False,False,4,2,green
Chase Elliott,4062,Chv,9,188,4,120.630,18.652,Hendrick Motorsports,False,False,6,5,green
Alex Bowman,4045,Chv,48,227,4,120.630,18.652,Hendrick Motorsports,False,False,9,4,green
