driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Kyle Larson,4030,Chv,5,34,36,92.896,93.782,Hendrick Motorsports,False,False,6,36,caution
Shane Van Gisbergen,4469,Chv,88,30,2,92.855,93.824,Trackhouse Racing,False,False,1,1,green
Ty Gibbs,4368,Tyt,54,38,1,92.798,93.881,Joe Gibbs Racing,False,False,4,11,green
Ty Gibbs,4368,Tyt,54,30,1,92.787,93.892,Joe Gibbs Racing,False,False,4,11,green
Shane Van Gisbergen,4469,Chv,88,38,2,92.706,93.974,Trackhouse Racing,False,False,1,1,green
Shane Van Gisbergen,4469,Chv,88,73,1,92.679,94.002,Trackhouse Racing,False,False,1,1,green
Shane Van Gisbergen,4469,Chv,88,31,2,92.674,94.007,Trackhouse Racing,False,False,1,1,green
Kyle Larson,4030,Chv,5,33,36,92.667,94.014,Hendrick Motorsports,False,False,6,36,caution
Ty Gibbs,4368,Tyt,54,36,1,92.646,94.035,Joe Gibbs Racing,False,False,4,11,green
Chase Briscoe,4228,Tyt,19,36,32,92.644,94.037,Joe Gibbs Racing,False,False,19,7,green
Ty Gibbs,4368,Tyt,54,29,1,92.623,94.059,Joe Gibbs Racing,False,False,4,11,green
Shane Van Gisbergen,4469,Chv,88,36,2,92.618,94.064,Trackhouse Racing,False,False,1,1,green
Ty Gibbs,4368,Tyt,54,37,1,92.612,94.070,Joe Gibbs Racing,False,False,4,11,green
Alex Bowman,4045,Chv,48,72,2,92.597,94.085,Hendrick Motorsports,False,False,29,4,green
Christopher Bell,4153,Tyt,20,38,3,92.590,94.092,Joe Gibbs Racing,False,False,31,2,green
Alex Bowman,4045,Chv,48,73,2,92.576,94.106,Hendrick Motorsports,False,False,29,4,green
Christopher Bell,4153,Tyt,20,28,4,92.563,94.120,Joe Gibbs Racing,False,False,31,2,green
Shane Van Gisbergen,4469,Chv,88,28,2,92.533,94.150,Trackhouse Racing,False,False,1,1,green
Ty Gibbs,4368,Tyt,54,74,9,92.530,94.153,Joe Gibbs Racing,False,False,4,11,green
Christopher Bell,4153,Tyt,20,73,3,92.529,94.154,Joe Gibbs Racing,False,False,31,2,green
Ty Gibbs,4368,Tyt,54,40,1,92.524,94.159,Joe Gibbs Racing,False,False,4,11,green
Shane Van Gisbergen,4469,Chv,88,39,2,92.523,94.160,Trackhouse Racing,False,False,1,1,green
Ty Gibbs,4368,Tyt,54,28,1,92.516,94.167,Joe Gibbs Racing,False,False,4,11,green
Chase Briscoe,4228,Tyt,19,37,32,92.475,94.209,Joe Gibbs Racing,False,False,19,7,green
Shane Van Gisbergen,4469,Chv,88,37,2,92.465,94.219,Trackhouse Racing,False,False,1,1,green
Ty Gibbs,4368,Tyt,54,31,1,92.457,94.228,Joe Gibbs Racing,False,False,4,11,green
Ryan Blaney,4023,Frd,12,71,12,92.454,94.231,Team Penske,False,False,18,14,green
Christopher Bell,4153,Tyt,20,29,4,92.439,94.246,Joe Gibbs Racing,False,False,31,2,green
Carson Hocevar,4326,Chv,77,30,31,92.411,94.275,Spire Motorsports,False,False,23,34,green
Christopher Bell,4153,Tyt,20,72,3,92.398,94.288,Joe Gibbs Racing,False,False,31,2,green
Shane Van Gisbergen,4469,Chv,88,40,2,92.383,94.303,Trackhouse Racing,False,False,1,1,green
Shane Van Gisbergen,4469,Chv,88,29,2,92.381,94.305,Trackhouse Racing,False,False,1,1,green
Shane Van Gisbergen,4469,Chv,88,72,1,92.371,94.315,Trackhouse Racing,False,False,1,1,green
Ty Gibbs,4368,Tyt,54,27,1,92.370,94.316,Joe Gibbs Racing,False,False,4,11,green
Chase Elliott,4062,Chv,9,70,8,92.367,94.319,Hendrick Motorsports,False,False,12,3,green
John Hunter Nemechek,4092,Tyt,42,72,4,92.345,94.342,Legacy Motor Club,False,False,32,6,green
Kyle Larson,4030,Chv,5,41,36,92.323,94.364,Hendrick Motorsports,False,False,6,36,green
Ty Gibbs,4368,Tyt,54,39,1,92.322,94.365,Joe Gibbs Racing,False,False,4,11,green
Ty Gibbs,4368,Tyt,54,41,1,92.317,94.370,Joe Gibbs Racing,False,False,4,11,green
Shane Van Gisbergen,4469,Chv,88,74,1,92.314,94.374,Trackhouse Racing,False,False,1,1,green
Shane Van Gisbergen,4469,Chv,88,41,2,92.295,94.393,Trackhouse Racing,False,False,1,1,green
Alex Bowman,4045,Chv,48,76,2,92.285,94.403,Hendrick Motorsports,False,False,29,4,green
Michael McDowell,3832,Chv,71,71,11,92.285,94.403,Spire Motorsports,False,False,5,5,green
Chris Buescher,3989,Frd,17,74,6,92.279,94.409,RFK Racing,False,False,16,10,green
Kyle Larson,4030,Chv,5,32,36,92.277,94.411,Hendrick Motorsports,False,False,6,36,green
Kyle Larson,4030,Chv,5,40,36,92.252,94.437,Hendrick Motorsports,False,False,6,36,green
Shane Van Gisbergen,4469,Chv,88,42,2,92.251,94.438,Trackhouse Racing,False,False,1,1,green
Christopher Bell,4153,Tyt,20,40,3,92.246,94.443,Joe Gibbs Racing,False,False,31,2,green
Chase Elliott,4062,Chv,9,74,7,92.243,94.446,Hendrick Motorsports,False,False,12,3,green
John Hunter Nemechek,4092,Tyt,42,73,4,92.205,94.485,Legacy Motor Club,False,False,32,6,green
Shane Van Gisbergen,4469,Chv,88,27,2,92.195,94.495,Trackhouse Racing,False,False,1,1,green
Ty Gibbs,4368,Tyt,54,70,9,92.194,94.496,Joe Gibbs Racing,False,False,4,11,green
Christopher Bell,4153,Tyt,20,39,3,92.190,94.501,Joe Gibbs Racing,False,False,31,2,green
Chase Elliott,4062,Chv,9,72,7,92.188,94.503,Hendrick Motorsports,False,False,12,3,green
Cole Custer,4104,Frd,41,30,5,92.171,94.520,Haas Factory Team,False,False,26,8,green
Shane Van Gisbergen,4469,Chv,88,71,1,92.161,94.530,Trackhouse Racing,False,False,1,1,green
Riley Herbst,4269,Tyt,35,71,13,92.160,94.531,23XI Racing,False,False,15,29,green
Michael McDowell,3832,Chv,71,38,14,92.160,94.531,Spire Motorsports,False,False,5,5,green
Christopher Bell,4153,Tyt,20,41,3,92.145,94.547,Joe Gibbs Racing,False,False,31,2,green
Austin Cindric,4180,Frd,2,36,3,92.142,94.550,Team Penske,False,False,20,18,green
Ross Chastain,4001,Chv,1,74,8,92.138,94.554,Trackhouse Racing,False,False,3,16,green
Christopher Bell,4153,Tyt,20,51,1,92.135,94.557,Joe Gibbs Racing,False,False,31,2,green
Alex Bowman,4045,Chv,48,30,6,92.129,94.563,Hendrick Motorsports,False,False,29,4,green
William Byron,4184,Chv,24,72,14,92.100,94.593,Hendrick Motorsports,False,False,27,9,green
Christopher Bell,4153,Tyt,20,31,3,92.085,94.608,Joe Gibbs Racing,False,False,31,2,green
Cole Custer,4104,Frd,41,72,5,92.071,94.623,Haas Factory Team,False,False,26,8,green
Cole Custer,4104,Frd,41,73,5,92.070,94.624,Haas Factory Team,False,False,26,8,green
Chase Briscoe,4228,Tyt,19,71,10,92.064,94.630,Joe Gibbs Racing,False,False,19,7,green
Christopher Bell,4153,Tyt,20,36,4,92.059,94.635,Joe Gibbs Racing,False,False,31,2,green
Michael McDowell,3832,Chv,71,75,10,92.058,94.636,Spire Motorsports,False,False,5,5,green
Riley Herbst,4269,Tyt,35,72,13,92.056,94.638,23XI Racing,False,False,15,29,green
Josh Berry,4123,Frd,21,73,30,92.044,94.650,Wood Brothers Racing,False,False,13,26,green
John Hunter Nemechek,4092,Tyt,42,71,4,92.041,94.653,Legacy Motor Club,False,False,32,6,green
William Byron,4184,Chv,24,71,14,92.040,94.654,Hendrick Motorsports,False,False,27,9,green
Ty Gibbs,4368,Tyt,54,56,5,92.038,94.657,Joe Gibbs Racing,False,False,4,11,green
Todd Gilliland,4231,Frd,34,29,28,92.036,94.659,Front Row Motorsports,False,False,7,22,green
Kyle Larson,4030,Chv,5,36,36,92.035,94.660,Hendrick Motorsports,False,False,6,36,green
Austin Cindric,4180,Frd,2,38,4,92.023,94.672,Team Penske,False,False,20,18,green
Alex Bowman,4045,Chv,48,75,2,92.023,94.672,Hendrick Motorsports,False,False,29,4,green
Ross Chastain,4001,Chv,1,71,7,92.021,94.674,Trackhouse Racing,False,False,3,16,green
