driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Carson Hocevar,4326,Chv,77,94,25,55440.000,0.100,Spire Motorsports,False,False,30,10,green
John Hunter Nemechek,4092,Tyt,42,219,26,185.903,29.822,Legacy Motor Club,False,False,19,26,green
Cody Ware,4125,Frd,51,172,19,185.493,29.888,Rick Ware Racing,False,False,39,13,green
John Hunter Nemechek,4092,Tyt,42,196,26,185.418,29.900,Legacy Motor Club,False,False,19,26,caution
Ricky Stenhouse Jr.,3888,Chv,47,53,11,185.065,29.957,HYAK Motorsports,False,False,37,6,green
Christopher Bell,4153,Tyt,20,53,9,184.948,29.976,Joe Gibbs Racing,False,False,28,30,green
Shane Van Gisbergen,4469,Chv,88,53,16,184.899,29.984,Trackhouse Racing,False,False,35,24,green
Todd Gilliland,4231,Frd,34,54,36,184.757,30.007,Front Row Motorsports,False,False,17,27,green
Chase Elliott,4062,Chv,9,130,4,184.652,30.024,Hendrick Motorsports,False,False,15,1,green
Tyler Reddick,4065,Tyt,45,53,23,184.634,30.027,23XI Racing,False,False,23,4,green
Chase Elliott,4062,Chv,9,53,20,184.585,30.035,Hendrick Motorsports,False,False,15,1,green
Chase Elliott,4062,Chv,9,253,6,184.572,30.037,Hendrick Motorsports,False,False,15,1,green
Ross Chastain,4001,Chv,1,53,21,184.542,30.042,Trackhouse Racing,False,False,34,33,green
John Hunter Nemechek,4092,Tyt,42,193,26,184.443,30.058,Legacy Motor Club,False,False,19,26,green
Justin Haley,4172,Chv,7,54,29,184.376,30.069,Spire Motorsports,False,False,22,23,green
Cody Ware,4125,Frd,51,256,13,184.376,30.069,Rick Ware Racing,False,False,39,13,green
Shane Van Gisbergen,4469,Chv,88,239,24,184.309,30.080,Trackhouse Racing,False,False,35,24,green
Ty Dillon,4013,Chv,10,171,18,184.309,30.080,Kaulig Racing,False,False,14,8,green
Justin Haley,4172,Chv,7,239,23,184.241,30.091,Spire Motorsports,False,False,22,23,green
John Hunter Nemechek,4092,Tyt,42,215,26,184.241,30.091,Legacy Motor Club,False,False,19,26,green
Ty Gibbs,4368,Tyt,54,50,21,184.241,30.091,Joe Gibbs Racing,False,False,16,14,green
Shane Van Gisbergen,4469,Chv,88,145,10,184.235,30.092,Trackhouse Racing,False,False,35,24,green
Ty Dillon,4013,Chv,10,172,14,184.235,30.092,Kaulig Racing,False,False,14,8,green
Ty Dillon,4013,Chv,10,106,12,184.180,30.101,Kaulig Racing,False,False,14,8,green
Justin Haley,4172,Chv,7,95,14,184.180,30.101,Spire Motorsports,False,False,22,23,green
Corey LaJoie,4096,Frd,01,54,35,184.174,30.102,Rick Ware Racing,False,True,25,39,green
Erik Jones,4059,Tyt,43,242,10,184.119,30.111,Legacy Motor Club,False,False,26,5,green
Austin Dillon,3873,Chv,3,52,7,184.082,30.117,Richard Childress Racing,False,False,12,20,green
Todd Gilliland,4231,Frd,34,187,27,184.070,30.119,Front Row Motorsports,False,False,17,27,caution
Todd Gilliland,4231,Frd,34,191,27,184.039,30.124,Front Row Motorsports,False,False,17,27,restart
John Hunter Nemechek,4092,Tyt,42,198,26,184.039,30.124,Legacy Motor Club,False,False,19,26,caution
Ty Dillon,4013,Chv,10,239,11,184.027,30.126,Kaulig Racing,False,False,14,8,green
Erik Jones,4059,Tyt,43,54,34,184.027,30.126,Legacy Motor Club,False,False,26,5,green
Kyle Larson,4030,Chv,5,11,8,184.015,30.128,Hendrick Motorsports,False,False,11,17,green
Connor Zilisch,4481,Chv,87,54,32,184.003,30.130,Trackhouse Racing,False,True,36,11,green
Ty Gibbs,4368,Tyt,54,12,16,183.997,30.131,Joe Gibbs Racing,False,False,16,14,green
Ty Gibbs,4368,Tyt,54,144,7,183.936,30.141,Joe Gibbs Racing,False,False,16,14,green
Ross Chastain,4001,Chv,1,50,24,183.929,30.142,Trackhouse Racing,False,False,34,33,green
Shane Van Gisbergen,4469,Chv,88,240,24,183.911,30.145,Trackhouse Racing,False,False,35,24,green
Ricky Stenhouse Jr.,3888,Chv,47,85,10,183.899,30.147,HYAK Motorsports,False,False,37,6,green
Zane Smith,4272,Frd,38,144,10,183.899,30.147,Front Row Motorsports,False,False,8,7,green
Chase Elliott,4062,Chv,9,54,16,183.868,30.152,Hendrick Motorsports,False,False,15,1,green
Brad Keselowski,1816,Frd,6,145,9,183.844,30.156,RFK Racing,False,False,6,2,green
Ty Dillon,4013,Chv,10,249,8,183.807,30.162,Kaulig Racing,False,False,14,8,green
Chris Buescher,3989,Frd,17,53,18,183.801,30.163,RFK Racing,False,False,13,9,green
Ty Dillon,4013,Chv,10,105,14,183.789,30.165,Kaulig Racing,False,False,14,8,green
Shane Van Gisbergen,4469,Chv,88,233,23,183.759,30.170,Trackhouse Racing,False,False,35,24,restart
Josh Berry,4123,Frd,21,52,3,183.747,30.172,Wood Brothers Racing,False,False,2,32,green
Justin Haley,4172,Chv,7,56,23,183.740,30.173,Spire Motorsports,False,False,22,23,green
Ty Dillon,4013,Chv,10,137,8,183.740,30.173,Kaulig Racing,False,False,14,8,green
Ricky Stenhouse Jr.,3888,Chv,47,182,22,183.740,30.173,HYAK Motorsports,False,False,37,6,restart
Ricky Stenhouse Jr.,3888,Chv,47,171,24,183.728,30.175,HYAK Motorsports,False,False,37,6,green
Todd Gilliland,4231,Frd,34,50,38,183.716,30.177,Front Row Motorsports,False,False,17,27,green
Carson Hocevar,4326,Chv,77,174,20,183.710,30.178,Spire Motorsports,False,False,30,10,green
John Hunter Nemechek,4092,Tyt,42,105,12,183.698,30.180,Legacy Motor Club,False,False,19,26,green
Ricky Stenhouse Jr.,3888,Chv,47,239,9,183.692,30.181,HYAK Motorsports,False,False,37,6,green
Cody Ware,4125,Frd,51,258,13,183.692,30.181,Rick Ware Racing,False,False,39,13,green
AJ Allmendinger,3774,Chv,16,53,14,183.680,30.183,Kaulig Racing,False,False,21,12,green
Erik Jones,4059,Tyt,43,257,7,183.680,30.183,Legacy Motor Club,False,False,26,5,green
Carson Hocevar,4326,Chv,77,52,6,183.661,30.186,Spire Motorsports,False,False,30,10,green
Ty Gibbs,4368,Tyt,54,53,22,183.649,30.188,Joe Gibbs Racing,False,False,16,14,green
Carson Hocevar,4326,Chv,77,243,13,183.619,30.193,Spire Motorsports,False,False,30,10,green
Shane Van Gisbergen,4469,Chv,88,144,11,183.576,30.200,Trackhouse Racing,False,False,35,24,green
Joey Logano,3859,Frd,22,52,1,183.558,30.203,Team Penske,False,False,1,36,green
AJ Allmendinger,3774,Chv,16,56,15,183.552,30.204,Kaulig Racing,False,False,21,12,green
