driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Chase Elliott,4062,Chv,9,8,1,63.555,14.161,Hendrick Motorsports,False,False,1,1,green
Chase Elliott,4062,Chv,9,9,1,63.541,14.164,Hendrick Motorsports,False,False,1,1,green
Chase Elliott,4062,Chv,9,10,1,63.510,14.171,Hendrick Motorsports,False,False,1,1,green
Chase Elliott,4062,Chv,9,7,1,63.376,14.201,Hendrick Motorsports,False,False,1,1,green
Chase Elliott,4062,Chv,9,11,1,63.300,14.218,Hendrick Motorsports,False,False,1,1,green
Denny Hamlin,1361,Tyt,11,11,4,63.273,14.224,Joe Gibbs Racing,False,False,3,3,green
Chase Elliott,4062,Chv,9,13,1,63.260,14.227,Hendrick Motorsports,False,False,1,1,green
Chris Buescher,3989,Frd,17,10,2,63.247,14.230,RFK Racing,False,False,2,10,green
Chase Elliott,4062,Chv,9,6,1,63.238,14.232,Hendrick Motorsports,False,False,1,1,green
Chris Buescher,3989,Frd,17,13,2,63.198,14.241,RFK Racing,False,False,2,10,green
Chase Elliott,4062,Chv,9,12,1,63.149,14.252,Hendrick Motorsports,False,False,1,1,green
Denny Hamlin,1361,Tyt,11,10,4,63.131,14.256,Joe Gibbs Racing,False,False,3,3,green
Chase Elliott,4062,Chv,9,5,1,63.105,14.262,Hendrick Motorsports,False,False,1,1,green
Chris Buescher,3989,Frd,17,12,2,63.083,14.267,RFK Racing,False,False,2,10,green
Denny Hamlin,1361,Tyt,11,13,4,63.038,14.277,Joe Gibbs Racing,False,False,3,3,green
Tyler Reddick,4065,Tyt,45,10,3,63.038,14.277,23XI Racing,False,False,4,8,green
Chris Buescher,3989,Frd,17,8,2,63.034,14.278,RFK Racing,False,False,2,10,green
Brad Keselowski,1816,Frd,6,10,5,63.012,14.283,RFK Racing,False,False,5,21,green
Tyler Reddick,4065,Tyt,45,13,3,63.012,14.283,23XI Racing,False,False,4,8,green
Brad Keselowski,1816,Frd,6,9,5,63.003,14.285,RFK Racing,False,False,5,21,green
Tyler Reddick,4065,Tyt,45,11,3,62.999,14.286,23XI Racing,False,False,4,8,green
Chase Briscoe,4228,Tyt,19,12,6,62.941,14.299,Joe Gibbs Racing,False,False,6,23,green
Chris Buescher,3989,Frd,17,11,2,62.928,14.302,RFK Racing,False,False,2,10,green
Chris Buescher,3989,Frd,17,9,2,62.911,14.306,RFK Racing,False,False,2,10,green
Chris Buescher,3989,Frd,17,5,2,62.897,14.309,RFK Racing,False,False,2,10,green
Tyler Reddick,4065,Tyt,45,7,3,62.893,14.310,23XI Racing,False,False,4,8,green
Chase Briscoe,4228,Tyt,19,10,6,62.880,14.313,Joe Gibbs Racing,False,False,6,23,green
Denny Hamlin,1361,Tyt,11,12,4,62.876,14.314,Joe Gibbs Racing,False,False,3,3,green
Tyler Reddick,4065,Tyt,45,15,3,62.871,14.315,23XI Racing,False,False,4,8,green
Chris Buescher,3989,Frd,17,7,2,62.867,14.316,RFK Racing,False,False,2,10,green
Denny Hamlin,1361,Tyt,11,9,4,62.862,14.317,Joe Gibbs Racing,False,False,3,3,green
Brad Keselowski,1816,Frd,6,13,5,62.862,14.317,RFK Racing,False,False,5,21,green
Chris Buescher,3989,Frd,17,14,2,62.849,14.320,RFK Racing,False,False,2,10,green
Tyler Reddick,4065,Tyt,45,8,3,62.810,14.329,23XI Racing,False,False,4,8,green
Brad Keselowski,1816,Frd,6,12,5,62.805,14.330,RFK Racing,False,False,5,21,green
Christopher Bell,4153,Tyt,20,13,7,62.797,14.332,Joe Gibbs Racing,False,False,8,12,green
Brad Keselowski,1816,Frd,6,11,5,62.797,14.332,RFK Racing,False,False,5,21,green
Chris Buescher,3989,Frd,17,15,2,62.792,14.333,RFK Racing,False,False,2,10,green
Tyler Reddick,4065,Tyt,45,16,3,62.788,14.334,23XI Racing,False,False,4,8,green
Chris Buescher,3989,Frd,17,6,2,62.779,14.336,RFK Racing,False,False,2,10,green
Chase Briscoe,4228,Tyt,19,11,6,62.770,14.338,Joe Gibbs Racing,False,False,6,23,green
Chase Elliott,4062,Chv,9,4,1,62.748,14.343,Hendrick Motorsports,False,False,1,1,green
Chris Buescher,3989,Frd,17,16,2,62.744,14.344,RFK Racing,False,False,2,10,green
Chase Elliott,4062,Chv,9,14,1,62.718,14.350,Hendrick Motorsports,False,False,1,1,green
Brad Keselowski,1816,Frd,6,15,5,62.713,14.351,RFK Racing,False,False,5,21,green
Christopher Bell,4153,Tyt,20,11,7,62.705,14.353,Joe Gibbs Racing,False,False,8,12,green
Tyler Reddick,4065,Tyt,45,9,3,62.700,14.354,23XI Racing,False,False,4,8,green
Tyler Reddick,4065,Tyt,45,14,3,62.696,14.355,23XI Racing,False,False,4,8,green
Brad Keselowski,1816,Frd,6,8,5,62.692,14.356,RFK Racing,False,False,5,21,green
Chase Briscoe,4228,Tyt,19,8,6,62.665,14.362,Joe Gibbs Racing,False,False,6,23,green
Denny Hamlin,1361,Tyt,11,16,4,62.665,14.362,Joe Gibbs Racing,False,False,3,3,green
Tyler Reddick,4065,Tyt,45,12,3,62.652,14.365,23XI Racing,False,False,4,8,green
Christopher Bell,4153,Tyt,20,12,7,62.639,14.368,Joe Gibbs Racing,False,False,8,12,green
Chris Buescher,3989,Frd,17,19,2,62.635,14.369,RFK Racing,False,False,2,10,green
Noah Gragson,4224,Frd,4,13,11,62.596,14.378,Front Row Motorsports,False,False,9,20,green
Tyler Reddick,4065,Tyt,45,17,3,62.578,14.382,23XI Racing,False,False,4,8,green
Chase Elliott,4062,Chv,9,15,1,62.574,14.383,Hendrick Motorsports,False,False,1,1,green
Tyler Reddick,4065,Tyt,45,113,2,62.574,14.383,23XI Racing,False,False,4,8,green
Chase Briscoe,4228,Tyt,19,15,6,62.574,14.383,Joe Gibbs Racing,False,False,6,23,green
Brad Keselowski,1816,Frd,6,14,5,62.556,14.387,RFK Racing,False,False,5,21,green
Denny Hamlin,1361,Tyt,11,8,4,62.548,14.389,Joe Gibbs Racing,False,False,3,3,green
Chase Briscoe,4228,Tyt,19,9,6,62.539,14.391,Joe Gibbs Racing,False,False,6,23,green
