driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Tyler Reddick,4065,Tyt,45,202,1,184.970,29.194,23XI Racing,False,False,14,24,green
Joey Logano,3859,Frd,22,3,1,184.187,29.318,Team Penske,False,False,2,15,green
Austin Cindric,4180,Frd,2,44,1,184.055,29.339,Team Penske,False,False,3,6,green
Bubba Wallace,4025,Tyt,23,90,1,183.999,29.348,23XI Racing,False,False,20,28,green
William Byron,4184,Chv,24,250,4,183.968,29.353,Hendrick Motorsports,False,False,8,4,green
Daniel Suarez,4113,Chv,99,251,1,183.911,29.362,Trackhouse Racing,False,False,23,2,green
Michael McDowell,3832,Chv,71,3,2,183.817,29.377,Spire Motorsports,False,False,1,16,green
Josh Berry,4123,Frd,21,250,2,183.780,29.383,Wood Brothers Racing,False,False,7,1,green
Joey Logano,3859,Frd,22,4,1,183.780,29.383,Team Penske,False,False,2,15,green
Alex Bowman,4045,Chv,48,3,4,183.711,29.394,Hendrick Motorsports,False,False,6,7,green
Ross Chastain,4001,Chv,1,251,3,183.711,29.394,Trackhouse Racing,False,False,19,5,green
Daniel Suarez,4113,Chv,99,250,1,183.692,29.397,Trackhouse Racing,False,False,23,2,green
William Byron,4184,Chv,24,4,5,183.549,29.420,Hendrick Motorsports,False,False,8,4,green
Bubba Wallace,4025,Tyt,23,43,3,183.536,29.422,23XI Racing,False,False,20,28,green
Austin Cindric,4180,Frd,2,2,3,183.455,29.435,Team Penske,False,False,3,6,green
Kyle Larson,4030,Chv,5,175,1,183.418,29.441,Hendrick Motorsports,False,False,10,9,green
Daniel Suarez,4113,Chv,99,203,2,183.393,29.445,Trackhouse Racing,False,False,23,2,green
Joey Logano,3859,Frd,22,2,1,183.337,29.454,Team Penske,False,False,2,15,green
Daniel Suarez,4113,Chv,99,175,2,183.318,29.457,Trackhouse Racing,False,False,23,2,green
Tyler Reddick,4065,Tyt,45,203,1,183.306,29.459,23XI Racing,False,False,14,24,green
William Byron,4184,Chv,24,122,2,183.287,29.462,Hendrick Motorsports,False,False,8,4,green
Ross Chastain,4001,Chv,1,250,3,183.281,29.463,Trackhouse Racing,False,False,19,5,green
William Byron,4184,Chv,24,175,4,183.256,29.467,Hendrick Motorsports,False,False,8,4,green
Austin Cindric,4180,Frd,2,4,3,183.150,29.484,Team Penske,False,False,3,6,green
Alex Bowman,4045,Chv,48,4,4,183.144,29.485,Hendrick Motorsports,False,False,6,7,green
Austin Cindric,4180,Frd,2,43,1,183.144,29.485,Team Penske,False,False,3,6,green
Michael McDowell,3832,Chv,71,202,3,183.138,29.486,Spire Motorsports,False,False,1,16,green
Michael McDowell,3832,Chv,71,4,2,183.125,29.488,Spire Motorsports,False,False,1,16,green
Josh Berry,4123,Frd,21,251,2,183.101,29.492,Wood Brothers Racing,False,False,7,1,green
Kyle Larson,4030,Chv,5,123,1,183.051,29.500,Hendrick Motorsports,False,False,10,9,green
Bubba Wallace,4025,Tyt,23,92,1,183.032,29.503,23XI Racing,False,False,20,28,green
Kyle Larson,4030,Chv,5,156,4,183.026,29.504,Hendrick Motorsports,False,False,10,9,green
Christopher Bell,4153,Tyt,20,92,6,182.995,29.509,Joe Gibbs Racing,False,False,13,12,green
Kyle Larson,4030,Chv,5,122,1,182.976,29.512,Hendrick Motorsports,False,False,10,9,green
William Byron,4184,Chv,24,2,5,182.970,29.513,Hendrick Motorsports,False,False,8,4,green
William Byron,4184,Chv,24,156,3,182.964,29.514,Hendrick Motorsports,False,False,8,4,green
Austin Cindric,4180,Frd,2,3,3,182.964,29.514,Team Penske,False,False,3,6,green
William Byron,4184,Chv,24,157,2,182.952,29.516,Hendrick Motorsports,False,False,8,4,green
Bubba Wallace,4025,Tyt,23,91,1,182.921,29.521,23XI Racing,False,False,20,28,green
William Byron,4184,Chv,24,121,2,182.865,29.530,Hendrick Motorsports,False,False,8,4,green
William Byron,4184,Chv,24,251,4,182.852,29.532,Hendrick Motorsports,False,False,8,4,green
Kyle Busch,454,Chv,8,2,4,182.852,29.532,Richard Childress Racing,False,False,4,33,green
William Byron,4184,Chv,24,176,2,182.797,29.541,Hendrick Motorsports,False,False,8,4,green
Daniel Suarez,4113,Chv,99,202,2,182.753,29.548,Trackhouse Racing,False,False,23,2,green
Josh Berry,4123,Frd,21,255,1,182.710,29.555,Wood Brothers Racing,False,False,7,1,green
Tyler Reddick,4065,Tyt,45,204,1,182.692,29.558,23XI Racing,False,False,14,24,green
Alex Bowman,4045,Chv,48,2,6,182.642,29.566,Hendrick Motorsports,False,False,6,7,green
Austin Cindric,4180,Frd,2,90,3,182.599,29.573,Team Penske,False,False,3,6,green
Kyle Larson,4030,Chv,5,121,1,182.587,29.575,Hendrick Motorsports,False,False,10,9,green
Alex Bowman,4045,Chv,48,93,35,182.537,29.583,Hendrick Motorsports,False,False,6,7,green
Ryan Blaney,4023,Frd,12,176,7,182.519,29.586,Team Penske,False,False,36,35,green
Bubba Wallace,4025,Tyt,23,176,6,182.513,29.587,23XI Racing,False,False,20,28,green
Kyle Larson,4030,Chv,5,176,1,182.488,29.591,Hendrick Motorsports,False,False,10,9,green
Alex Bowman,4045,Chv,48,43,2,182.445,29.598,Hendrick Motorsports,False,False,6,7,green
Kyle Larson,4030,Chv,5,158,3,182.439,29.599,Hendrick Motorsports,False,False,10,9,green
Tyler Reddick,4065,Tyt,45,123,3,182.426,29.601,23XI Racing,False,False,14,24,green
Kyle Busch,454,Chv,8,4,6,182.420,29.602,Richard Childress Racing,False,False,4,33,green
Alex Bowman,4045,Chv,48,92,35,182.420,29.602,Hendrick Motorsports,False,False,6,7,green
Daniel Suarez,4113,Chv,99,122,5,182.408,29.604,Trackhouse Racing,False,False,23,2,green
William Byron,4184,Chv,24,252,4,182.377,29.609,Hendrick Motorsports,False,False,8,4,green
Ross Chastain,4001,Chv,1,176,4,182.359,29.612,Trackhouse Racing,False,False,19,5,green
Kyle Larson,4030,Chv,5,177,1,182.340,29.615,Hendrick Motorsports,False,False,10,9,green
Kyle Larson,4030,Chv,5,90,2,182.309,29.620,Hendrick Motorsports,False,False,10,9,green
Daniel Suarez,4113,Chv,99,204,2,182.303,29.621,Trackhouse Racing,False,False,23,2,green
Josh Berry,4123,Frd,21,122,6,182.285,29.624,Wood Brothers Racing,False,False,7,1,green
Tyler Reddick,4065,Tyt,45,42,6,182.278,29.625,23XI Racing,False,False,14,24,green
Michael McDowell,3832,Chv,71,2,2,182.272,29.626,Spire Motorsports,False,False,1,16,green
AJ Allmendinger,3774,Chv,16,252,7,182.260,29.628,Kaulig Racing,False,False,18,8,green
Josh Berry,4123,Frd,21,256,1,182.260,29.628,Wood Brothers Racing,False,False,7,1,green
Alex Bowman,4045,Chv,48,96,35,182.254,29.629,Hendrick Motorsports,False,False,6,7,green
Joey Logano,3859,Frd,22,5,1,182.248,29.630,Team Penske,False,False,2,15,green
Ryan Preece,4070,Frd,60,202,4,182.235,29.632,RFK Racing,False,False,12,3,green
Austin Cindric,4180,Frd,2,5,3,182.217,29.635,Team Penske,False,False,3,6,green
Kyle Larson,4030,Chv,5,91,2,182.205,29.637,Hendrick Motorsports,False,False,10,9,green
Bubba Wallace,4025,Tyt,23,42,4,182.199,29.638,23XI Racing,False,False,20,28,green
William Byron,4184,Chv,24,3,5,182.186,29.640,Hendrick Motorsports,False,False,8,4,green
William Byron,4184,Chv,24,123,2,182.174,29.642,Hendrick Motorsports,False,False,8,4,green
AJ Allmendinger,3774,Chv,16,92,7,182.162,29.644,Kaulig Racing,False,False,18,8,green
Kyle Larson,4030,Chv,5,93,2,182.156,29.645,Hendrick Motorsports,False,False,10,9,green
Kyle Larson,4030,Chv,5,94,2,182.149,29.646,Hendrick Motorsports,False,False,10,9,green
Noah Gragson,4224,Frd,4,202,5,182.149,29.646,Front Row Motorsports,False,False,21,31,green
Tyler Reddick,4065,Tyt,45,122,3,182.137,29.648,23XI Racing,False,False,14,24,green
Josh Berry,4123,Frd,21,202,6,182.137,29.648,Wood Brothers Racing,False,False,7,1,green
Ross Chastain,4001,Chv,1,154,1,182.113,29.652,Trackhouse Racing,False,False,19,5,green
Christopher Bell,4153,Tyt,20,91,6,182.100,29.654,Joe Gibbs Racing,False,False,13,12,green
Bubba Wallace,4025,Tyt,23,122,4,182.076,29.658,23XI Racing,False,False,20,28,green
Austin Cindric,4180,Frd,2,48,1,182.063,29.660,Team Penske,False,False,3,6,green
Alex Bowman,4045,Chv,48,95,35,182.063,29.660,Hendrick Motorsports,False,False,6,7,green
Ross Chastain,4001,Chv,1,155,1,182.057,29.661,Trackhouse Racing,False,False,19,5,green
William Byron,4184,Chv,24,158,2,182.051,29.662,Hendrick Motorsports,False,False,8,4,green
Austin Cindric,4180,Frd,2,252,6,182.045,29.663,Team Penske,False,False,3,6,green
Chase Elliott,4062,Chv,9,43,4,182.039,29.664,Hendrick Motorsports,False,False,16,10,green
Joey Logano,3859,Frd,22,122,8,182.033,29.665,Team Penske,False,False,2,15,green
Austin Cindric,4180,Frd,2,45,1,182.020,29.667,Team Penske,False,False,3,6,green
Josh Berry,4123,Frd,21,254,1,182.002,29.670,Wood Brothers Racing,False,False,7,1,green
Bubba Wallace,4025,Tyt,23,2,13,181.977,29.674,23XI Racing,False,False,20,28,green
Alex Bowman,4045,Chv,48,204,10,181.977,29.674,Hendrick Motorsports,False,False,6,7,green
Carson Hocevar,4326,Chv,77,177,13,181.971,29.675,Spire Motorsports,False,False,25,30,green
Carson Hocevar,4326,Chv,77,92,10,181.965,29.676,Spire Motorsports,False,False,25,30,green
Austin Cindric,4180,Frd,2,47,1,181.959,29.677,Team Penske,False,False,3,6,green
Tyler Reddick,4065,Tyt,45,3,9,181.953,29.678,23XI Racing,False,False,14,24,green
William Byron,4184,Chv,24,92,5,181.935,29.681,Hendrick Motorsports,False,False,8,4,green
Joey Logano,3859,Frd,22,44,5,181.916,29.684,Team Penske,False,False,2,15,green
Christopher Bell,4153,Tyt,20,42,8,181.916,29.684,Joe Gibbs Racing,False,False,13,12,green
William Byron,4184,Chv,24,124,2,181.910,29.685,Hendrick Motorsports,False,False,8,4,green
Noah Gragson,4224,Frd,4,177,8,181.904,29.686,Front Row Motorsports,False,False,21,31,green
Ryan Preece,4070,Frd,60,250,5,181.904,29.686,RFK Racing,False,False,12,3,green
Joey Logano,3859,Frd,22,90,4,181.904,29.686,Team Penske,False,False,2,15,green
Josh Berry,4123,Frd,21,42,7,181.904,29.686,Wood Brothers Racing,False,False,7,1,green
Carson Hocevar,4326,Chv,77,44,10,181.898,29.687,Spire Motorsports,False,False,25,30,green
Kyle Busch,454,Chv,8,5,6,181.898,29.687,Richard Childress Racing,False,False,4,33,green
Michael McDowell,3832,Chv,71,203,3,181.886,29.689,Spire Motorsports,False,False,1,16,green
Austin Cindric,4180,Frd,2,42,2,181.879,29.690,Team Penske,False,False,3,6,green
William Byron,4184,Chv,24,91,5,181.879,29.690,Hendrick Motorsports,False,False,8,4,green
Joey Logano,3859,Frd,22,93,3,181.879,29.690,Team Penske,False,False,2,15,green
Ross Chastain,4001,Chv,1,175,5,181.873,29.691,Trackhouse Racing,False,False,19,5,green
Denny Hamlin,1361,Tyt,11,203,7,181.855,29.694,Joe Gibbs Racing,False,False,15,25,green
Austin Cindric,4180,Frd,2,6,3,181.830,29.698,Team Penske,False,False,3,6,green
William Byron,4184,Chv,24,90,5,181.824,29.699,Hendrick Motorsports,False,False,8,4,green
Carson Hocevar,4326,Chv,77,202,10,181.824,29.699,Spire Motorsports,False,False,25,30,green
Kyle Larson,4030,Chv,5,178,1,181.806,29.702,Hendrick Motorsports,False,False,10,9,green
Michael McDowell,3832,Chv,71,6,2,181.806,29.702,Spire Motorsports,False,False,1,16,green
Tyler Reddick,4065,Tyt,45,125,3,181.806,29.702,23XI Racing,False,False,14,24,green
Bubba Wallace,4025,Tyt,23,93,1,181.794,29.704,23XI Racing,False,False,20,28,green
Josh Berry,4123,Frd,21,123,6,181.788,29.705,Wood Brothers Racing,False,False,7,1,green
Erik Jones,4059,Tyt,43,3,7,181.775,29.707,Legacy Motor Club,False,False,5,27,green
Alex Bowman,4045,Chv,48,42,1,181.757,29.710,Hendrick Motorsports,False,False,6,7,green
Joey Logano,3859,Frd,22,204,8,181.745,29.712,Team Penske,False,False,2,15,green
Kyle Larson,4030,Chv,5,92,2,181.745,29.712,Hendrick Motorsports,False,False,10,9,green
Ricky Stenhouse Jr.,3888,Chv,47,43,13,181.739,29.713,HYAK Motorsports,False,False,31,18,green
William Byron,4184,Chv,24,125,2,181.733,29.714,Hendrick Motorsports,False,False,8,4,green
Tyler Reddick,4065,Tyt,45,205,1,181.714,29.717,23XI Racing,False,False,14,24,green
Joey Logano,3859,Frd,22,6,1,181.708,29.718,Team Penske,False,False,2,15,green
William Byron,4184,Chv,24,5,4,181.708,29.718,Hendrick Motorsports,False,False,8,4,green
Chase Elliott,4062,Chv,9,42,3,181.702,29.719,Hendrick Motorsports,False,False,16,10,green
Joey Logano,3859,Frd,22,91,4,181.696,29.720,Team Penske,False,False,2,15,green
Alex Bowman,4045,Chv,48,47,2,181.690,29.721,Hendrick Motorsports,False,False,6,7,green
Bubba Wallace,4025,Tyt,23,44,2,181.684,29.722,23XI Racing,False,False,20,28,green
Ross Chastain,4001,Chv,1,157,1,181.677,29.723,Trackhouse Racing,False,False,19,5,green
Bubba Wallace,4025,Tyt,23,157,5,181.665,29.725,23XI Racing,False,False,20,28,green
Erik Jones,4059,Tyt,43,156,2,181.647,29.728,Legacy Motor Club,False,False,5,27,green
Daniel Suarez,4113,Chv,99,205,2,181.641,29.729,Trackhouse Racing,False,False,23,2,green
Ryan Preece,4070,Frd,60,203,4,181.604,29.735,RFK Racing,False,False,12,3,green
Tyler Reddick,4065,Tyt,45,177,9,181.598,29.736,23XI Racing,False,False,14,24,green
Tyler Reddick,4065,Tyt,45,121,3,181.592,29.737,23XI Racing,False,False,14,24,green
Austin Cindric,4180,Frd,2,46,1,181.580,29.739,Team Penske,False,False,3,6,green
Alex Bowman,4045,Chv,48,251,8,181.574,29.740,Hendrick Motorsports,False,False,6,7,green
Bubba Wallace,4025,Tyt,23,177,5,181.574,29.740,23XI Racing,False,False,20,28,green
Alex Bowman,4045,Chv,48,94,35,181.568,29.741,Hendrick Motorsports,False,False,6,7,green
Kyle Larson,4030,Chv,5,124,1,181.568,29.741,Hendrick Motorsports,False,False,10,9,green
Alex Bowman,4045,Chv,48,46,2,181.561,29.742,Hendrick Motorsports,False,False,6,7,green
Kyle Larson,4030,Chv,5,179,1,181.561,29.742,Hendrick Motorsports,False,False,10,9,green
Michael McDowell,3832,Chv,71,5,2,181.555,29.743,Spire Motorsports,False,False,1,16,green
Tyler Reddick,4065,Tyt,45,124,3,181.543,29.745,23XI Racing,False,False,14,24,green
Michael McDowell,3832,Chv,71,175,3,181.543,29.745,Spire Motorsports,False,False,1,16,green
Ross Chastain,4001,Chv,1,177,4,181.537,29.746,Trackhouse Racing,False,False,19,5,green
Tyler Reddick,4065,Tyt,45,178,8,181.531,29.747,23XI Racing,False,False,14,24,green
Daniel Suarez,4113,Chv,99,123,5,181.513,29.750,Trackhouse Racing,False,False,23,2,green
AJ Allmendinger,3774,Chv,16,91,8,181.507,29.751,Kaulig Racing,False,False,18,8,green
Daniel Suarez,4113,Chv,99,176,3,181.507,29.751,Trackhouse Racing,False,False,23,2,green
Kyle Larson,4030,Chv,5,125,1,181.500,29.752,Hendrick Motorsports,False,False,10,9,green
Ryan Blaney,4023,Frd,12,177,7,181.482,29.755,Team Penske,False,False,36,35,green
Noah Gragson,4224,Frd,4,203,5,181.476,29.756,Front Row Motorsports,False,False,21,31,green
