driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Justin Haley,4172,Chv,7,95,34,94.278,75.988,Spire Motorsports,False,False,29,15,green
Christopher Bell,4153,Tyt,20,90,9,94.252,76.009,Joe Gibbs Racing,False,False,10,5,green
Carson Hocevar,4326,Chv,77,90,23,94.226,76.030,Spire Motorsports,False,False,23,32,green
Chris Buescher,3989,Frd,17,88,8,94.225,76.031,RFK Racing,False,False,14,16,green
Carson Hocevar,4326,Chv,77,89,24,94.196,76.054,Spire Motorsports,False,False,23,32,green
William Byron,4184,Chv,24,93,6,94.133,76.105,Hendrick Motorsports,False,False,3,8,green
Chris Buescher,3989,Frd,17,91,5,94.133,76.105,RFK Racing,False,False,14,16,green
Chase Briscoe,4228,Tyt,19,93,2,94.094,76.137,Joe Gibbs Racing,False,False,2,2,green
Christopher Bell,4153,Tyt,20,93,7,94.092,76.138,Joe Gibbs Racing,False,False,10,5,green
Chris Buescher,3989,Frd,17,95,4,94.086,76.143,RFK Racing,False,False,14,16,green
Ty Gibbs,4368,Tyt,54,86,17,94.084,76.145,Joe Gibbs Racing,False,False,6,7,green
William Byron,4184,Chv,24,89,9,94.064,76.161,Hendrick Motorsports,False,False,3,8,green
Shane Van Gisbergen,4469,Chv,88,94,1,94.061,76.163,Trackhouse Racing,False,False,1,1,green
Chris Buescher,3989,Frd,17,90,5,94.058,76.166,RFK Racing,False,False,14,16,green
Christopher Bell,4153,Tyt,20,87,13,94.042,76.179,Joe Gibbs Racing,False,False,10,5,green
Chase Briscoe,4228,Tyt,19,94,2,94.023,76.194,Joe Gibbs Racing,False,False,2,2,green
Chase Elliott,4062,Chv,9,84,16,94.008,76.206,Hendrick Motorsports,False,False,13,3,green
Shane Van Gisbergen,4469,Chv,88,6,1,94.007,76.207,Trackhouse Racing,False,False,1,1,green
Chase Briscoe,4228,Tyt,19,89,3,94.003,76.210,Joe Gibbs Racing,False,False,2,2,green
Shane Van Gisbergen,4469,Chv,88,76,1,93.998,76.214,Trackhouse Racing,False,False,1,1,green
Carson Hocevar,4326,Chv,77,91,22,93.968,76.239,Spire Motorsports,False,False,23,32,green
Tyler Reddick,4065,Tyt,45,87,19,93.950,76.253,23XI Racing,False,False,8,6,green
Chris Buescher,3989,Frd,17,86,12,93.932,76.268,RFK Racing,False,False,14,16,green
Chase Briscoe,4228,Tyt,19,90,3,93.905,76.290,Joe Gibbs Racing,False,False,2,2,green
Chris Buescher,3989,Frd,17,84,18,93.895,76.298,RFK Racing,False,False,14,16,green
Ricky Stenhouse Jr.,3888,Chv,47,89,26,93.885,76.306,HYAK Motorsports,False,False,34,33,green
Shane Van Gisbergen,4469,Chv,88,95,1,93.884,76.307,Trackhouse Racing,False,False,1,1,green
William Byron,4184,Chv,24,95,6,93.884,76.307,Hendrick Motorsports,False,False,3,8,green
William Byron,4184,Chv,24,5,2,93.883,76.308,Hendrick Motorsports,False,False,3,8,green
Shane Van Gisbergen,4469,Chv,88,5,1,93.875,76.314,Trackhouse Racing,False,False,1,1,green
Chris Buescher,3989,Frd,17,83,20,93.865,76.322,RFK Racing,False,False,14,16,green
Shane Van Gisbergen,4469,Chv,88,78,1,93.838,76.344,Trackhouse Racing,False,False,1,1,green
Chase Elliott,4062,Chv,9,92,4,93.815,76.363,Hendrick Motorsports,False,False,13,3,green
Chase Elliott,4062,Chv,9,91,4,93.805,76.371,Hendrick Motorsports,False,False,13,3,green
Chase Elliott,4062,Chv,9,87,6,93.803,76.373,Hendrick Motorsports,False,False,13,3,green
Brad Keselowski,1816,Frd,6,86,15,93.787,76.386,RFK Racing,False,False,21,11,green
AJ Allmendinger,3774,Chv,16,90,19,93.783,76.389,Kaulig Racing,False,False,5,18,green
Shane Van Gisbergen,4469,Chv,88,8,1,93.781,76.391,Trackhouse Racing,False,False,1,1,green
William Byron,4184,Chv,24,8,2,93.779,76.392,Hendrick Motorsports,False,False,3,8,green
Christopher Bell,4153,Tyt,20,95,7,93.772,76.398,Joe Gibbs Racing,False,False,10,5,green
Carson Hocevar,4326,Chv,77,94,19,93.770,76.400,Spire Motorsports,False,False,23,32,green
Brad Keselowski,1816,Frd,6,87,12,93.760,76.408,RFK Racing,False,False,21,11,green
Chase Elliott,4062,Chv,9,95,3,93.749,76.417,Hendrick Motorsports,False,False,13,3,green
Chase Briscoe,4228,Tyt,19,95,2,93.748,76.418,Joe Gibbs Racing,False,False,2,2,green
Shane Van Gisbergen,4469,Chv,88,77,1,93.748,76.418,Trackhouse Racing,False,False,1,1,green
Ryan Preece,4070,Frd,60,5,17,93.743,76.422,RFK Racing,False,False,20,12,green
Ty Gibbs,4368,Tyt,54,87,15,93.734,76.429,Joe Gibbs Racing,False,False,6,7,green
Justin Haley,4172,Chv,7,94,34,93.725,76.436,Spire Motorsports,False,False,29,15,green
Bubba Wallace,4025,Tyt,23,91,27,93.725,76.436,23XI Racing,False,False,30,26,green
Shane Van Gisbergen,4469,Chv,88,82,1,93.723,76.438,Trackhouse Racing,False,False,1,1,green
Shane Van Gisbergen,4469,Chv,88,74,1,93.717,76.443,Trackhouse Racing,False,False,1,1,green
Kyle Larson,4030,Chv,5,91,14,93.711,76.448,Hendrick Motorsports,False,False,11,35,green
Shane Van Gisbergen,4469,Chv,88,73,1,93.711,76.448,Trackhouse Racing,False,False,1,1,green
Shane Van Gisbergen,4469,Chv,88,71,1,93.710,76.449,Trackhouse Racing,False,False,1,1,green
Chase Elliott,4062,Chv,9,85,12,93.708,76.450,Hendrick Motorsports,False,False,13,3,green
Carson Hocevar,4326,Chv,77,42,37,93.706,76.452,Spire Motorsports,False,False,23,32,green
Brad Keselowski,1816,Frd,6,84,19,93.703,76.454,RFK Racing,False,False,21,11,green
Ross Chastain,4001,Chv,1,88,15,93.700,76.457,Trackhouse Racing,False,False,4,24,green
AJ Allmendinger,3774,Chv,16,89,20,93.681,76.472,Kaulig Racing,False,False,5,18,green
