driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Tyler Reddick,4065,Tyt,45,257,1,433.228,7.271,23XI Racing,False,False,22,19,caution
Brad Keselowski,1816,Frd,6,197,1,132.643,23.748,RFK Racing,False,False,5,3,green
Brad Keselowski,1816,Frd,6,199,1,132.514,23.771,RFK Racing,False,False,5,3,green
Brad Keselowski,1816,Frd,6,200,1,132.425,23.787,RFK Racing,False,False,5,3,green
Brad Keselowski,1816,Frd,6,196,1,132.375,23.796,RFK Racing,False,False,5,3,green
Ryan Blaney,4023,Frd,12,94,2,132.314,23.807,Team Penske,False,False,6,4,green
William Byron,4184,Chv,24,7,1,132.281,23.813,Hendrick Motorsports,False,False,2,1,green
Brad Keselowski,1816,Frd,6,195,1,132.281,23.813,RFK Racing,False,False,5,3,green
Brad Keselowski,1816,Frd,6,188,1,132.275,23.814,RFK Racing,False,False,5,3,green
Brad Keselowski,1816,Frd,6,202,1,132.247,23.819,RFK Racing,False,False,5,3,green
Ryan Blaney,4023,Frd,12,190,2,132.203,23.827,Team Penske,False,False,6,4,green
Brad Keselowski,1816,Frd,6,14,3,132.197,23.828,RFK Racing,False,False,5,3,green
William Byron,4184,Chv,24,88,3,132.170,23.833,Hendrick Motorsports,False,False,2,1,green
Brad Keselowski,1816,Frd,6,201,1,132.164,23.834,RFK Racing,False,False,5,3,green
Brad Keselowski,1816,Frd,6,192,1,132.164,23.834,RFK Racing,False,False,5,3,green
Austin Cindric,4180,Frd,2,8,2,132.164,23.834,Team Penske,False,False,4,12,green
Brad Keselowski,1816,Frd,6,9,3,132.136,23.839,RFK Racing,False,False,5,3,green
William Byron,4184,Chv,24,293,1,132.125,23.841,Hendrick Motorsports,False,False,2,1,green
Ryan Blaney,4023,Frd,12,196,2,132.120,23.842,Team Penske,False,False,6,4,green
William Byron,4184,Chv,24,292,1,132.114,23.843,Hendrick Motorsports,False,False,2,1,green
Brad Keselowski,1816,Frd,6,190,1,132.109,23.844,RFK Racing,False,False,5,3,green
Brad Keselowski,1816,Frd,6,198,1,132.109,23.844,RFK Racing,False,False,5,3,green
Austin Cindric,4180,Frd,2,12,2,132.092,23.847,Team Penske,False,False,4,12,green
Austin Cindric,4180,Frd,2,10,2,132.087,23.848,Team Penske,False,False,4,12,green
Brad Keselowski,1816,Frd,6,90,4,132.070,23.851,RFK Racing,False,False,5,3,green
Chase Briscoe,4228,Tyt,19,90,1,132.037,23.857,Joe Gibbs Racing,False,False,1,2,green
Austin Cindric,4180,Frd,2,16,2,132.026,23.859,Team Penske,False,False,4,12,green
