driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
AJ Allmendinger,3774,Chv,16,17,35,196.717,45.751,Kaulig Racing,False,False,21,26,green
William Byron,4184,Chv,24,25,27,196.412,45.822,Hendrick Motorsports,False,False,8,19,green
Erik Jones,4059,Tyt,43,17,34,196.194,45.873,Legacy Motor Club,False,False,26,5,green
Chase Briscoe,4228,Tyt,19,17,30,196.168,45.879,Joe Gibbs Racing,False,False,9,23,green
Shane Van Gisbergen,4469,Chv,88,154,23,195.916,45.938,Trackhouse Racing,False,False,17,16,green
Cody Ware,4125,Frd,51,25,30,195.831,45.958,Rick Ware Racing,False,False,35,20,green
Tyler Reddick,4065,Tyt,45,25,34,195.780,45.970,23XI Racing,False,False,27,21,green
Ty Dillon,4013,Chv,10,17,25,195.767,45.973,Kaulig Racing,False,False,23,22,green
Erik Jones,4059,Tyt,43,157,20,195.754,45.976,Legacy Motor Club,False,False,26,5,green
Ty Gibbs,4368,Tyt,54,17,29,195.652,46.000,Joe Gibbs Racing,False,False,18,8,green
Tyler Reddick,4065,Tyt,45,154,19,195.559,46.022,23XI Racing,False,False,27,21,green
William Byron,4184,Chv,24,17,31,195.525,46.030,Hendrick Motorsports,False,False,8,19,green
Chris Buescher,3989,Frd,17,25,33,195.486,46.039,RFK Racing,False,False,24,7,green
Erik Jones,4059,Tyt,43,95,17,195.474,46.042,Legacy Motor Club,False,False,26,5,green
Christopher Bell,4153,Tyt,20,17,32,195.448,46.048,Joe Gibbs Racing,False,False,15,13,green
Shane Van Gisbergen,4469,Chv,88,95,20,195.435,46.051,Trackhouse Racing,False,False,17,16,green
Todd Gilliland,4231,Frd,34,25,26,195.427,46.053,Front Row Motorsports,False,False,28,11,green
Cole Custer,4104,Frd,41,133,23,195.363,46.068,Haas Factory Team,False,False,29,4,green
AJ Allmendinger,3774,Chv,16,153,26,195.346,46.072,Kaulig Racing,False,False,21,26,restart
Riley Herbst,4269,Tyt,35,17,19,195.262,46.092,23XI Racing,False,False,33,40,green
Ryan Blaney,4023,Frd,12,154,13,195.181,46.111,Team Penske,False,False,1,1,green
Josh Berry,4123,Frd,21,154,17,195.173,46.113,Wood Brothers Racing,False,False,11,9,green
Austin Dillon,3873,Chv,3,154,20,195.152,46.118,Richard Childress Racing,False,False,7,24,green
John Hunter Nemechek,4092,Tyt,42,154,15,195.152,46.118,Legacy Motor Club,False,False,34,17,green
Cole Custer,4104,Frd,41,154,11,195.139,46.121,Haas Factory Team,False,False,29,4,green
Josh Berry,4123,Frd,21,17,26,195.122,46.125,Wood Brothers Racing,False,False,11,9,green
Christopher Bell,4153,Tyt,20,154,7,195.118,46.126,Joe Gibbs Racing,False,False,15,13,green
Erik Jones,4059,Tyt,43,154,1,195.118,46.126,Legacy Motor Club,False,False,26,5,green
Chase Elliott,4062,Chv,9,154,5,195.109,46.128,Hendrick Motorsports,False,False,30,10,green
Ty Dillon,4013,Chv,10,154,22,195.105,46.129,Kaulig Racing,False,False,23,22,green
Brad Keselowski,1816,Frd,6,154,18,195.101,46.130,RFK Racing,False,False,10,18,green
William Byron,4184,Chv,24,154,9,195.101,46.130,Hendrick Motorsports,False,False,8,19,green
Kyle Larson,4030,Chv,5,154,3,195.092,46.132,Hendrick Motorsports,False,False,3,6,green
Ross Chastain,4001,Chv,1,154,12,195.059,46.140,Trackhouse Racing,False,False,19,15,green
Chase Briscoe,4228,Tyt,19,154,16,195.037,46.145,Joe Gibbs Racing,False,False,9,23,green
Joey Logano,3859,Frd,22,153,27,195.033,46.146,Team Penske,False,False,4,27,restart
Cody Ware,4125,Frd,51,154,14,195.020,46.149,Rick Ware Racing,False,False,35,20,green
Ricky Stenhouse Jr.,3888,Chv,47,17,22,194.982,46.158,HYAK Motorsports,False,False,25,35,green
