driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Chase Briscoe,4228,Tyt,19,2,1,183.711,29.394,Joe Gibbs Racing,True,False,2,4,green
Kyle Larson,4030,Chv,5,174,1,183.624,29.408,Hendrick Motorsports,True,False,6,2,green
Tyler Reddick,4065,Tyt,45,174,2,183.443,29.437,23XI Racing,False,False,8,5,green
Kyle Larson,4030,Chv,5,255,3,183.299,29.460,Hendrick Motorsports,True,False,6,2,green
Christopher Bell,4153,Tyt,20,175,3,183.194,29.477,Joe Gibbs Racing,True,False,3,3,green
Chase Briscoe,4228,Tyt,19,255,1,183.026,29.504,Joe Gibbs Racing,True,False,2,4,green
Kyle Larson,4030,Chv,5,175,1,182.661,29.563,Hendrick Motorsports,True,False,6,2,green
Joey Logano,3859,Frd,22,255,2,182.562,29.579,Team Penske,True,False,9,6,green
Tyler Reddick,4065,Tyt,45,255,5,182.439,29.599,23XI Racing,False,False,8,5,green
Denny Hamlin,1361,Tyt,11,3,2,182.371,29.610,Joe Gibbs Racing,True,False,1,1,green
Denny Hamlin,1361,Tyt,11,4,2,182.334,29.616,Joe Gibbs Racing,True,False,1,1,green
Denny Hamlin,1361,Tyt,11,256,4,182.334,29.616,Joe Gibbs Racing,True,False,1,1,green
William Byron,4184,Chv,24,2,5,182.322,29.618,Hendrick Motorsports,True,False,5,36,green
Denny Hamlin,1361,Tyt,11,257,3,182.278,29.625,Joe Gibbs Racing,True,False,1,1,green
Tyler Reddick,4065,Tyt,45,175,2,182.223,29.634,23XI Racing,False,False,8,5,green
Christopher Bell,4153,Tyt,20,174,3,182.217,29.635,Joe Gibbs Racing,True,False,3,3,green
William Byron,4184,Chv,24,175,4,182.186,29.640,Hendrick Motorsports,True,False,5,36,green
Christopher Bell,4153,Tyt,20,2,3,182.186,29.640,Joe Gibbs Racing,True,False,3,3,green
Denny Hamlin,1361,Tyt,11,258,3,182.162,29.644,Joe Gibbs Racing,True,False,1,1,green
Kyle Larson,4030,Chv,5,257,2,182.131,29.649,Hendrick Motorsports,True,False,6,2,green
Chase Briscoe,4228,Tyt,19,3,1,182.094,29.655,Joe Gibbs Racing,True,False,2,4,green
Christopher Bell,4153,Tyt,20,176,3,182.051,29.662,Joe Gibbs Racing,True,False,3,3,green
Chase Briscoe,4228,Tyt,19,4,1,182.045,29.663,Joe Gibbs Racing,True,False,2,4,green
Chase Briscoe,4228,Tyt,19,256,1,182.039,29.664,Joe Gibbs Racing,True,False,2,4,green
Ty Gibbs,4368,Tyt,54,174,7,181.971,29.675,Joe Gibbs Racing,False,False,10,34,green
William Byron,4184,Chv,24,176,4,181.941,29.680,Hendrick Motorsports,True,False,5,36,green
Denny Hamlin,1361,Tyt,11,5,2,181.935,29.681,Joe Gibbs Racing,True,False,1,1,green
Chase Elliott,4062,Chv,9,2,4,181.892,29.688,Hendrick Motorsports,True,False,4,18,green
Chase Briscoe,4228,Tyt,19,174,6,181.824,29.699,Joe Gibbs Racing,True,False,2,4,green
Kyle Larson,4030,Chv,5,2,7,181.781,29.706,Hendrick Motorsports,True,False,6,2,green
Alex Bowman,4045,Chv,48,175,8,181.739,29.713,Hendrick Motorsports,False,False,12,7,green
Denny Hamlin,1361,Tyt,11,2,2,181.733,29.714,Joe Gibbs Racing,True,False,1,1,green
Chase Briscoe,4228,Tyt,19,257,1,181.702,29.719,Joe Gibbs Racing,True,False,2,4,green
William Byron,4184,Chv,24,89,3,181.696,29.720,Hendrick Motorsports,True,False,5,36,green
Kyle Larson,4030,Chv,5,256,2,181.659,29.726,Hendrick Motorsports,True,False,6,2,green
Kyle Larson,4030,Chv,5,258,2,181.531,29.747,Hendrick Motorsports,True,False,6,2,green
Bubba Wallace,4025,Tyt,23,79,5,181.519,29.749,23XI Racing,False,False,7,22,green
William Byron,4184,Chv,24,177,4,181.513,29.750,Hendrick Motorsports,True,False,5,36,green
Christopher Bell,4153,Tyt,20,257,8,181.513,29.750,Joe Gibbs Racing,True,False,3,3,green
Kyle Larson,4030,Chv,5,176,1,181.482,29.755,Hendrick Motorsports,True,False,6,2,green
William Byron,4184,Chv,24,174,5,181.476,29.756,Hendrick Motorsports,True,False,5,36,green
Tyler Reddick,4065,Tyt,45,177,2,181.476,29.756,23XI Racing,False,False,8,5,green
Chase Briscoe,4228,Tyt,19,88,2,181.433,29.763,Joe Gibbs Racing,True,False,2,4,green
William Byron,4184,Chv,24,79,1,181.385,29.771,Hendrick Motorsports,True,False,5,36,green
