driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Bubba Wallace,4025,Tyt,23,218,1,167.002,32.335,23XI Racing,False,False,9,3,green
Alex Bowman,4045,Chv,48,90,1,166.169,32.497,Hendrick Motorsports,False,False,1,2,green
Bubba Wallace,4025,Tyt,23,175,2,166.118,32.507,23XI Racing,False,False,9,3,green
Kyle Larson,4030,Chv,5,175,1,165.843,32.561,Hendrick Motorsports,False,False,14,1,green
Chris Buescher,3989,Frd,17,218,7,165.781,32.573,RFK Racing,False,False,11,6,green
Tyler Reddick,4065,Tyt,45,175,4,165.746,32.580,23XI Racing,False,False,20,8,green
Denny Hamlin,1361,Tyt,11,90,4,165.741,32.581,Joe Gibbs Racing,False,False,23,5,green
Tyler Reddick,4065,Tyt,45,218,5,165.741,32.581,23XI Racing,False,False,20,8,green
Ryan Blaney,4023,Frd,12,77,1,165.731,32.583,Team Penske,False,False,6,36,green
Alex Bowman,4045,Chv,48,175,5,165.629,32.603,Hendrick Motorsports,False,False,1,2,green
Alex Bowman,4045,Chv,48,2,1,165.563,32.616,Hendrick Motorsports,False,False,1,2,green
Ryan Blaney,4023,Frd,12,91,2,165.375,32.653,Team Penske,False,False,6,36,green
Ryan Blaney,4023,Frd,12,90,3,165.375,32.653,Team Penske,False,False,6,36,green
Alex Bowman,4045,Chv,48,77,2,165.239,32.680,Hendrick Motorsports,False,False,1,2,green
Alex Bowman,4045,Chv,48,218,2,165.168,32.694,Hendrick Motorsports,False,False,1,2,green
William Byron,4184,Chv,24,90,2,165.143,32.699,Hendrick Motorsports,False,False,5,12,green
Chase Briscoe,4228,Tyt,19,218,6,165.128,32.702,Joe Gibbs Racing,False,False,4,4,green
Josh Berry,4123,Frd,21,2,2,165.097,32.708,Wood Brothers Racing,False,False,2,17,green
Bubba Wallace,4025,Tyt,23,90,7,165.072,32.713,23XI Racing,False,False,9,3,green
Denny Hamlin,1361,Tyt,11,175,3,164.885,32.750,Joe Gibbs Racing,False,False,23,5,green
Kyle Larson,4030,Chv,5,218,4,164.830,32.761,Hendrick Motorsports,False,False,14,1,green
Austin Cindric,4180,Frd,2,175,7,164.815,32.764,Team Penske,False,False,8,19,green
Ryan Blaney,4023,Frd,12,2,3,164.745,32.778,Team Penske,False,False,6,36,green
Noah Gragson,4224,Frd,4,90,5,164.654,32.796,Front Row Motorsports,False,False,3,16,green
Bubba Wallace,4025,Tyt,23,219,1,164.649,32.797,23XI Racing,False,False,9,3,green
Noah Gragson,4224,Frd,4,2,4,164.559,32.815,Front Row Motorsports,False,False,3,16,green
Denny Hamlin,1361,Tyt,11,91,4,164.534,32.820,Joe Gibbs Racing,False,False,23,5,green
William Byron,4184,Chv,24,175,6,164.514,32.824,Hendrick Motorsports,False,False,5,12,green
Austin Cindric,4180,Frd,2,2,7,164.479,32.831,Team Penske,False,False,8,19,green
Carson Hocevar,4326,Chv,77,90,6,164.424,32.842,Spire Motorsports,False,False,15,37,green
Chris Buescher,3989,Frd,17,2,8,164.419,32.843,RFK Racing,False,False,11,6,green
Carson Hocevar,4326,Chv,77,119,22,164.409,32.845,Spire Motorsports,False,False,15,37,green
Alex Bowman,4045,Chv,48,91,1,164.314,32.864,Hendrick Motorsports,False,False,1,2,green
Denny Hamlin,1361,Tyt,11,218,3,164.299,32.867,Joe Gibbs Racing,False,False,23,5,green
Austin Dillon,3873,Chv,3,218,8,164.289,32.869,Richard Childress Racing,False,False,30,13,green
Alex Bowman,4045,Chv,48,3,1,164.204,32.886,Hendrick Motorsports,False,False,1,2,green
Josh Berry,4123,Frd,21,3,2,164.189,32.889,Wood Brothers Racing,False,False,2,17,green
Bubba Wallace,4025,Tyt,23,176,2,164.164,32.894,23XI Racing,False,False,9,3,green
