driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
AJ Allmendinger,3774,Chv,16,396,16,124.759,15.380,Kaulig Racing,False,False,8,9,green
AJ Allmendinger,3774,Chv,16,395,16,124.751,15.381,Kaulig Racing,False,False,8,9,green
Kyle Larson,4030,Chv,5,144,1,124.711,15.386,Hendrick Motorsports,False,False,3,1,green
Kyle Larson,4030,Chv,5,267,1,124.412,15.423,Hendrick Motorsports,False,False,3,1,green
Joey Logano,3859,Frd,22,374,30,124.347,15.431,Team Penske,False,False,38,24,green
Austin Dillon,3873,Chv,3,394,19,124.323,15.434,Richard Childress Racing,False,False,17,10,green
AJ Allmendinger,3774,Chv,16,398,16,124.242,15.444,Kaulig Racing,False,False,8,9,green
AJ Allmendinger,3774,Chv,16,405,15,124.186,15.451,Kaulig Racing,False,False,8,9,green
Ty Gibbs,4368,Tyt,54,394,11,124.170,15.453,Joe Gibbs Racing,False,False,6,3,green
Joey Logano,3859,Frd,22,373,30,124.114,15.460,Team Penske,False,False,38,24,green
Justin Haley,4172,Chv,7,397,17,124.066,15.466,Spire Motorsports,False,False,10,13,green
Kyle Larson,4030,Chv,5,286,1,124.042,15.469,Hendrick Motorsports,False,False,3,1,green
Ty Gibbs,4368,Tyt,54,389,21,124.002,15.474,Joe Gibbs Racing,False,False,6,3,green
AJ Allmendinger,3774,Chv,16,403,15,123.994,15.475,Kaulig Racing,False,False,8,9,green
Chase Briscoe,4228,Tyt,19,394,15,123.986,15.476,Joe Gibbs Racing,False,False,14,4,green
Alex Bowman,4045,Chv,48,190,3,123.937,15.482,Hendrick Motorsports,False,False,1,37,green
Kyle Larson,4030,Chv,5,204,1,123.921,15.484,Hendrick Motorsports,False,False,3,1,green
Justin Haley,4172,Chv,7,396,17,123.889,15.488,Spire Motorsports,False,False,10,13,green
Kyle Larson,4030,Chv,5,208,1,123.881,15.489,Hendrick Motorsports,False,False,3,1,green
Christopher Bell,4153,Tyt,20,190,5,123.873,15.490,Joe Gibbs Racing,False,False,7,8,green
Ross Chastain,4001,Chv,1,393,17,123.841,15.494,Trackhouse Racing,False,False,35,7,green
Kyle Larson,4030,Chv,5,203,1,123.826,15.496,Hendrick Motorsports,False,False,3,1,green
Denny Hamlin,1361,Tyt,11,267,2,123.802,15.499,Joe Gibbs Racing,False,False,4,2,green
Carson Hocevar,4326,Chv,77,400,18,123.794,15.500,Spire Motorsports,False,False,9,11,green
Kyle Larson,4030,Chv,5,393,9,123.786,15.501,Hendrick Motorsports,False,False,3,1,green
Kyle Larson,4030,Chv,5,399,6,123.738,15.507,Hendrick Motorsports,False,False,3,1,green
Kyle Larson,4030,Chv,5,161,1,123.722,15.509,Hendrick Motorsports,False,False,3,1,green
Denny Hamlin,1361,Tyt,11,190,2,123.706,15.511,Joe Gibbs Racing,False,False,4,2,green
Austin Dillon,3873,Chv,3,397,18,123.706,15.511,Richard Childress Racing,False,False,17,10,green
Carson Hocevar,4326,Chv,77,271,5,123.698,15.512,Spire Motorsports,False,False,9,11,green
Austin Dillon,3873,Chv,3,396,18,123.674,15.515,Richard Childress Racing,False,False,17,10,green
Kyle Larson,4030,Chv,5,270,1,123.666,15.516,Hendrick Motorsports,False,False,3,1,green
Joey Logano,3859,Frd,22,376,30,123.666,15.516,Team Penske,False,False,38,24,green
Alex Bowman,4045,Chv,48,191,2,123.642,15.519,Hendrick Motorsports,False,False,1,37,green
Joey Logano,3859,Frd,22,375,30,123.618,15.522,Team Penske,False,False,38,24,green
Kyle Larson,4030,Chv,5,206,1,123.594,15.525,Hendrick Motorsports,False,False,3,1,green
Denny Hamlin,1361,Tyt,11,400,7,123.586,15.526,Joe Gibbs Racing,False,False,4,2,green
AJ Allmendinger,3774,Chv,16,144,8,123.562,15.529,Kaulig Racing,False,False,8,9,green
Kyle Larson,4030,Chv,5,205,1,123.554,15.530,Hendrick Motorsports,False,False,3,1,green
Kyle Larson,4030,Chv,5,281,1,123.546,15.531,Hendrick Motorsports,False,False,3,1,green
AJ Allmendinger,3774,Chv,16,404,15,123.539,15.532,Kaulig Racing,False,False,8,9,green
Denny Hamlin,1361,Tyt,11,393,10,123.539,15.532,Joe Gibbs Racing,False,False,4,2,green
Kyle Larson,4030,Chv,5,207,1,123.531,15.533,Hendrick Motorsports,False,False,3,1,green
Kyle Larson,4030,Chv,5,285,1,123.515,15.535,Hendrick Motorsports,False,False,3,1,green
Ross Chastain,4001,Chv,1,395,15,123.483,15.539,Trackhouse Racing,False,False,35,7,green
Kyle Larson,4030,Chv,5,209,1,123.475,15.540,Hendrick Motorsports,False,False,3,1,green
Ty Gibbs,4368,Tyt,54,390,20,123.475,15.540,Joe Gibbs Racing,False,False,6,3,green
Ross Chastain,4001,Chv,1,394,16,123.467,15.541,Trackhouse Racing,False,False,35,7,green
Denny Hamlin,1361,Tyt,11,269,2,123.451,15.543,Joe Gibbs Racing,False,False,4,2,green
Kyle Larson,4030,Chv,5,162,1,123.451,15.543,Hendrick Motorsports,False,False,3,1,green
Kyle Larson,4030,Chv,5,163,1,123.435,15.545,Hendrick Motorsports,False,False,3,1,green
Carson Hocevar,4326,Chv,77,144,2,123.419,15.547,Spire Motorsports,False,False,9,11,green
Ty Gibbs,4368,Tyt,54,271,4,123.419,15.547,Joe Gibbs Racing,False,False,6,3,green
Kyle Larson,4030,Chv,5,283,1,123.419,15.547,Hendrick Motorsports,False,False,3,1,green
Noah Gragson,4224,Frd,4,358,29,123.419,15.547,Front Row Motorsports,False,False,31,23,green
Ross Chastain,4001,Chv,1,396,15,123.395,15.550,Trackhouse Racing,False,False,35,7,green
Alex Bowman,4045,Chv,48,267,3,123.372,15.553,Hendrick Motorsports,False,False,1,37,green
Kyle Larson,4030,Chv,5,402,5,123.364,15.554,Hendrick Motorsports,False,False,3,1,green
Carson Hocevar,4326,Chv,77,196,5,123.364,15.554,Spire Motorsports,False,False,9,11,green
Carson Hocevar,4326,Chv,77,195,5,123.356,15.555,Spire Motorsports,False,False,9,11,green
Chase Briscoe,4228,Tyt,19,396,14,123.356,15.555,Joe Gibbs Racing,False,False,14,4,green
Cole Custer,4104,Frd,41,386,33,123.340,15.557,Haas Factory Team,False,False,33,29,green
Kyle Larson,4030,Chv,5,201,1,123.340,15.557,Hendrick Motorsports,False,False,3,1,green
Kyle Larson,4030,Chv,5,191,1,123.340,15.557,Hendrick Motorsports,False,False,3,1,green
Denny Hamlin,1361,Tyt,11,193,3,123.340,15.557,Joe Gibbs Racing,False,False,4,2,green
Kyle Larson,4030,Chv,5,397,7,123.332,15.558,Hendrick Motorsports,False,False,3,1,green
Carson Hocevar,4326,Chv,77,399,18,123.324,15.559,Spire Motorsports,False,False,9,11,green
Ty Gibbs,4368,Tyt,54,144,4,123.324,15.559,Joe Gibbs Racing,False,False,6,3,green
Bubba Wallace,4025,Tyt,23,441,22,123.316,15.560,23XI Racing,False,False,22,19,green
Chase Briscoe,4228,Tyt,19,393,15,123.316,15.560,Joe Gibbs Racing,False,False,14,4,green
Kyle Larson,4030,Chv,5,202,1,123.308,15.561,Hendrick Motorsports,False,False,3,1,green
Denny Hamlin,1361,Tyt,11,404,6,123.292,15.563,Joe Gibbs Racing,False,False,4,2,green
AJ Allmendinger,3774,Chv,16,392,20,123.292,15.563,Kaulig Racing,False,False,8,9,green
Justin Haley,4172,Chv,7,145,2,123.292,15.563,Spire Motorsports,False,False,10,13,green
Ty Gibbs,4368,Tyt,54,269,4,123.285,15.564,Joe Gibbs Racing,False,False,6,3,green
Austin Cindric,4180,Frd,2,388,24,123.261,15.567,Team Penske,False,False,21,17,green
Josh Berry,4123,Frd,21,401,19,123.253,15.568,Wood Brothers Racing,False,False,11,12,green
Bubba Wallace,4025,Tyt,23,442,21,123.253,15.568,23XI Racing,False,False,22,19,green
Kyle Larson,4030,Chv,5,282,1,123.253,15.568,Hendrick Motorsports,False,False,3,1,green
Justin Haley,4172,Chv,7,402,16,123.245,15.569,Spire Motorsports,False,False,10,13,green
AJ Allmendinger,3774,Chv,16,401,15,123.245,15.569,Kaulig Racing,False,False,8,9,green
Denny Hamlin,1361,Tyt,11,145,4,123.245,15.569,Joe Gibbs Racing,False,False,4,2,green
Carson Hocevar,4326,Chv,77,395,19,123.245,15.569,Spire Motorsports,False,False,9,11,green
Denny Hamlin,1361,Tyt,11,270,2,123.237,15.570,Joe Gibbs Racing,False,False,4,2,green
Christopher Bell,4153,Tyt,20,387,22,123.237,15.570,Joe Gibbs Racing,False,False,7,8,green
Alex Bowman,4045,Chv,48,271,3,123.229,15.571,Hendrick Motorsports,False,False,1,37,green
Kyle Larson,4030,Chv,5,268,1,123.221,15.572,Hendrick Motorsports,False,False,3,1,green
Christopher Bell,4153,Tyt,20,145,7,123.221,15.572,Joe Gibbs Racing,False,False,7,8,green
Kyle Larson,4030,Chv,5,287,1,123.221,15.572,Hendrick Motorsports,False,False,3,1,green
Noah Gragson,4224,Frd,4,359,29,123.213,15.573,Front Row Motorsports,False,False,31,23,green
Justin Haley,4172,Chv,7,144,3,123.205,15.574,Spire Motorsports,False,False,10,13,green
Denny Hamlin,1361,Tyt,11,399,7,123.205,15.574,Joe Gibbs Racing,False,False,4,2,green
Joey Logano,3859,Frd,22,372,30,123.174,15.578,Team Penske,False,False,38,24,green
Brad Keselowski,1816,Frd,6,404,23,123.174,15.578,RFK Racing,False,False,16,16,green
Ty Gibbs,4368,Tyt,54,190,7,123.166,15.579,Joe Gibbs Racing,False,False,6,3,green
Carson Hocevar,4326,Chv,77,396,19,123.166,15.579,Spire Motorsports,False,False,9,11,green
Chase Briscoe,4228,Tyt,19,397,14,123.150,15.581,Joe Gibbs Racing,False,False,14,4,green
Kyle Larson,4030,Chv,5,271,1,123.142,15.582,Hendrick Motorsports,False,False,3,1,green
Justin Haley,4172,Chv,7,400,16,123.134,15.583,Spire Motorsports,False,False,10,13,green
Carson Hocevar,4326,Chv,77,194,6,123.126,15.584,Spire Motorsports,False,False,9,11,green
Carson Hocevar,4326,Chv,77,270,5,123.103,15.587,Spire Motorsports,False,False,9,11,green
Denny Hamlin,1361,Tyt,11,146,3,123.095,15.588,Joe Gibbs Racing,False,False,4,2,green
Ross Chastain,4001,Chv,1,397,15,123.087,15.589,Trackhouse Racing,False,False,35,7,green
Kyle Larson,4030,Chv,5,158,1,123.087,15.589,Hendrick Motorsports,False,False,3,1,green
Justin Haley,4172,Chv,7,399,16,123.087,15.589,Spire Motorsports,False,False,10,13,green
Alex Bowman,4045,Chv,48,145,5,123.087,15.589,Hendrick Motorsports,False,False,1,37,green
Denny Hamlin,1361,Tyt,11,397,8,123.079,15.590,Joe Gibbs Racing,False,False,4,2,green
Noah Gragson,4224,Frd,4,360,29,123.079,15.590,Front Row Motorsports,False,False,31,23,green
Carson Hocevar,4326,Chv,77,397,19,123.079,15.590,Spire Motorsports,False,False,9,11,green
Kyle Larson,4030,Chv,5,284,1,123.071,15.591,Hendrick Motorsports,False,False,3,1,green
Alex Bowman,4045,Chv,48,194,2,123.071,15.591,Hendrick Motorsports,False,False,1,37,green
Denny Hamlin,1361,Tyt,11,268,2,123.055,15.593,Joe Gibbs Racing,False,False,4,2,green
Kyle Larson,4030,Chv,5,394,8,123.055,15.593,Hendrick Motorsports,False,False,3,1,green
Christopher Bell,4153,Tyt,20,267,4,123.047,15.594,Joe Gibbs Racing,False,False,7,8,green
Kyle Larson,4030,Chv,5,197,1,123.047,15.594,Hendrick Motorsports,False,False,3,1,green
Denny Hamlin,1361,Tyt,11,194,3,123.047,15.594,Joe Gibbs Racing,False,False,4,2,green
Denny Hamlin,1361,Tyt,11,394,10,123.039,15.595,Joe Gibbs Racing,False,False,4,2,green
Kyle Larson,4030,Chv,5,192,1,123.039,15.595,Hendrick Motorsports,False,False,3,1,green
Ryan Blaney,4023,Frd,12,145,8,123.039,15.595,Team Penske,False,False,5,5,green
Denny Hamlin,1361,Tyt,11,271,2,123.039,15.595,Joe Gibbs Racing,False,False,4,2,green
Alex Bowman,4045,Chv,48,192,2,123.039,15.595,Hendrick Motorsports,False,False,1,37,green
Ryan Blaney,4023,Frd,12,271,6,123.032,15.596,Team Penske,False,False,5,5,green
Josh Berry,4123,Frd,21,400,19,123.024,15.597,Wood Brothers Racing,False,False,11,12,green
Kyle Larson,4030,Chv,5,145,1,123.024,15.597,Hendrick Motorsports,False,False,3,1,green
Christopher Bell,4153,Tyt,20,194,4,123.008,15.599,Joe Gibbs Racing,False,False,7,8,green
Justin Haley,4172,Chv,7,146,2,123.008,15.599,Spire Motorsports,False,False,10,13,green
Kyle Larson,4030,Chv,5,190,1,123.000,15.600,Hendrick Motorsports,False,False,3,1,green
Denny Hamlin,1361,Tyt,11,401,7,123.000,15.600,Joe Gibbs Racing,False,False,4,2,green
Austin Cindric,4180,Frd,2,394,23,123.000,15.600,Team Penske,False,False,21,17,green
Kyle Larson,4030,Chv,5,193,1,122.992,15.601,Hendrick Motorsports,False,False,3,1,green
Josh Berry,4123,Frd,21,397,20,122.992,15.601,Wood Brothers Racing,False,False,11,12,green
Denny Hamlin,1361,Tyt,11,392,13,122.976,15.603,Joe Gibbs Racing,False,False,4,2,green
Alex Bowman,4045,Chv,48,193,2,122.976,15.603,Hendrick Motorsports,False,False,1,37,green
Kyle Larson,4030,Chv,5,398,7,122.968,15.604,Hendrick Motorsports,False,False,3,1,green
Kyle Larson,4030,Chv,5,194,1,122.961,15.605,Hendrick Motorsports,False,False,3,1,green
Noah Gragson,4224,Frd,4,362,29,122.961,15.605,Front Row Motorsports,False,False,31,23,green
Denny Hamlin,1361,Tyt,11,144,5,122.961,15.605,Joe Gibbs Racing,False,False,4,2,green
Alex Bowman,4045,Chv,48,196,2,122.961,15.605,Hendrick Motorsports,False,False,1,37,green
Alex Bowman,4045,Chv,48,202,2,122.961,15.605,Hendrick Motorsports,False,False,1,37,green
Kyle Larson,4030,Chv,5,269,1,122.937,15.608,Hendrick Motorsports,False,False,3,1,green
Josh Berry,4123,Frd,21,403,19,122.929,15.609,Wood Brothers Racing,False,False,11,12,green
Alex Bowman,4045,Chv,48,269,3,122.913,15.611,Hendrick Motorsports,False,False,1,37,green
Kyle Larson,4030,Chv,5,164,1,122.905,15.612,Hendrick Motorsports,False,False,3,1,green
Denny Hamlin,1361,Tyt,11,395,8,122.882,15.615,Joe Gibbs Racing,False,False,4,2,green
Kyle Larson,4030,Chv,5,272,1,122.882,15.615,Hendrick Motorsports,False,False,3,1,green
Denny Hamlin,1361,Tyt,11,108,2,122.882,15.615,Joe Gibbs Racing,False,False,4,2,green
Kyle Larson,4030,Chv,5,210,1,122.866,15.617,Hendrick Motorsports,False,False,3,1,green
Christopher Bell,4153,Tyt,20,191,4,122.866,15.617,Joe Gibbs Racing,False,False,7,8,green
Denny Hamlin,1361,Tyt,11,162,3,122.858,15.618,Joe Gibbs Racing,False,False,4,2,green
Chase Briscoe,4228,Tyt,19,145,11,122.843,15.620,Joe Gibbs Racing,False,False,14,4,green
