driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Michael McDowell,3832,Chv,71,120,18,199.933,47.896,Spire Motorsports,False,False,14,11,green
Ty Dillon,4013,Chv,10,120,17,199.517,47.996,Kaulig Racing,False,False,21,23,green
Tyler Reddick,4065,Tyt,45,188,16,198.998,48.121,23XI Racing,False,False,26,14,pitting in
Bubba Wallace,4025,Tyt,23,188,10,198.286,48.294,23XI Racing,False,False,20,8,pitting in
Austin Dillon,3873,Chv,3,188,12,198.101,48.339,Richard Childress Racing,False,False,5,10,pitting in
Ty Gibbs,4368,Tyt,54,188,19,197.929,48.381,Joe Gibbs Racing,False,False,10,17,pitting in
Todd Gilliland,4231,Frd,34,188,18,197.765,48.421,Front Row Motorsports,False,False,15,16,pitting in
Carson Hocevar,4326,Chv,77,188,8,197.721,48.432,Spire Motorsports,False,False,28,6,pitting in
Chase Elliott,4062,Chv,9,188,7,197.415,48.507,Hendrick Motorsports,False,False,30,5,pitting in
Noah Gragson,4224,Frd,4,188,6,197.378,48.516,Front Row Motorsports,False,False,27,4,pitting in
Daniel Suarez,4113,Chv,99,188,11,197.321,48.530,Trackhouse Racing,False,False,24,9,pitting in
Cole Custer,4104,Frd,41,188,15,197.321,48.530,Haas Factory Team,False,False,12,13,pitting in
Michael McDowell,3832,Chv,71,188,13,197.309,48.533,Spire Motorsports,False,False,14,11,pitting in
Kyle Larson,4030,Chv,5,188,3,197.240,48.550,Hendrick Motorsports,False,False,25,2,pitting in
Austin Cindric,4180,Frd,2,188,1,197.228,48.553,Team Penske,False,False,7,1,green
Ricky Stenhouse Jr.,3888,Chv,47,188,14,197.207,48.558,HYAK Motorsports,False,False,35,12,pitting in
Joey Logano,3859,Frd,22,188,5,197.195,48.561,Team Penske,False,False,3,39,pitting in
Chase Briscoe,4228,Tyt,19,188,17,197.191,48.562,Joe Gibbs Racing,False,False,17,15,pitting in
William Byron,4184,Chv,24,188,4,197.029,48.602,Hendrick Motorsports,False,False,16,3,pitting in
Tyler Reddick,4065,Tyt,45,187,22,197.013,48.606,23XI Racing,False,False,26,14,green
