driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Carson Hocevar,4326,Chv,77,2,1,189.102,28.556,Spire Motorsports,False,False,1,24,green
William Byron,4184,Chv,24,2,2,188.278,28.681,Hendrick Motorsports,False,False,2,13,green
Tyler Reddick,4065,Tyt,45,135,2,188.055,28.715,23XI Racing,False,False,17,21,green
Tyler Reddick,4065,Tyt,45,134,2,187.735,28.764,23XI Racing,False,False,17,21,green
Michael McDowell,3832,Chv,71,246,1,187.507,28.799,Spire Motorsports,False,False,5,26,green
Carson Hocevar,4326,Chv,77,227,28,187.052,28.869,Spire Motorsports,False,False,1,24,green
Josh Berry,4123,Frd,21,97,1,186.961,28.883,Wood Brothers Racing,False,False,7,32,green
William Byron,4184,Chv,24,180,1,186.916,28.890,Hendrick Motorsports,False,False,2,13,green
Kyle Larson,4030,Chv,5,134,1,186.903,28.892,Hendrick Motorsports,False,False,4,4,green
Ryan Blaney,4023,Frd,12,246,2,186.845,28.901,Team Penske,False,False,24,3,green
Kyle Larson,4030,Chv,5,133,1,186.825,28.904,Hendrick Motorsports,False,False,4,4,green
Bubba Wallace,4025,Tyt,23,137,7,186.774,28.912,23XI Racing,False,False,9,33,green
Ryan Blaney,4023,Frd,12,236,2,186.767,28.913,Team Penske,False,False,24,3,green
Chris Buescher,3989,Frd,17,136,4,186.696,28.924,RFK Racing,False,False,12,18,green
Tyler Reddick,4065,Tyt,45,133,3,186.664,28.929,23XI Racing,False,False,17,21,green
Michael McDowell,3832,Chv,71,260,1,186.657,28.930,Spire Motorsports,False,False,5,26,green
Josh Berry,4123,Frd,21,96,1,186.651,28.931,Wood Brothers Racing,False,False,7,32,green
Chris Buescher,3989,Frd,17,137,3,186.587,28.941,RFK Racing,False,False,12,18,green
Kyle Larson,4030,Chv,5,236,1,186.541,28.948,Hendrick Motorsports,False,False,4,4,green
Carson Hocevar,4326,Chv,77,4,1,186.535,28.949,Spire Motorsports,False,False,1,24,green
Michael McDowell,3832,Chv,71,228,2,186.516,28.952,Spire Motorsports,False,False,5,26,green
Chris Buescher,3989,Frd,17,139,3,186.509,28.953,RFK Racing,False,False,12,18,green
Michael McDowell,3832,Chv,71,259,1,186.496,28.955,Spire Motorsports,False,False,5,26,green
Chris Buescher,3989,Frd,17,138,3,186.496,28.955,RFK Racing,False,False,12,18,green
Joey Logano,3859,Frd,22,261,2,186.374,28.974,Team Penske,False,False,27,1,green
Kyle Larson,4030,Chv,5,135,1,186.342,28.979,Hendrick Motorsports,False,False,4,4,green
Kyle Larson,4030,Chv,5,227,1,186.245,28.994,Hendrick Motorsports,False,False,4,4,green
Austin Cindric,4180,Frd,2,28,1,186.213,28.999,Team Penske,False,False,3,25,green
Joey Logano,3859,Frd,22,236,5,186.194,29.002,Team Penske,False,False,27,1,green
Austin Cindric,4180,Frd,2,180,2,186.156,29.008,Team Penske,False,False,3,25,green
Josh Berry,4123,Frd,21,98,1,186.130,29.012,Wood Brothers Racing,False,False,7,32,green
William Byron,4184,Chv,24,181,1,186.098,29.017,Hendrick Motorsports,False,False,2,13,green
Tyler Reddick,4065,Tyt,45,209,3,186.079,29.020,23XI Racing,False,False,17,21,green
Tyler Reddick,4065,Tyt,45,137,2,186.079,29.020,23XI Racing,False,False,17,21,green
William Byron,4184,Chv,24,133,6,186.072,29.021,Hendrick Motorsports,False,False,2,13,green
Austin Cindric,4180,Frd,2,181,2,186.072,29.021,Team Penske,False,False,3,25,green
Carson Hocevar,4326,Chv,77,5,1,186.059,29.023,Spire Motorsports,False,False,1,24,green
Austin Cindric,4180,Frd,2,29,1,186.014,29.030,Team Penske,False,False,3,25,green
William Byron,4184,Chv,24,3,2,186.002,29.032,Hendrick Motorsports,False,False,2,13,green
Kyle Larson,4030,Chv,5,136,1,185.989,29.034,Hendrick Motorsports,False,False,4,4,green
Joey Logano,3859,Frd,22,259,2,185.976,29.036,Team Penske,False,False,27,1,green
Ty Gibbs,4368,Tyt,54,182,4,185.976,29.036,Joe Gibbs Racing,False,False,6,23,green
Ryan Blaney,4023,Frd,12,260,3,185.957,29.039,Team Penske,False,False,24,3,green
Josh Berry,4123,Frd,21,28,2,185.950,29.040,Wood Brothers Racing,False,False,7,32,green
Tyler Reddick,4065,Tyt,45,138,2,185.931,29.043,23XI Racing,False,False,17,21,green
Kyle Busch,454,Chv,8,228,3,185.899,29.048,Richard Childress Racing,False,False,26,20,pitting in
Tyler Reddick,4065,Tyt,45,97,3,185.874,29.052,23XI Racing,False,False,17,21,green
Austin Cindric,4180,Frd,2,97,4,185.861,29.054,Team Penske,False,False,3,25,green
Kyle Busch,454,Chv,8,227,3,185.842,29.057,Richard Childress Racing,False,False,26,20,green
Bubba Wallace,4025,Tyt,23,138,7,185.829,29.059,23XI Racing,False,False,9,33,green
Alex Bowman,4045,Chv,48,141,8,185.822,29.060,Hendrick Motorsports,False,False,11,35,green
Joey Logano,3859,Frd,22,260,2,185.816,29.061,Team Penske,False,False,27,1,green
Chris Buescher,3989,Frd,17,134,5,185.810,29.062,RFK Racing,False,False,12,18,green
Kyle Larson,4030,Chv,5,97,2,185.803,29.063,Hendrick Motorsports,False,False,4,4,green
Kyle Larson,4030,Chv,5,99,2,185.803,29.063,Hendrick Motorsports,False,False,4,4,green
William Byron,4184,Chv,24,182,1,185.790,29.065,Hendrick Motorsports,False,False,2,13,green
Josh Berry,4123,Frd,21,29,2,185.778,29.067,Wood Brothers Racing,False,False,7,32,green
Austin Cindric,4180,Frd,2,30,1,185.771,29.068,Team Penske,False,False,3,25,green
Kyle Larson,4030,Chv,5,137,1,185.771,29.068,Hendrick Motorsports,False,False,4,4,green
Tyler Reddick,4065,Tyt,45,141,2,185.771,29.068,23XI Racing,False,False,17,21,green
Austin Cindric,4180,Frd,2,27,1,185.765,29.069,Team Penske,False,False,3,25,green
Tyler Reddick,4065,Tyt,45,207,3,185.752,29.071,23XI Racing,False,False,17,21,green
Chris Buescher,3989,Frd,17,121,4,185.714,29.077,RFK Racing,False,False,12,18,green
Chris Buescher,3989,Frd,17,118,4,185.701,29.079,RFK Racing,False,False,12,18,green
Denny Hamlin,1361,Tyt,11,3,7,185.695,29.080,Joe Gibbs Racing,False,False,8,38,green
Michael McDowell,3832,Chv,71,227,2,185.688,29.081,Spire Motorsports,False,False,5,26,green
Ryan Preece,4070,Frd,60,133,2,185.688,29.081,RFK Racing,False,False,33,29,green
Carson Hocevar,4326,Chv,77,6,1,185.663,29.085,Spire Motorsports,False,False,1,24,green
