driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Zane Smith,4272,Frd,38,7,4,120.792,18.627,Front Row Motorsports,False,False,6,6,green
Ryan Preece,4070,Frd,60,8,5,120.734,18.636,RFK Racing,False,False,5,11,green
Shane Van Gisbergen,4469,Chv,88,12,1,120.546,18.665,Trackhouse Racing,False,False,1,13,green
Michael McDowell,3832,Chv,71,7,3,120.546,18.665,Spire Motorsports,False,False,4,5,green
Shane Van Gisbergen,4469,Chv,88,11,1,120.495,18.673,Trackhouse Racing,False,False,1,13,green
Ryan Preece,4070,Frd,60,10,5,120.488,18.674,RFK Racing,False,False,5,11,green
Shane Van Gisbergen,4469,Chv,88,10,1,120.469,18.677,Trackhouse Racing,False,False,1,13,green
Ryan Preece,4070,Frd,60,11,5,120.450,18.680,RFK Racing,False,False,5,11,green
Ryan Preece,4070,Frd,60,6,6,120.430,18.683,RFK Racing,False,False,5,11,green
Michael McDowell,3832,Chv,71,6,3,120.398,18.688,Spire Motorsports,False,False,4,5,green
Shane Van Gisbergen,4469,Chv,88,13,1,120.321,18.700,Trackhouse Racing,False,False,1,13,green
Michael McDowell,3832,Chv,71,8,3,120.314,18.701,Spire Motorsports,False,False,4,5,green
Justin Haley,4172,Chv,7,7,7,120.308,18.702,Spire Motorsports,False,False,7,14,green
Ryan Preece,4070,Frd,60,7,5,120.302,18.703,RFK Racing,False,False,5,11,green
Shane Van Gisbergen,4469,Chv,88,6,1,120.295,18.704,Trackhouse Racing,False,False,1,13,green
Shane Van Gisbergen,4469,Chv,88,8,1,120.269,18.708,Trackhouse Racing,False,False,1,13,green
John Hunter Nemechek,4092,Tyt,42,9,6,120.237,18.713,Legacy Motor Club,False,False,8,2,green
Shane Van Gisbergen,4469,Chv,88,7,1,120.231,18.714,Trackhouse Racing,False,False,1,13,green
Zane Smith,4272,Frd,38,8,4,120.205,18.718,Front Row Motorsports,False,False,6,6,green
Bubba Wallace,4025,Tyt,23,11,10,120.186,18.721,23XI Racing,False,False,14,8,green
Ty Gibbs,4368,Tyt,54,9,8,120.167,18.724,Joe Gibbs Racing,False,False,9,15,green
Ty Dillon,4013,Chv,10,13,9,120.154,18.726,Kaulig Racing,False,False,10,3,green
Carson Hocevar,4326,Chv,77,7,2,120.141,18.728,Spire Motorsports,False,False,2,1,green
Erik Jones,4059,Tyt,43,85,6,120.135,18.729,Legacy Motor Club,False,False,12,4,green
Ryan Preece,4070,Frd,60,9,5,120.128,18.730,RFK Racing,False,False,5,11,green
Zane Smith,4272,Frd,38,6,4,120.128,18.730,Front Row Motorsports,False,False,6,6,green
Shane Van Gisbergen,4469,Chv,88,9,1,120.115,18.732,Trackhouse Racing,False,False,1,13,green
Shane Van Gisbergen,4469,Chv,88,5,1,120.102,18.734,Trackhouse Racing,False,False,1,13,green
Zane Smith,4272,Frd,38,10,4,120.096,18.735,Front Row Motorsports,False,False,6,6,green
Ty Dillon,4013,Chv,10,9,9,120.064,18.740,Kaulig Racing,False,False,10,3,green
Carson Hocevar,4326,Chv,77,6,2,120.019,18.747,Spire Motorsports,False,False,2,1,green
Ty Gibbs,4368,Tyt,54,7,8,119.994,18.751,Joe Gibbs Racing,False,False,9,15,green
Zane Smith,4272,Frd,38,11,4,119.962,18.756,Front Row Motorsports,False,False,6,6,green
Carson Hocevar,4326,Chv,77,5,2,119.962,18.756,Spire Motorsports,False,False,2,1,green
John Hunter Nemechek,4092,Tyt,42,13,6,119.917,18.763,Legacy Motor Club,False,False,8,2,green
Ty Dillon,4013,Chv,10,12,9,119.917,18.763,Kaulig Racing,False,False,10,3,green
Ty Gibbs,4368,Tyt,54,8,8,119.891,18.767,Joe Gibbs Racing,False,False,9,15,green
Carson Hocevar,4326,Chv,77,12,2,119.885,18.768,Spire Motorsports,False,False,2,1,green
Carson Hocevar,4326,Chv,77,8,2,119.872,18.770,Spire Motorsports,False,False,2,1,green
AJ Allmendinger,3774,Chv,16,14,12,119.866,18.771,Kaulig Racing,False,False,16,7,green
Carson Hocevar,4326,Chv,77,10,2,119.840,18.775,Spire Motorsports,False,False,2,1,green
Riley Herbst,4269,Tyt,35,15,13,119.827,18.777,23XI Racing,False,False,13,10,green
Ryan Preece,4070,Frd,60,12,5,119.821,18.778,RFK Racing,False,False,5,11,green
Michael McDowell,3832,Chv,71,10,3,119.821,18.778,Spire Motorsports,False,False,4,5,green
Ty Gibbs,4368,Tyt,54,12,8,119.815,18.779,Joe Gibbs Racing,False,False,9,15,green
Carson Hocevar,4326,Chv,77,11,2,119.802,18.781,Spire Motorsports,False,False,2,1,green
Ty Dillon,4013,Chv,10,8,9,119.802,18.781,Kaulig Racing,False,False,10,3,green
John Hunter Nemechek,4092,Tyt,42,6,5,119.802,18.781,Legacy Motor Club,False,False,8,2,green
Michael McDowell,3832,Chv,71,9,3,119.789,18.783,Spire Motorsports,False,False,4,5,green
Michael McDowell,3832,Chv,71,12,3,119.789,18.783,Spire Motorsports,False,False,4,5,green
Ty Dillon,4013,Chv,10,11,9,119.776,18.785,Kaulig Racing,False,False,10,3,green
Justin Haley,4172,Chv,7,9,7,119.770,18.786,Spire Motorsports,False,False,7,14,green
Carson Hocevar,4326,Chv,77,4,2,119.751,18.789,Spire Motorsports,False,False,2,1,green
Ty Gibbs,4368,Tyt,54,10,8,119.738,18.791,Joe Gibbs Racing,False,False,9,15,green
Ryan Preece,4070,Frd,60,14,5,119.732,18.792,RFK Racing,False,False,5,11,green
Shane Van Gisbergen,4469,Chv,88,18,1,119.725,18.793,Trackhouse Racing,False,False,1,13,green
Bubba Wallace,4025,Tyt,23,9,11,119.719,18.794,23XI Racing,False,False,14,8,green
Shane Van Gisbergen,4469,Chv,88,28,1,119.713,18.795,Trackhouse Racing,False,False,1,13,green
John Hunter Nemechek,4092,Tyt,42,10,6,119.706,18.796,Legacy Motor Club,False,False,8,2,green
Ryan Preece,4070,Frd,60,16,5,119.700,18.797,RFK Racing,False,False,5,11,green
