driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Denny Hamlin,1361,Tyt,11,210,2,183.880,29.367,Joe Gibbs Racing,False,False,20,16,green
William Byron,4184,Chv,24,109,1,183.830,29.375,Hendrick Motorsports,False,False,3,2,green
William Byron,4184,Chv,24,210,1,183.742,29.389,Hendrick Motorsports,False,False,3,2,green
William Byron,4184,Chv,24,245,1,183.007,29.507,Hendrick Motorsports,False,False,3,2,green
Carson Hocevar,4326,Chv,77,210,3,182.921,29.521,Spire Motorsports,False,False,39,34,green
William Byron,4184,Chv,24,110,1,182.309,29.620,Hendrick Motorsports,False,False,3,2,green
Denny Hamlin,1361,Tyt,11,109,3,182.205,29.637,Joe Gibbs Racing,False,False,20,16,green
William Byron,4184,Chv,24,53,1,182.199,29.638,Hendrick Motorsports,False,False,3,2,green
William Byron,4184,Chv,24,119,1,182.180,29.641,Hendrick Motorsports,False,False,3,2,green
William Byron,4184,Chv,24,253,1,182.180,29.641,Hendrick Motorsports,False,False,3,2,green
William Byron,4184,Chv,24,211,1,181.990,29.672,Hendrick Motorsports,False,False,3,2,green
Denny Hamlin,1361,Tyt,11,119,3,181.886,29.689,Joe Gibbs Racing,False,False,20,16,green
Chris Buescher,3989,Frd,17,53,2,181.861,29.693,RFK Racing,False,False,4,22,green
Tyler Reddick,4065,Tyt,45,110,2,181.818,29.700,23XI Racing,False,False,12,26,green
Tyler Reddick,4065,Tyt,45,210,4,181.806,29.702,23XI Racing,False,False,12,26,green
Denny Hamlin,1361,Tyt,11,245,2,181.781,29.706,Joe Gibbs Racing,False,False,20,16,green
AJ Allmendinger,3774,Chv,16,210,5,181.720,29.716,Kaulig Racing,False,False,5,4,green
AJ Allmendinger,3774,Chv,16,119,4,181.653,29.727,Kaulig Racing,False,False,5,4,green
Tyler Reddick,4065,Tyt,45,119,2,181.610,29.734,23XI Racing,False,False,12,26,green
Denny Hamlin,1361,Tyt,11,211,2,181.549,29.744,Joe Gibbs Racing,False,False,20,16,green
Denny Hamlin,1361,Tyt,11,120,3,181.513,29.750,Joe Gibbs Racing,False,False,20,16,green
Carson Hocevar,4326,Chv,77,211,3,181.415,29.766,Spire Motorsports,False,False,39,34,green
Carson Hocevar,4326,Chv,77,253,3,181.354,29.776,Spire Motorsports,False,False,39,34,green
Denny Hamlin,1361,Tyt,11,253,2,181.287,29.787,Joe Gibbs Racing,False,False,20,16,green
Ross Chastain,4001,Chv,1,315,5,181.214,29.799,Trackhouse Racing,False,False,40,1,green
Tyler Reddick,4065,Tyt,45,109,2,181.129,29.813,23XI Racing,False,False,12,26,green
William Byron,4184,Chv,24,212,1,181.099,29.818,Hendrick Motorsports,False,False,3,2,green
Tyler Reddick,4065,Tyt,45,53,3,181.062,29.824,23XI Racing,False,False,12,26,green
Denny Hamlin,1361,Tyt,11,111,3,181.050,29.826,Joe Gibbs Racing,False,False,20,16,green
Tyler Reddick,4065,Tyt,45,2,9,181.002,29.834,23XI Racing,False,False,12,26,green
Tyler Reddick,4065,Tyt,45,245,4,180.995,29.835,23XI Racing,False,False,12,26,green
William Byron,4184,Chv,24,315,1,180.977,29.838,Hendrick Motorsports,False,False,3,2,green
Tyler Reddick,4065,Tyt,45,315,3,180.965,29.840,23XI Racing,False,False,12,26,green
Alex Bowman,4045,Chv,48,2,10,180.953,29.842,Hendrick Motorsports,False,False,9,29,green
Denny Hamlin,1361,Tyt,11,121,3,180.941,29.844,Joe Gibbs Racing,False,False,20,16,green
Denny Hamlin,1361,Tyt,11,110,3,180.929,29.846,Joe Gibbs Racing,False,False,20,16,green
William Byron,4184,Chv,24,254,1,180.923,29.847,Hendrick Motorsports,False,False,3,2,green
Ross Chastain,4001,Chv,1,245,3,180.905,29.850,Trackhouse Racing,False,False,40,1,green
William Byron,4184,Chv,24,120,1,180.862,29.857,Hendrick Motorsports,False,False,3,2,green
Denny Hamlin,1361,Tyt,11,254,2,180.814,29.865,Joe Gibbs Racing,False,False,20,16,green
Carson Hocevar,4326,Chv,77,120,5,180.802,29.867,Spire Motorsports,False,False,39,34,green
Christopher Bell,4153,Tyt,20,53,5,180.789,29.869,Joe Gibbs Racing,False,False,10,8,green
William Byron,4184,Chv,24,3,1,180.759,29.874,Hendrick Motorsports,False,False,3,2,green
Christopher Bell,4153,Tyt,20,2,8,180.717,29.881,Joe Gibbs Racing,False,False,10,8,green
Tyler Reddick,4065,Tyt,45,54,3,180.711,29.882,23XI Racing,False,False,12,26,green
Tyler Reddick,4065,Tyt,45,211,4,180.675,29.888,23XI Racing,False,False,12,26,green
AJ Allmendinger,3774,Chv,16,53,6,180.626,29.896,Kaulig Racing,False,False,5,4,green
Ty Gibbs,4368,Tyt,54,160,27,180.614,29.898,Joe Gibbs Racing,False,False,7,24,green
