driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Denny Hamlin,1361,Tyt,11,126,1,161.413,29.663,Joe Gibbs Racing,False,False,2,3,green
Ryan Blaney,4023,Frd,12,126,2,161.087,29.723,Team Penske,False,False,15,1,green
Kyle Larson,4030,Chv,5,126,35,161.077,29.725,Hendrick Motorsports,False,False,28,8,green
Denny Hamlin,1361,Tyt,11,125,1,161.049,29.730,Joe Gibbs Racing,False,False,2,3,green
Tyler Reddick,4065,Tyt,45,256,19,161.044,29.731,23XI Racing,False,False,4,9,green
Ryan Blaney,4023,Frd,12,127,2,161.028,29.734,Team Penske,False,False,15,1,green
William Byron,4184,Chv,24,255,15,160.947,29.749,Hendrick Motorsports,False,False,3,5,green
Ryan Blaney,4023,Frd,12,128,2,160.882,29.761,Team Penske,False,False,15,1,green
Kyle Larson,4030,Chv,5,125,35,160.855,29.766,Hendrick Motorsports,False,False,28,8,green
Denny Hamlin,1361,Tyt,11,128,1,160.790,29.778,Joe Gibbs Racing,False,False,2,3,green
Denny Hamlin,1361,Tyt,11,139,1,160.779,29.780,Joe Gibbs Racing,False,False,2,3,green
Denny Hamlin,1361,Tyt,11,127,1,160.747,29.786,Joe Gibbs Racing,False,False,2,3,green
Cody Ware,4125,Frd,51,199,34,160.747,29.786,Rick Ware Racing,False,False,34,33,restart
Ryan Blaney,4023,Frd,12,129,2,160.677,29.799,Team Penske,False,False,15,1,green
Ty Gibbs,4368,Tyt,54,262,31,160.671,29.800,Joe Gibbs Racing,False,False,22,31,green
Carson Hocevar,4326,Chv,77,250,15,160.655,29.803,Spire Motorsports,False,False,26,2,green
Tyler Reddick,4065,Tyt,45,253,21,160.655,29.803,23XI Racing,False,False,4,9,green
Denny Hamlin,1361,Tyt,11,130,1,160.639,29.806,Joe Gibbs Racing,False,False,2,3,green
William Byron,4184,Chv,24,253,15,160.623,29.809,Hendrick Motorsports,False,False,3,5,green
Denny Hamlin,1361,Tyt,11,129,1,160.617,29.810,Joe Gibbs Racing,False,False,2,3,green
Erik Jones,4059,Tyt,43,204,3,160.617,29.810,Legacy Motor Club,False,False,14,7,green
Ryan Blaney,4023,Frd,12,207,1,160.580,29.817,Team Penske,False,False,15,1,green
Ryan Blaney,4023,Frd,12,139,2,160.531,29.826,Team Penske,False,False,15,1,green
Ryan Blaney,4023,Frd,12,203,1,160.510,29.830,Team Penske,False,False,15,1,green
Denny Hamlin,1361,Tyt,11,138,1,160.456,29.840,Joe Gibbs Racing,False,False,2,3,green
Carson Hocevar,4326,Chv,77,204,6,160.424,29.846,Spire Motorsports,False,False,26,2,green
Christopher Bell,4153,Tyt,20,252,18,160.418,29.847,Joe Gibbs Racing,False,False,7,10,green
Ty Gibbs,4368,Tyt,54,261,31,160.407,29.849,Joe Gibbs Racing,False,False,22,31,green
Denny Hamlin,1361,Tyt,11,204,4,160.397,29.851,Joe Gibbs Racing,False,False,2,3,green
Denny Hamlin,1361,Tyt,11,209,3,160.391,29.852,Joe Gibbs Racing,False,False,2,3,green
Tyler Reddick,4065,Tyt,45,254,21,160.391,29.852,23XI Racing,False,False,4,9,green
Ryan Blaney,4023,Frd,12,138,2,160.375,29.855,Team Penske,False,False,15,1,green
Ty Gibbs,4368,Tyt,54,263,31,160.370,29.856,Joe Gibbs Racing,False,False,22,31,green
Ryan Blaney,4023,Frd,12,141,2,160.370,29.856,Team Penske,False,False,15,1,green
Joey Logano,3859,Frd,22,204,2,160.359,29.858,Team Penske,False,False,9,4,green
Carson Hocevar,4326,Chv,77,254,11,160.359,29.858,Spire Motorsports,False,False,26,2,green
Denny Hamlin,1361,Tyt,11,4,2,160.354,29.859,Joe Gibbs Racing,False,False,2,3,green
William Byron,4184,Chv,24,139,3,160.354,29.859,Hendrick Motorsports,False,False,3,5,green
Denny Hamlin,1361,Tyt,11,262,6,160.348,29.860,Joe Gibbs Racing,False,False,2,3,green
Erik Jones,4059,Tyt,43,209,4,160.321,29.865,Legacy Motor Club,False,False,14,7,green
Denny Hamlin,1361,Tyt,11,263,6,160.321,29.865,Joe Gibbs Racing,False,False,2,3,green
