driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
William Byron,4184,Chv,24,154,2,193.029,37.300,Hendrick Motorsports,False,False,4,28,green
William Byron,4184,Chv,24,129,1,192.467,37.409,Hendrick Motorsports,False,False,4,28,green
Carson Hocevar,4326,Chv,77,154,1,192.405,37.421,Spire Motorsports,False,False,14,29,green
Denny Hamlin,1361,Tyt,11,130,3,192.297,37.442,Joe Gibbs Racing,False,False,3,1,green
Carson Hocevar,4326,Chv,77,129,2,192.226,37.456,Spire Motorsports,False,False,14,29,green
William Byron,4184,Chv,24,156,2,192.205,37.460,Hendrick Motorsports,False,False,4,28,green
Carson Hocevar,4326,Chv,77,155,1,192.195,37.462,Spire Motorsports,False,False,14,29,green
Carson Hocevar,4326,Chv,77,128,2,192.067,37.487,Spire Motorsports,False,False,14,29,green
William Byron,4184,Chv,24,128,1,192.000,37.500,Hendrick Motorsports,False,False,4,28,green
William Byron,4184,Chv,24,155,2,191.964,37.507,Hendrick Motorsports,False,False,4,28,green
Carson Hocevar,4326,Chv,77,130,2,191.744,37.550,Spire Motorsports,False,False,14,29,green
Carson Hocevar,4326,Chv,77,131,2,191.719,37.555,Spire Motorsports,False,False,14,29,green
William Byron,4184,Chv,24,157,2,191.673,37.564,Hendrick Motorsports,False,False,4,28,green
Denny Hamlin,1361,Tyt,11,131,3,191.627,37.573,Joe Gibbs Racing,False,False,3,1,green
Chris Buescher,3989,Frd,17,155,5,191.607,37.577,RFK Racing,False,False,6,2,green
William Byron,4184,Chv,24,130,1,191.505,37.597,Hendrick Motorsports,False,False,4,28,green
Carson Hocevar,4326,Chv,77,156,1,191.464,37.605,Spire Motorsports,False,False,14,29,green
Denny Hamlin,1361,Tyt,11,128,4,191.459,37.606,Joe Gibbs Racing,False,False,3,1,green
Denny Hamlin,1361,Tyt,11,157,7,191.444,37.609,Joe Gibbs Racing,False,False,3,1,green
William Byron,4184,Chv,24,79,1,191.367,37.624,Hendrick Motorsports,False,False,4,28,green
Kyle Larson,4030,Chv,5,155,3,191.296,37.638,Hendrick Motorsports,False,False,5,5,green
Carson Hocevar,4326,Chv,77,157,1,191.266,37.644,Spire Motorsports,False,False,14,29,green
Carson Hocevar,4326,Chv,77,153,1,191.250,37.647,Spire Motorsports,False,False,14,29,green
Tyler Reddick,4065,Tyt,45,130,4,191.205,37.656,23XI Racing,False,False,12,13,green
William Byron,4184,Chv,24,81,1,191.174,37.662,Hendrick Motorsports,False,False,4,28,green
William Byron,4184,Chv,24,80,1,191.134,37.670,Hendrick Motorsports,False,False,4,28,green
Tyler Reddick,4065,Tyt,45,131,4,191.093,37.678,23XI Racing,False,False,12,13,green
Tyler Reddick,4065,Tyt,45,160,10,191.042,37.688,23XI Racing,False,False,12,13,green
William Byron,4184,Chv,24,131,1,191.027,37.691,Hendrick Motorsports,False,False,4,28,green
Bubba Wallace,4025,Tyt,23,130,5,190.981,37.700,23XI Racing,False,False,9,4,green
William Byron,4184,Chv,24,82,1,190.936,37.709,Hendrick Motorsports,False,False,4,28,green
