driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Denny Hamlin,1361,Tyt,11,122,15,171.129,52.592,Joe Gibbs Racing,False,False,1,2,green
Chris Buescher,3989,Frd,17,123,15,171.054,52.615,RFK Racing,False,False,2,4,green
Tyler Reddick,4065,Tyt,45,141,32,170.885,52.667,23XI Racing,False,False,8,32,green
Tyler Reddick,4065,Tyt,45,140,32,170.836,52.682,23XI Racing,False,False,8,32,green
Denny Hamlin,1361,Tyt,11,123,14,170.726,52.716,Joe Gibbs Racing,False,False,1,2,green
Tyler Reddick,4065,Tyt,45,139,32,170.584,52.760,23XI Racing,False,False,8,32,green
Alex Bowman,4045,Chv,48,121,23,170.004,52.940,Hendrick Motorsports,False,False,25,11,green
Tyler Reddick,4065,Tyt,45,142,32,169.988,52.945,23XI Racing,False,False,8,32,green
Carson Hocevar,4326,Chv,77,121,25,169.885,52.977,Spire Motorsports,False,False,3,18,green
Chase Briscoe,4228,Tyt,19,122,14,169.837,52.992,Joe Gibbs Racing,False,False,6,1,green
Josh Berry,4123,Frd,21,90,2,169.683,53.040,Wood Brothers Racing,False,False,35,12,green
Austin Dillon,3873,Chv,3,123,25,169.642,53.053,Richard Childress Racing,False,False,16,24,green
Denny Hamlin,1361,Tyt,11,134,2,169.476,53.105,Joe Gibbs Racing,False,False,1,2,green
Denny Hamlin,1361,Tyt,11,132,2,169.466,53.108,Joe Gibbs Racing,False,False,1,2,green
Tyler Reddick,4065,Tyt,45,143,32,169.463,53.109,23XI Racing,False,False,8,32,green
Chase Briscoe,4228,Tyt,19,133,1,169.453,53.112,Joe Gibbs Racing,False,False,6,1,green
Chase Briscoe,4228,Tyt,19,121,16,169.440,53.116,Joe Gibbs Racing,False,False,6,1,green
Ryan Preece,4070,Frd,60,121,22,169.428,53.120,RFK Racing,False,False,13,8,green
Denny Hamlin,1361,Tyt,11,133,2,169.405,53.127,Joe Gibbs Racing,False,False,1,2,green
Kyle Larson,4030,Chv,5,121,19,169.361,53.141,Hendrick Motorsports,False,False,24,7,green
