driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Tyler Reddick,4065,Tyt,45,71,4,87.911,90.091,23XI Racing,False,False,4,3,green
Michael McDowell,3832,Chv,71,50,32,87.881,90.122,Spire Motorsports,False,False,2,32,green
Michael McDowell,3832,Chv,71,36,32,87.762,90.244,Spire Motorsports,False,False,2,32,green
Tyler Reddick,4065,Tyt,45,72,4,87.749,90.257,23XI Racing,False,False,4,3,green
Michael McDowell,3832,Chv,71,47,32,87.738,90.269,Spire Motorsports,False,False,2,32,caution
Michael McDowell,3832,Chv,71,52,32,87.686,90.322,Spire Motorsports,False,False,2,32,green
Shane Van Gisbergen,4469,Chv,88,10,2,87.627,90.383,Trackhouse Racing,False,False,1,1,green
Shane Van Gisbergen,4469,Chv,88,11,2,87.619,90.391,Trackhouse Racing,False,False,1,1,green
Shane Van Gisbergen,4469,Chv,88,12,2,87.525,90.488,Trackhouse Racing,False,False,1,1,green
Shane Van Gisbergen,4469,Chv,88,53,3,87.518,90.496,Trackhouse Racing,False,False,1,1,green
Austin Hill,4133,Chv,33,72,10,87.500,90.514,Richard Childress Racing,False,True,30,9,green
Michael McDowell,3832,Chv,71,12,1,87.491,90.524,Spire Motorsports,False,False,2,32,green
Michael McDowell,3832,Chv,71,9,1,87.489,90.526,Spire Motorsports,False,False,2,32,green
Michael McDowell,3832,Chv,71,10,1,87.485,90.530,Spire Motorsports,False,False,2,32,green
Michael McDowell,3832,Chv,71,11,1,87.474,90.541,Spire Motorsports,False,False,2,32,green
Kyle Busch,454,Chv,8,71,7,87.450,90.566,Richard Childress Racing,False,False,6,5,green
Shane Van Gisbergen,4469,Chv,88,52,3,87.407,90.611,Trackhouse Racing,False,False,1,1,green
Michael McDowell,3832,Chv,71,13,1,87.379,90.640,Spire Motorsports,False,False,2,32,green
Shane Van Gisbergen,4469,Chv,88,55,3,87.372,90.647,Trackhouse Racing,False,False,1,1,green
Shane Van Gisbergen,4469,Chv,88,9,2,87.363,90.656,Trackhouse Racing,False,False,1,1,green
Shane Van Gisbergen,4469,Chv,88,54,3,87.338,90.682,Trackhouse Racing,False,False,1,1,green
Tyler Reddick,4065,Tyt,45,52,2,87.312,90.709,23XI Racing,False,False,4,3,green
Tyler Reddick,4065,Tyt,45,73,3,87.297,90.725,23XI Racing,False,False,4,3,green
Tyler Reddick,4065,Tyt,45,70,5,87.289,90.733,23XI Racing,False,False,4,3,green
Chase Briscoe,4228,Tyt,19,52,1,87.283,90.739,Joe Gibbs Racing,False,False,5,23,green
Shane Van Gisbergen,4469,Chv,88,51,4,87.275,90.748,Trackhouse Racing,False,False,1,1,green
Kyle Busch,454,Chv,8,72,6,87.260,90.763,Richard Childress Racing,False,False,6,5,green
Shane Van Gisbergen,4469,Chv,88,13,2,87.253,90.771,Trackhouse Racing,False,False,1,1,green
Chase Briscoe,4228,Tyt,19,71,25,87.251,90.773,Joe Gibbs Racing,False,False,5,23,green
Chase Briscoe,4228,Tyt,19,53,1,87.230,90.794,Joe Gibbs Racing,False,False,5,23,green
Ty Gibbs,4368,Tyt,54,52,5,87.205,90.821,Joe Gibbs Racing,False,False,9,2,green
Shane Van Gisbergen,4469,Chv,88,36,1,87.176,90.851,Trackhouse Racing,False,False,1,1,green
Shane Van Gisbergen,4469,Chv,88,29,3,87.151,90.877,Trackhouse Racing,False,False,1,1,green
Shane Van Gisbergen,4469,Chv,88,39,1,87.151,90.877,Trackhouse Racing,False,False,1,1,green
Austin Hill,4133,Chv,33,73,10,87.100,90.930,Richard Childress Racing,False,True,30,9,green
Michael McDowell,3832,Chv,71,35,32,87.088,90.942,Spire Motorsports,False,False,2,32,green
Tyler Reddick,4065,Tyt,45,53,2,87.072,90.959,23XI Racing,False,False,4,3,green
Chase Briscoe,4228,Tyt,19,54,1,87.048,90.984,Joe Gibbs Racing,False,False,5,23,green
Michael McDowell,3832,Chv,71,8,1,87.047,90.985,Spire Motorsports,False,False,2,32,green
Tyler Reddick,4065,Tyt,45,38,13,87.028,91.005,23XI Racing,False,False,4,3,green
Shane Van Gisbergen,4469,Chv,88,3,2,87.014,91.020,Trackhouse Racing,False,False,1,1,green
Michael McDowell,3832,Chv,71,3,1,87.009,91.025,Spire Motorsports,False,False,2,32,green
Kyle Busch,454,Chv,8,44,31,87.007,91.027,Richard Childress Racing,False,False,6,5,green
Kyle Busch,454,Chv,8,10,3,86.999,91.036,Richard Childress Racing,False,False,6,5,green
Kyle Busch,454,Chv,8,9,3,86.992,91.043,Richard Childress Racing,False,False,6,5,green
Chase Elliott,4062,Chv,9,52,27,86.978,91.057,Hendrick Motorsports,False,False,39,16,green
Michael McDowell,3832,Chv,71,14,1,86.978,91.057,Spire Motorsports,False,False,2,32,green
Shane Van Gisbergen,4469,Chv,88,71,1,86.967,91.069,Trackhouse Racing,False,False,1,1,green
Denny Hamlin,1361,Tyt,11,51,3,86.957,91.079,Joe Gibbs Racing,False,False,40,4,green
Tyler Reddick,4065,Tyt,45,9,4,86.944,91.093,23XI Racing,False,False,4,3,green
Shane Van Gisbergen,4469,Chv,88,16,2,86.935,91.103,Trackhouse Racing,False,False,1,1,green
Shane Van Gisbergen,4469,Chv,88,72,1,86.932,91.106,Trackhouse Racing,False,False,1,1,green
Kyle Busch,454,Chv,8,53,15,86.913,91.126,Richard Childress Racing,False,False,6,5,green
Shane Van Gisbergen,4469,Chv,88,56,3,86.907,91.132,Trackhouse Racing,False,False,1,1,green
Shane Van Gisbergen,4469,Chv,88,57,2,86.902,91.137,Trackhouse Racing,False,False,1,1,green
Shane Van Gisbergen,4469,Chv,88,41,1,86.899,91.140,Trackhouse Racing,False,False,1,1,pitting in
Shane Van Gisbergen,4469,Chv,88,38,1,86.888,91.152,Trackhouse Racing,False,False,1,1,green
Tyler Reddick,4065,Tyt,45,51,2,86.882,91.158,23XI Racing,False,False,4,3,green
Tyler Reddick,4065,Tyt,45,74,3,86.876,91.164,23XI Racing,False,False,4,3,green
Ross Chastain,4001,Chv,1,41,27,86.864,91.177,Trackhouse Racing,False,False,22,10,green
Shane Van Gisbergen,4469,Chv,88,8,2,86.837,91.205,Trackhouse Racing,False,False,1,1,green
Kyle Busch,454,Chv,8,43,31,86.837,91.205,Richard Childress Racing,False,False,6,5,green
AJ Allmendinger,3774,Chv,16,38,2,86.834,91.209,Kaulig Racing,False,False,16,6,green
Chase Briscoe,4228,Tyt,19,51,1,86.829,91.214,Joe Gibbs Racing,False,False,5,23,green
Justin Haley,4172,Chv,7,73,24,86.829,91.214,Spire Motorsports,False,False,28,22,green
Tyler Reddick,4065,Tyt,45,54,2,86.825,91.218,23XI Racing,False,False,4,3,green
Chase Elliott,4062,Chv,9,51,29,86.809,91.235,Hendrick Motorsports,False,False,39,16,green
Ryan Preece,4070,Frd,60,10,7,86.801,91.243,RFK Racing,False,False,7,7,green
Tyler Reddick,4065,Tyt,45,10,4,86.795,91.249,23XI Racing,False,False,4,3,green
Shane Van Gisbergen,4469,Chv,88,74,1,86.790,91.255,Trackhouse Racing,False,False,1,1,green
AJ Allmendinger,3774,Chv,16,36,2,86.790,91.255,Kaulig Racing,False,False,16,6,green
Kyle Busch,454,Chv,8,8,3,86.790,91.255,Richard Childress Racing,False,False,6,5,green
