driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Denny Hamlin,1361,Tyt,11,407,1,155.925,23.088,Joe Gibbs Racing,False,False,13,1,pitting in
Alex Bowman,4045,Chv,48,407,3,155.246,23.189,Hendrick Motorsports,False,False,16,3,pitting in
Kyle Larson,4030,Chv,5,407,4,154.892,23.242,Hendrick Motorsports,False,False,25,4,pitting in
Denny Hamlin,1361,Tyt,11,345,1,154.879,23.244,Joe Gibbs Racing,False,False,13,1,green
Chase Briscoe,4228,Tyt,19,407,2,154.301,23.331,Joe Gibbs Racing,False,False,2,2,pitting in
Chase Elliott,4062,Chv,9,268,1,154.123,23.358,Hendrick Motorsports,False,False,1,6,green
Chase Elliott,4062,Chv,9,130,1,153.892,23.393,Hendrick Motorsports,False,False,1,6,green
Chase Elliott,4062,Chv,9,267,1,153.846,23.400,Hendrick Motorsports,False,False,1,6,green
Chase Elliott,4062,Chv,9,270,1,153.826,23.403,Hendrick Motorsports,False,False,1,6,green
Chase Elliott,4062,Chv,9,272,1,153.800,23.407,Hendrick Motorsports,False,False,1,6,green
Chase Briscoe,4228,Tyt,19,2,1,153.767,23.412,Joe Gibbs Racing,False,False,2,2,green
Bubba Wallace,4025,Tyt,23,407,7,153.741,23.416,23XI Racing,False,False,22,7,pitting in
Denny Hamlin,1361,Tyt,11,130,3,153.643,23.431,Joe Gibbs Racing,False,False,13,1,green
Chase Elliott,4062,Chv,9,133,1,153.629,23.433,Hendrick Motorsports,False,False,1,6,green
Chase Elliott,4062,Chv,9,273,1,153.544,23.446,Hendrick Motorsports,False,False,1,6,green
Chase Elliott,4062,Chv,9,134,1,153.538,23.447,Hendrick Motorsports,False,False,1,6,green
Chase Briscoe,4228,Tyt,19,3,1,153.525,23.449,Joe Gibbs Racing,False,False,2,2,green
Chase Elliott,4062,Chv,9,271,1,153.492,23.454,Hendrick Motorsports,False,False,1,6,green
Chase Elliott,4062,Chv,9,274,1,153.479,23.456,Hendrick Motorsports,False,False,1,6,green
Chase Elliott,4062,Chv,9,269,1,153.433,23.463,Hendrick Motorsports,False,False,1,6,green
William Byron,4184,Chv,24,132,4,153.413,23.466,Hendrick Motorsports,False,False,5,31,green
Christopher Bell,4153,Tyt,20,345,2,153.407,23.467,Joe Gibbs Racing,False,False,3,18,green
William Byron,4184,Chv,24,130,4,153.368,23.473,Hendrick Motorsports,False,False,5,31,green
Christopher Bell,4153,Tyt,20,132,2,153.355,23.475,Joe Gibbs Racing,False,False,3,18,green
Denny Hamlin,1361,Tyt,11,347,1,153.335,23.478,Joe Gibbs Racing,False,False,13,1,green
Christopher Bell,4153,Tyt,20,130,2,153.322,23.480,Joe Gibbs Racing,False,False,3,18,green
Chase Elliott,4062,Chv,9,3,2,153.322,23.480,Hendrick Motorsports,False,False,1,6,green
Christopher Bell,4153,Tyt,20,133,2,153.289,23.485,Joe Gibbs Racing,False,False,3,18,green
Chase Elliott,4062,Chv,9,132,1,153.283,23.486,Hendrick Motorsports,False,False,1,6,green
Chase Elliott,4062,Chv,9,131,1,153.224,23.495,Hendrick Motorsports,False,False,1,6,green
Chase Elliott,4062,Chv,9,50,1,153.178,23.502,Hendrick Motorsports,False,False,1,6,green
Denny Hamlin,1361,Tyt,11,346,1,153.172,23.503,Joe Gibbs Racing,False,False,13,1,green
