driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Denny Hamlin,1361,Tyt,11,168,3,180.937,49.741,Joe Gibbs Racing,False,False,39,3,pitting in
Kyle Larson,4030,Chv,5,168,2,180.668,49.815,Hendrick Motorsports,False,False,13,2,pitting in
Bubba Wallace,4025,Tyt,23,168,1,180.177,49.951,23XI Racing,False,False,2,1,green
Chris Buescher,3989,Frd,17,121,22,179.748,50.070,RFK Racing,False,False,7,14,green
William Byron,4184,Chv,24,120,21,178.994,50.281,Hendrick Motorsports,False,False,6,16,green
Kyle Larson,4030,Chv,5,109,1,178.749,50.350,Hendrick Motorsports,False,False,13,2,green
Denny Hamlin,1361,Tyt,11,108,2,178.671,50.372,Joe Gibbs Racing,False,False,39,3,green
Tyler Reddick,4065,Tyt,45,2,3,178.536,50.410,23XI Racing,False,False,4,29,green
Denny Hamlin,1361,Tyt,11,123,13,178.458,50.432,Joe Gibbs Racing,False,False,39,3,green
Denny Hamlin,1361,Tyt,11,111,2,178.440,50.437,Joe Gibbs Racing,False,False,39,3,green
Bubba Wallace,4025,Tyt,23,122,11,178.416,50.444,23XI Racing,False,False,2,1,green
Ty Gibbs,4368,Tyt,54,86,23,178.409,50.446,Joe Gibbs Racing,False,False,5,21,green
Kyle Larson,4030,Chv,5,108,1,178.405,50.447,Hendrick Motorsports,False,False,13,2,green
William Byron,4184,Chv,24,109,3,178.394,50.450,Hendrick Motorsports,False,False,6,16,green
Josh Berry,4123,Frd,21,118,24,178.363,50.459,Wood Brothers Racing,False,False,17,22,green
Kyle Larson,4030,Chv,5,110,1,178.348,50.463,Hendrick Motorsports,False,False,13,2,green
Kyle Larson,4030,Chv,5,107,1,178.327,50.469,Hendrick Motorsports,False,False,13,2,green
William Byron,4184,Chv,24,108,3,178.327,50.469,Hendrick Motorsports,False,False,6,16,green
Bubba Wallace,4025,Tyt,23,107,6,178.158,50.517,23XI Racing,False,False,2,1,green
Brad Keselowski,1816,Frd,6,98,5,178.144,50.521,RFK Racing,False,False,14,5,green
William Byron,4184,Chv,24,121,19,178.133,50.524,Hendrick Motorsports,False,False,6,16,green
Ryan Preece,4070,Frd,60,168,4,178.130,50.525,RFK Racing,False,False,23,4,pitting in
John Hunter Nemechek,4092,Tyt,42,109,11,178.123,50.527,Legacy Motor Club,False,False,36,12,green
Denny Hamlin,1361,Tyt,11,109,2,178.094,50.535,Joe Gibbs Racing,False,False,39,3,green
Josh Berry,4123,Frd,21,119,22,178.084,50.538,Wood Brothers Racing,False,False,17,22,green
Carson Hocevar,4326,Chv,77,109,4,177.971,50.570,Spire Motorsports,False,False,8,10,green
Tyler Reddick,4065,Tyt,45,107,7,177.968,50.571,23XI Racing,False,False,4,29,green
Denny Hamlin,1361,Tyt,11,110,2,177.936,50.580,Joe Gibbs Racing,False,False,39,3,green
William Byron,4184,Chv,24,122,15,177.925,50.583,Hendrick Motorsports,False,False,6,16,green
Chase Briscoe,4228,Tyt,19,2,1,177.901,50.590,Joe Gibbs Racing,False,False,1,18,green
Bubba Wallace,4025,Tyt,23,2,2,177.897,50.591,23XI Racing,False,False,2,1,green
Alex Bowman,4045,Chv,48,98,6,177.894,50.592,Hendrick Motorsports,False,False,21,9,green
Denny Hamlin,1361,Tyt,11,107,2,177.887,50.594,Joe Gibbs Racing,False,False,39,3,green
Austin Cindric,4180,Frd,2,58,4,177.873,50.598,Team Penske,False,False,10,15,green
Chris Buescher,3989,Frd,17,122,19,177.873,50.598,RFK Racing,False,False,7,14,green
Alex Bowman,4045,Chv,48,58,2,177.855,50.603,Hendrick Motorsports,False,False,21,9,green
Christopher Bell,4153,Tyt,20,109,10,177.834,50.609,Joe Gibbs Racing,False,False,16,8,green
Joey Logano,3859,Frd,22,108,5,177.830,50.610,Team Penske,False,False,15,32,green
Bubba Wallace,4025,Tyt,23,110,6,177.816,50.614,23XI Racing,False,False,2,1,green
Joey Logano,3859,Frd,22,109,5,177.764,50.629,Team Penske,False,False,15,32,green
Chase Briscoe,4228,Tyt,19,109,12,177.746,50.634,Joe Gibbs Racing,False,False,1,18,green
William Byron,4184,Chv,24,112,3,177.690,50.650,Hendrick Motorsports,False,False,6,16,green
Ryan Preece,4070,Frd,60,108,9,177.672,50.655,RFK Racing,False,False,23,4,green
Ryan Preece,4070,Frd,60,58,1,177.669,50.656,RFK Racing,False,False,23,4,green
William Byron,4184,Chv,24,81,21,177.665,50.657,Hendrick Motorsports,False,False,6,16,green
