driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Kyle Larson,4030,Chv,5,11,39,120.487,73.203,Hendrick Motorsports,False,False,26,39,green
Kyle Larson,4030,Chv,5,10,39,120.447,73.227,Hendrick Motorsports,False,False,26,39,green
Kyle Larson,4030,Chv,5,19,39,120.438,73.233,Hendrick Motorsports,False,False,26,39,green
Ross Chastain,4001,Chv,1,27,3,120.108,73.434,Trackhouse Racing,False,False,4,10,green
Ross Chastain,4001,Chv,1,4,4,120.018,73.489,Trackhouse Racing,False,False,4,10,green
Shane Van Gisbergen,4469,Chv,88,28,1,120.000,73.500,Trackhouse Racing,False,False,2,1,green
Kyle Busch,454,Chv,8,2,6,119.974,73.516,Richard Childress Racing,False,False,5,22,green
Ryan Blaney,4023,Frd,12,2,1,119.969,73.519,Team Penske,False,False,1,6,green
Kyle Busch,454,Chv,8,4,6,119.962,73.523,Richard Childress Racing,False,False,5,22,green
Ross Chastain,4001,Chv,1,28,3,119.931,73.542,Trackhouse Racing,False,False,4,10,green
Shane Van Gisbergen,4469,Chv,88,4,2,119.874,73.577,Trackhouse Racing,False,False,2,1,green
Michael McDowell,3832,Chv,71,5,5,119.873,73.578,Spire Motorsports,False,False,6,19,green
Shane Van Gisbergen,4469,Chv,88,3,2,119.860,73.586,Trackhouse Racing,False,False,2,1,green
Kyle Larson,4030,Chv,5,22,39,119.847,73.594,Hendrick Motorsports,False,False,26,39,caution
Ryan Blaney,4023,Frd,12,3,1,119.826,73.607,Team Penske,False,False,1,6,green
Ryan Blaney,4023,Frd,12,28,2,119.821,73.610,Team Penske,False,False,1,6,green
Michael McDowell,3832,Chv,71,4,5,119.816,73.613,Spire Motorsports,False,False,6,19,green
Shane Van Gisbergen,4469,Chv,88,27,1,119.801,73.622,Trackhouse Racing,False,False,2,1,green
Shane Van Gisbergen,4469,Chv,88,35,1,119.787,73.631,Trackhouse Racing,False,False,2,1,green
Chris Buescher,3989,Frd,17,56,31,119.775,73.638,RFK Racing,False,False,12,3,green
Ryan Blaney,4023,Frd,12,4,1,119.770,73.641,Team Penske,False,False,1,6,green
Carson Hocevar,4326,Chv,77,5,7,119.764,73.645,Spire Motorsports,False,False,8,18,green
Shane Van Gisbergen,4469,Chv,88,50,3,119.762,73.646,Trackhouse Racing,False,False,2,1,green
Shane Van Gisbergen,4469,Chv,88,5,2,119.726,73.668,Trackhouse Racing,False,False,2,1,green
Chase Briscoe,4228,Tyt,19,4,3,119.697,73.686,Joe Gibbs Racing,False,False,3,5,green
Ross Chastain,4001,Chv,1,35,3,119.682,73.695,Trackhouse Racing,False,False,4,10,green
Kyle Busch,454,Chv,8,28,5,119.682,73.695,Richard Childress Racing,False,False,5,22,green
Ryan Blaney,4023,Frd,12,7,1,119.676,73.699,Team Penske,False,False,1,6,green
Shane Van Gisbergen,4469,Chv,88,34,1,119.668,73.704,Trackhouse Racing,False,False,2,1,green
Ryan Blaney,4023,Frd,12,36,2,119.663,73.707,Team Penske,False,False,1,6,green
Ryan Blaney,4023,Frd,12,5,1,119.663,73.707,Team Penske,False,False,1,6,green
Kyle Busch,454,Chv,8,5,6,119.661,73.708,Richard Childress Racing,False,False,5,22,green
Ross Chastain,4001,Chv,1,5,4,119.647,73.717,Trackhouse Racing,False,False,4,10,green
Carson Hocevar,4326,Chv,77,4,7,119.634,73.725,Spire Motorsports,False,False,8,18,green
Christopher Bell,4153,Tyt,20,61,26,119.631,73.727,Joe Gibbs Racing,False,False,9,2,green
Shane Van Gisbergen,4469,Chv,88,2,2,119.613,73.738,Trackhouse Racing,False,False,2,1,green
Ryan Blaney,4023,Frd,12,35,2,119.601,73.745,Team Penske,False,False,1,6,green
William Byron,4184,Chv,24,28,6,119.595,73.749,Hendrick Motorsports,False,False,10,4,green
Carson Hocevar,4326,Chv,77,69,28,119.583,73.756,Spire Motorsports,False,False,8,18,green
Chase Briscoe,4228,Tyt,19,5,3,119.579,73.759,Joe Gibbs Racing,False,False,3,5,green
Chris Buescher,3989,Frd,17,60,22,119.575,73.761,RFK Racing,False,False,12,3,green
Ryan Blaney,4023,Frd,12,27,2,119.564,73.768,Team Penske,False,False,1,6,green
Chris Buescher,3989,Frd,17,57,30,119.551,73.776,RFK Racing,False,False,12,3,green
Chase Briscoe,4228,Tyt,19,3,3,119.546,73.779,Joe Gibbs Racing,False,False,3,5,green
Carson Hocevar,4326,Chv,77,71,26,119.527,73.791,Spire Motorsports,False,False,8,18,green
Kyle Larson,4030,Chv,5,21,39,119.517,73.797,Hendrick Motorsports,False,False,26,39,green
Shane Van Gisbergen,4469,Chv,88,33,1,119.517,73.797,Trackhouse Racing,False,False,2,1,green
