driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Denny Hamlin,1361,Tyt,11,3,1,136.595,32.944,Joe Gibbs Racing,True,False,1,1,green
Kyle Larson,4030,Chv,5,3,2,136.504,32.966,Hendrick Motorsports,True,False,2,12,green
Bubba Wallace,4025,Tyt,23,149,1,136.442,32.981,23XI Racing,True,False,14,8,green
Chase Briscoe,4228,Tyt,19,3,3,136.430,32.984,Joe Gibbs Racing,True,False,3,2,green
Kyle Larson,4030,Chv,5,4,2,136.178,33.045,Hendrick Motorsports,True,False,2,12,green
Ty Gibbs,4368,Tyt,54,165,5,136.079,33.069,Joe Gibbs Racing,False,False,21,10,green
Denny Hamlin,1361,Tyt,11,2,1,135.993,33.090,Joe Gibbs Racing,True,False,1,1,green
Kyle Larson,4030,Chv,5,149,2,135.927,33.106,Hendrick Motorsports,True,False,2,12,green
Denny Hamlin,1361,Tyt,11,164,1,135.874,33.119,Joe Gibbs Racing,True,False,1,1,green
Ty Gibbs,4368,Tyt,54,205,30,135.837,33.128,Joe Gibbs Racing,False,False,21,10,green
Denny Hamlin,1361,Tyt,11,163,1,135.788,33.140,Joe Gibbs Racing,True,False,1,1,green
Ryan Blaney,4023,Frd,12,4,4,135.775,33.143,Team Penske,True,False,5,4,green
Joey Logano,3859,Frd,22,164,2,135.751,33.149,Team Penske,True,False,13,5,green
Kyle Larson,4030,Chv,5,73,1,135.738,33.152,Hendrick Motorsports,True,False,2,12,green
Joey Logano,3859,Frd,22,165,2,135.718,33.157,Team Penske,True,False,13,5,green
Kyle Larson,4030,Chv,5,68,1,135.714,33.158,Hendrick Motorsports,True,False,2,12,green
Chase Briscoe,4228,Tyt,19,4,3,135.702,33.161,Joe Gibbs Racing,True,False,3,2,green
Christopher Bell,4153,Tyt,20,70,3,135.697,33.162,Joe Gibbs Racing,True,False,8,7,green
Kyle Larson,4030,Chv,5,43,2,135.685,33.165,Hendrick Motorsports,True,False,2,12,green
Christopher Bell,4153,Tyt,20,73,3,135.677,33.167,Joe Gibbs Racing,True,False,8,7,green
Joey Logano,3859,Frd,22,149,3,135.661,33.171,Team Penske,True,False,13,5,green
Kyle Larson,4030,Chv,5,56,1,135.644,33.175,Hendrick Motorsports,True,False,2,12,green
Tyler Reddick,4065,Tyt,45,55,6,135.640,33.176,23XI Racing,True,False,7,16,green
Kyle Larson,4030,Chv,5,69,1,135.636,33.177,Hendrick Motorsports,True,False,2,12,green
Kyle Larson,4030,Chv,5,70,1,135.624,33.180,Hendrick Motorsports,True,False,2,12,green
Kyle Larson,4030,Chv,5,54,1,135.612,33.183,Hendrick Motorsports,True,False,2,12,green
Denny Hamlin,1361,Tyt,11,165,1,135.608,33.184,Joe Gibbs Racing,True,False,1,1,green
Kyle Larson,4030,Chv,5,74,1,135.595,33.187,Hendrick Motorsports,True,False,2,12,green
Kyle Larson,4030,Chv,5,35,3,135.587,33.189,Hendrick Motorsports,True,False,2,12,green
Kyle Larson,4030,Chv,5,2,2,135.571,33.193,Hendrick Motorsports,True,False,2,12,green
Kyle Larson,4030,Chv,5,59,1,135.542,33.200,Hendrick Motorsports,True,False,2,12,green
Chase Briscoe,4228,Tyt,19,5,3,135.522,33.205,Joe Gibbs Racing,True,False,3,2,green
Chase Elliott,4062,Chv,9,166,3,135.518,33.206,Hendrick Motorsports,True,False,19,3,green
Bubba Wallace,4025,Tyt,23,86,1,135.514,33.207,23XI Racing,True,False,14,8,green
John Hunter Nemechek,4092,Tyt,42,163,3,135.505,33.209,Legacy Motor Club,False,False,20,6,green
Kyle Larson,4030,Chv,5,72,1,135.493,33.212,Hendrick Motorsports,True,False,2,12,green
Denny Hamlin,1361,Tyt,11,4,1,135.489,33.213,Joe Gibbs Racing,True,False,1,1,green
Bubba Wallace,4025,Tyt,23,54,2,135.485,33.214,23XI Racing,True,False,14,8,green
Joey Logano,3859,Frd,22,163,2,135.477,33.216,Team Penske,True,False,13,5,green
Kyle Larson,4030,Chv,5,71,1,135.477,33.216,Hendrick Motorsports,True,False,2,12,green
Ryan Blaney,4023,Frd,12,7,4,135.473,33.217,Team Penske,True,False,5,4,green
Denny Hamlin,1361,Tyt,11,5,1,135.456,33.221,Joe Gibbs Racing,True,False,1,1,green
Denny Hamlin,1361,Tyt,11,86,3,135.452,33.222,Joe Gibbs Racing,True,False,1,1,green
