driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Carson Hocevar,4326,Chv,77,237,24,127.287,29.923,Spire Motorsports,False,False,6,11,green
Josh Berry,4123,Frd,21,246,3,126.749,30.050,Wood Brothers Racing,False,False,3,2,green
Josh Berry,4123,Frd,21,5,2,126.732,30.054,Wood Brothers Racing,False,False,3,2,green
Josh Berry,4123,Frd,21,245,3,126.715,30.058,Wood Brothers Racing,False,False,3,2,green
Ryan Blaney,4023,Frd,12,237,16,126.694,30.063,Team Penske,True,False,2,1,green
Denny Hamlin,1361,Tyt,11,239,16,126.610,30.083,Joe Gibbs Racing,True,False,9,12,green
Christopher Bell,4153,Tyt,20,240,13,126.526,30.103,Joe Gibbs Racing,True,False,19,6,green
Ryan Blaney,4023,Frd,12,235,23,126.492,30.111,Team Penske,True,False,2,1,green
Riley Herbst,4269,Tyt,35,245,23,126.475,30.115,23XI Racing,False,False,25,22,green
Bubba Wallace,4025,Tyt,23,245,27,126.467,30.117,23XI Racing,True,False,14,26,green
Josh Berry,4123,Frd,21,248,3,126.437,30.124,Wood Brothers Racing,False,False,3,2,green
Ryan Blaney,4023,Frd,12,238,10,126.437,30.124,Team Penske,True,False,2,1,green
Chris Buescher,3989,Frd,17,248,19,126.433,30.125,RFK Racing,False,False,15,18,green
Ryan Blaney,4023,Frd,12,236,21,126.412,30.130,Team Penske,True,False,2,1,green
Joey Logano,3859,Frd,22,243,3,126.387,30.136,Team Penske,True,False,1,4,green
Ryan Blaney,4023,Frd,12,261,2,126.379,30.138,Team Penske,True,False,2,1,green
Carson Hocevar,4326,Chv,77,239,18,126.362,30.142,Spire Motorsports,False,False,6,11,green
Austin Cindric,4180,Frd,2,237,28,126.354,30.144,Team Penske,True,False,22,17,green
Michael McDowell,3832,Chv,71,242,15,126.337,30.148,Spire Motorsports,False,False,11,8,green
Bubba Wallace,4025,Tyt,23,244,27,126.328,30.150,23XI Racing,True,False,14,26,green
Ryan Blaney,4023,Frd,12,234,24,126.312,30.154,Team Penske,True,False,2,1,green
Carson Hocevar,4326,Chv,77,236,26,126.307,30.155,Spire Motorsports,False,False,6,11,green
