driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Denny Hamlin,1361,Tyt,11,224,1,178.347,30.278,Joe Gibbs Racing,True,False,2,2,green
Christopher Bell,4153,Tyt,20,224,2,177.125,30.487,Joe Gibbs Racing,True,False,5,3,green
Chase Briscoe,4228,Tyt,19,224,4,176.922,30.522,Joe Gibbs Racing,True,False,1,4,green
Bubba Wallace,4025,Tyt,23,224,3,176.730,30.555,23XI Racing,True,False,7,5,green
Denny Hamlin,1361,Tyt,11,2,2,176.632,30.572,Joe Gibbs Racing,True,False,2,2,green
Christopher Bell,4153,Tyt,20,89,1,176.621,30.574,Joe Gibbs Racing,True,False,5,3,green
Kyle Larson,4030,Chv,5,89,2,176.534,30.589,Hendrick Motorsports,True,False,3,6,green
Denny Hamlin,1361,Tyt,11,225,1,176.482,30.598,Joe Gibbs Racing,True,False,2,2,green
Chase Briscoe,4228,Tyt,19,2,1,175.930,30.694,Joe Gibbs Racing,True,False,1,4,green
Denny Hamlin,1361,Tyt,11,174,2,175.919,30.696,Joe Gibbs Racing,True,False,2,2,green
Chase Briscoe,4228,Tyt,19,174,4,175.770,30.722,Joe Gibbs Racing,True,False,1,4,green
Chase Elliott,4062,Chv,9,224,6,175.735,30.728,Hendrick Motorsports,True,False,4,1,green
Kyle Larson,4030,Chv,5,96,2,175.690,30.736,Hendrick Motorsports,True,False,3,6,green
Chase Elliott,4062,Chv,9,174,1,175.667,30.740,Hendrick Motorsports,True,False,4,1,green
Chase Briscoe,4228,Tyt,19,3,1,175.655,30.742,Joe Gibbs Racing,True,False,1,4,green
Christopher Bell,4153,Tyt,20,225,2,175.610,30.750,Joe Gibbs Racing,True,False,5,3,green
Christopher Bell,4153,Tyt,20,174,3,175.547,30.761,Joe Gibbs Racing,True,False,5,3,green
Chase Elliott,4062,Chv,9,2,4,175.439,30.780,Hendrick Motorsports,True,False,4,1,green
Chase Elliott,4062,Chv,9,96,3,175.370,30.792,Hendrick Motorsports,True,False,4,1,green
Denny Hamlin,1361,Tyt,11,176,2,175.239,30.815,Joe Gibbs Racing,True,False,2,2,green
Kyle Larson,4030,Chv,5,2,3,175.200,30.822,Hendrick Motorsports,True,False,3,6,green
Kyle Larson,4030,Chv,5,224,7,175.092,30.841,Hendrick Motorsports,True,False,3,6,green
Christopher Bell,4153,Tyt,20,175,2,175.086,30.842,Joe Gibbs Racing,True,False,5,3,green
Christopher Bell,4153,Tyt,20,226,2,175.046,30.849,Joe Gibbs Racing,True,False,5,3,green
Denny Hamlin,1361,Tyt,11,64,1,175.035,30.851,Joe Gibbs Racing,True,False,2,2,green
Denny Hamlin,1361,Tyt,11,89,3,175.018,30.854,Joe Gibbs Racing,True,False,2,2,green
Christopher Bell,4153,Tyt,20,96,1,175.001,30.857,Joe Gibbs Racing,True,False,5,3,green
Bubba Wallace,4025,Tyt,23,175,5,174.950,30.866,23XI Racing,True,False,7,5,green
Carson Hocevar,4326,Chv,77,2,5,174.887,30.877,Spire Motorsports,False,False,6,29,green
Denny Hamlin,1361,Tyt,11,96,4,174.882,30.878,Joe Gibbs Racing,True,False,2,2,green
Chase Elliott,4062,Chv,9,226,5,174.876,30.879,Hendrick Motorsports,True,False,4,1,green
Tyler Reddick,4065,Tyt,45,224,5,174.831,30.887,23XI Racing,True,False,12,7,green
Chase Elliott,4062,Chv,9,175,1,174.723,30.906,Hendrick Motorsports,True,False,4,1,green
Denny Hamlin,1361,Tyt,11,3,2,174.701,30.910,Joe Gibbs Racing,True,False,2,2,green
Tyler Reddick,4065,Tyt,45,2,6,174.695,30.911,23XI Racing,True,False,12,7,green
Denny Hamlin,1361,Tyt,11,4,2,174.695,30.911,Joe Gibbs Racing,True,False,2,2,green
Denny Hamlin,1361,Tyt,11,227,1,174.650,30.919,Joe Gibbs Racing,True,False,2,2,green
Chase Briscoe,4228,Tyt,19,260,3,174.633,30.922,Joe Gibbs Racing,True,False,1,4,green
Bubba Wallace,4025,Tyt,23,174,5,174.616,30.925,23XI Racing,True,False,7,5,green
Chase Elliott,4062,Chv,9,176,1,174.593,30.929,Hendrick Motorsports,True,False,4,1,green
Chase Briscoe,4228,Tyt,19,4,1,174.571,30.933,Joe Gibbs Racing,True,False,1,4,green
Denny Hamlin,1361,Tyt,11,97,4,174.548,30.937,Joe Gibbs Racing,True,False,2,2,green
Kyle Larson,4030,Chv,5,4,3,174.486,30.948,Hendrick Motorsports,True,False,3,6,green
Chase Elliott,4062,Chv,9,66,2,174.458,30.953,Hendrick Motorsports,True,False,4,1,green
Denny Hamlin,1361,Tyt,11,226,1,174.374,30.968,Joe Gibbs Racing,True,False,2,2,green
Chris Buescher,3989,Frd,17,174,7,174.368,30.969,RFK Racing,False,False,15,15,green
Chase Briscoe,4228,Tyt,19,175,4,174.340,30.974,Joe Gibbs Racing,True,False,1,4,green
Carson Hocevar,4326,Chv,77,175,8,174.334,30.975,Spire Motorsports,False,False,6,29,green
Bubba Wallace,4025,Tyt,23,225,3,174.329,30.976,23XI Racing,True,False,7,5,green
Kyle Larson,4030,Chv,5,3,3,174.250,30.990,Hendrick Motorsports,True,False,3,6,green
Chase Elliott,4062,Chv,9,273,1,174.239,30.992,Hendrick Motorsports,True,False,4,1,green
Chase Elliott,4062,Chv,9,3,4,174.210,30.997,Hendrick Motorsports,True,False,4,1,green
Chase Elliott,4062,Chv,9,89,4,174.205,30.998,Hendrick Motorsports,True,False,4,1,green
Chris Buescher,3989,Frd,17,224,10,174.126,31.012,RFK Racing,False,False,15,15,green
Kyle Larson,4030,Chv,5,65,3,174.121,31.013,Hendrick Motorsports,True,False,3,6,green
Kyle Larson,4030,Chv,5,175,6,174.092,31.018,Hendrick Motorsports,True,False,3,6,green
Tyler Reddick,4065,Tyt,45,226,6,174.048,31.026,23XI Racing,True,False,12,7,green
Brad Keselowski,1816,Frd,6,175,33,174.025,31.030,RFK Racing,False,False,31,8,green
Chase Elliott,4062,Chv,9,64,2,174.025,31.030,Hendrick Motorsports,True,False,4,1,green
Bubba Wallace,4025,Tyt,23,226,3,174.025,31.030,23XI Racing,True,False,7,5,green
Kyle Larson,4030,Chv,5,225,7,174.008,31.033,Hendrick Motorsports,True,False,3,6,green
Chase Elliott,4062,Chv,9,228,4,173.991,31.036,Hendrick Motorsports,True,False,4,1,green
Kyle Larson,4030,Chv,5,5,3,173.980,31.038,Hendrick Motorsports,True,False,3,6,green
Zane Smith,4272,Frd,38,225,9,173.963,31.041,Front Row Motorsports,False,False,28,31,green
Chase Elliott,4062,Chv,9,65,2,173.947,31.044,Hendrick Motorsports,True,False,4,1,green
Denny Hamlin,1361,Tyt,11,5,2,173.885,31.055,Joe Gibbs Racing,True,False,2,2,green
Chase Elliott,4062,Chv,9,225,5,173.879,31.056,Hendrick Motorsports,True,False,4,1,green
Christopher Bell,4153,Tyt,20,98,1,173.863,31.059,Joe Gibbs Racing,True,False,5,3,green
Kyle Larson,4030,Chv,5,67,3,173.840,31.063,Hendrick Motorsports,True,False,3,6,green
Christopher Bell,4153,Tyt,20,228,2,173.801,31.070,Joe Gibbs Racing,True,False,5,3,green
Denny Hamlin,1361,Tyt,11,67,1,173.784,31.073,Joe Gibbs Racing,True,False,2,2,green
